,ret
2010-01-31,0.0
2010-02-28,-0.004781980829479745
2010-03-31,0.0014909154301994618
2010-04-30,0.018362457392156896
2010-05-31,-0.03125451029752063
2010-06-30,0.0021946072062934744
2010-07-31,0.054724326670855666
2010-08-31,-0.023297969031662227
2010-09-30,-0.00678515437564764
2010-10-31,0.01903983977120825
2010-11-30,0.03520968473007717
2010-12-31,-0.001437723475124361
2011-01-31,0.02239686775599022
2011-02-28,0.03429942542626854
2011-03-31,0.0010704971947743743
2011-04-30,-0.023070690934426152
2011-05-31,-0.006641875215277763
2011-06-30,0.03619881378260864
2011-07-31,0.026552636049661345
2011-08-31,-0.011260456165548171
2011-09-30,0.020393727274336245
2011-10-31,0.02311382943640347
2011-11-30,0.014080692530567684
2011-12-31,0.00223826546969701
2012-01-31,0.027760368540772507
2012-02-29,0.021072181760683786
2012-03-31,0.03832349948723405
2012-04-30,0.016253016262605027
2012-05-31,-0.0005419635642420913
2012-06-30,0.014583444796887978
2012-07-31,-0.0014839898603696048
2012-08-31,0.03635342218244397
2012-09-30,0.0116812317403651
2012-10-31,0.028981803667338712
2012-11-30,0.0019291937077383936
2012-12-31,0.006043873207243475
2013-01-31,0.016637850241448697
2013-02-28,0.03162978694164993
2013-03-31,0.016057096352112697
2013-04-30,-0.0026939096430583145
2013-05-31,0.005119116976056361
2013-06-30,0.0011625431867726388
2013-07-31,0.019586592648289776
2013-08-31,0.0468387379688129
2013-09-30,0.009057309233400422
2013-10-31,0.03327834867806843
2013-11-30,0.007358637187122755
2013-12-31,0.01466721087122738
2014-01-31,-0.0463319359195171
2014-02-28,0.011854730000000018
2014-03-31,0.05626118079051381
2014-04-30,-0.002771992745680471
2014-05-31,0.0005501989061144088
2014-06-30,-0.013480747392110443
2014-07-31,0.056850395620728356
2014-08-31,0.030231971526777104
2014-09-30,-0.010048714268101742
2014-10-31,0.011101493641670686
2014-11-30,-0.022873403951576637
2014-12-31,0.02092924587451736
2015-01-31,0.0195282664195402
2015-02-28,-0.0478279046053131
2015-03-31,-0.04308795187289559
2015-04-30,-0.04946875298171645
2015-05-31,-0.2238114677102029
2015-06-30,0.19260342613629766
2015-07-31,-0.014543812081249965
2015-08-31,0.06469848998912656
2015-09-30,0.03326872974135473
2015-10-31,-0.017220350345811052
2015-11-30,-0.03374262313012476
2015-12-31,0.07742439444741533
2016-01-31,0.0030253712345679152
2016-02-29,0.013972742934920667
2016-03-31,0.03224180744920175
2016-04-30,0.03415900586309442
2016-05-31,-0.006488084489250893
2016-06-30,-0.054179157908497325
2016-07-31,0.041530825887754745
2016-08-31,0.009130206623448297
2016-09-30,0.011931056808258648
2016-10-31,0.004974640955172437
2016-11-30,0.014885699613793138
2016-12-31,0.02967683433103452
2017-01-31,0.015802364127147802
2017-02-28,-0.041957652572347265
2017-03-31,-0.0188660284952381
2017-04-30,-0.003517418798122054
2017-05-31,-0.004766372055699405
2017-06-30,0.0057097113044821375
2017-07-31,-0.012899833701359515
2017-08-31,0.001962679577673496
2017-09-30,0.00808908498502996
2017-10-31,0.002608521200879782
2017-11-30,0.006905431170058144
2017-12-31,0.0017076959309352785
2018-01-31,-0.005377416322857128
2018-02-28,0.00714374786201995
2018-03-31,0.015698829754609952
2018-04-30,0.004697535674681797
2018-05-31,-0.021483322663963352
2018-06-30,-0.017766373773558383
2018-07-31,0.022990589362031973
2018-08-31,0.022718002750840332
2018-09-30,0.0016195146344055872
2018-10-31,0.001932754380753128
2018-11-30,0.014925216518245132
2018-12-31,0.0120331688527778
2019-01-31,0.03728654048821082
2019-02-28,-0.038496023511226336
2019-03-31,-0.02165977016551727
2019-04-30,0.02925112797115384
2019-05-31,0.03618319806095235
2019-06-30,0.03307423083196723
2019-07-31,0.024128463790190752
2019-08-31,-0.009722923194261037
2019-09-30,-0.0026730916524121415
2019-10-31,-0.0011220688299866085
2019-11-30,0.010050406155287805
2019-12-31,-0.010865585318607774
