,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31
rev_1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2948633986615207,0.3352434536673375,0.38441964608874307,0.35784326083641443,0.3941677132150256,0.455118986960213,0.4141091025164084,0.359405367170838,0.4177570545158495,0.4585231550050925,0.4419386957867637,0.3673332212979876,0.46183611954379467,0.47222347864346614,0.40709821368079424,0.40301361423898424,0.48035738336085576,0.5473301104688097,0.4595071821843423,0.4708638224137313,0.48992568054742663,0.5276154621667589,0.47162036351238135,0.5319898648845912,0.5290180474361083,0.5445723714623995,0.49398813713280804,0.48700392590018565,0.4364281515933813,0.442497110520646,0.5047754084541487,0.5320791837028677,0.48665439306167035,0.4500138607589151,0.43366454288479606,0.5087357574886128,0.38307034527638656,0.3811098053398245,0.3448646707768228,0.34345879115421624,0.33033850726899733,0.2999129063372841,0.30257762279872746,0.2783769920673964,0.2670824504402884,0.2895454649646069,0.34582733899339774,0.2811396014148865,0.2943121045625416,0.27946915133030853,0.2726105788799848,0.3280813653532534,0.3277119112863156,0.3158582275902003,0.3154962798983579,0.30493831376374547,0.313551989073186,0.2972583253414002,0.33968902721111044,0.3126953562080256,0.32609194381764356,0.2680618090127807,0.3021680025412567,0.3192844119632586,0.26623703049843306,0.21416182270002698,0.2285491681175467,0.1902499805923449,0.2240153402243777,0.19122302893275314,0.1635095689419414,0.1598842004302325,0.15624576262248105,0.1473627267172961,0.15591283332038688,0.14401742861063407,0.14600329608395046,0.14409649971831764,0.13428513798859262,0.13266734491734758,0.09059455138403819,0.10242062437850742,0.07773439564677057,0.0958977962953294,0.11176797366077641,0.12295497127565425,0.1636577852440785,0.16322109627489773,0.2014059701888963,0.2531677895594681,0.22768451816413823,0.2527964241806014,0.21879435788933663,0.22359930227603703,0.21047449634505488,0.22641467586691624
vol_12,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18156657629507345,0.1401385738030294,0.05903087916376396,0.09509872504516843,0.09819296783791245,0.08352377936902805,0.09726739823072113,0.12251882119803757,0.08610694752404577,0.08578394431085347,0.08534221192829618,0.11076279196327382,0.08681148412432785,0.06495370617246035,0.09338311739778887,0.0974468577883105,0.07864036449543886,0.029012194861182505,0.08208024897784387,0.06202300922172119,0.06041774279531453,0.028030304947026605,0.05996499646124993,0.036550106197038065,0.04017031002423048,0.051813250951754805,0.10727057941715361,0.1089892785585608,0.12361649031645405,0.11306757442583246,0.09074676917057822,0.08952108783913806,0.12134306628614559,0.13732432125813387,0.1546958605558377,0.13884187109705384,0.18587935940502368,0.16859654959996648,0.16509199215031137,0.149059450311282,0.14416841261733293,0.17316281867822672,0.1765852024819812,0.20552345404626365,0.21870278922183276,0.20311584658481813,0.1454520209025507,0.14577260322235402,0.1315212354276072,0.15283431691297816,0.1537823701347788,0.09723159942618373,0.08975412823691067,0.11331937919282575,0.10517181586200393,0.10851826951754373,0.10320373694739327,0.09846812860550495,0.06979887565843344,0.07190155419934757,0.06151475585019329,0.10490618489429028,0.1177128602913069,0.1352158448423202,0.1587566508895308,0.18480846380238647,0.15679020803096333,0.16660187494106032,0.13134193496563243,0.1508295034524759,0.2045733014798136,0.233629154229484,0.25117206303918893,0.2446559474217157,0.2500728352177042,0.28062038682431295,0.28861656461764873,0.29924662179791134,0.32023351633176006,0.3226608787208244,0.34378990248643293,0.33007959246783725,0.3536707904739955,0.3367261545895501,0.34391185303909694,0.34970005545271177,0.28298196176795637,0.2736054248883475,0.25341815986102156,0.23182699819343752,0.24589255092217535,0.24243229199066424,0.2673629328686775,0.265706353719404,0.2644438554084052,0.25032275474353616
max_ret,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23074728945923093,0.21393496203661927,0.1836124544332559,0.1963148917714608,0.21166904016586693,0.18011490378369863,0.18903821373172583,0.2025131208891474,0.1687622948770695,0.1659111355903088,0.16523851314792787,0.19240767870176376,0.17717578722113225,0.15075460077230868,0.17608973885320922,0.17001074222429133,0.14287347157197838,0.09740119845765817,0.15197613612764513,0.1415485724048494,0.14106586024435575,0.1163698107153865,0.1406624400765171,0.12151586931634784,0.12148044412563964,0.11679476350921418,0.1473802282914155,0.15269241562192543,0.15958359335157082,0.16197443174443063,0.1431182564170445,0.14689954219431822,0.1685670190287915,0.17886747916757328,0.1919794970703571,0.17098092144164456,0.21065939099069778,0.20873345225972975,0.21855543852872247,0.21483800102814476,0.21796973915909068,0.23976033127689678,0.2418323212442124,0.2573959239312346,0.2635741601479808,0.2602551582468523,0.23786899529913375,0.250773702888758,0.24535602668203874,0.2630763695850673,0.2627969649781383,0.23748316938810146,0.22891533475359718,0.24960984546268122,0.24288357441900424,0.23866609277808176,0.2373208802333537,0.23545935207104407,0.2136680910198274,0.209974592842046,0.20365706169943185,0.231527760118383,0.23499763841529828,0.24138833097145884,0.2626449161335614,0.28821120306893316,0.2824356253877708,0.2908818322954819,0.28011565000073607,0.2928459887563869,0.3226954647004369,0.32933703580126494,0.3173057643876199,0.3013759255978552,0.2810220232088152,0.307781769487921,0.3071583585386997,0.3027344891552791,0.29856475371768215,0.3148759940621436,0.32635444321143564,0.32524934923990156,0.3484353512015607,0.35041947753942476,0.3526747922846004,0.3642710331044649,0.3770980577944423,0.3675396195187021,0.33880456927151664,0.3204711066698037,0.337220190037481,0.326515446752958,0.32558654070528603,0.32346354908135894,0.329617571222589,0.3239334940617867
skew_12,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2928227355841749,0.31068301049301383,0.37293702031423703,0.35074312234695637,0.29597027878119503,0.2812423298870604,0.2995852855211445,0.315562690741977,0.32737370308303543,0.28978176509374526,0.30748057913701227,0.3294963080369748,0.2741766091107452,0.3120682144117648,0.32342893006820767,0.32952878574841393,0.2981287805717271,0.3262564962123495,0.3064364327101687,0.32556459595969817,0.30859071641290314,0.327984422170828,0.3277521999498517,0.3099441596020228,0.30933119841402157,0.28681961407663165,0.25136105515862295,0.2513143799193281,0.2803717647385939,0.28246088330909086,0.26135956595822873,0.2315001862636762,0.22343552162339247,0.2337943388153777,0.21966009948900916,0.18144144997268877,0.22039090432789205,0.24156019280047913,0.27148789854414335,0.2926437575063569,0.307523340954579,0.2871639437075924,0.2790048534750789,0.25870362995510526,0.2506406001898982,0.24708353020372262,0.2708516448049179,0.3223140924740015,0.3288106333278126,0.3046201621716461,0.310810086007098,0.3372038658324615,0.35361862572317654,0.32121254775429275,0.33644832982063394,0.347877323940629,0.345923393746067,0.3688141939820509,0.3768440061106288,0.40542849675058085,0.4087362386327314,0.39550424597454603,0.345121498752138,0.3041114122229625,0.3123614024784747,0.3128185104286534,0.3322249984637193,0.3522663121711129,0.3645270748092539,0.3651014788583841,0.3092216648778081,0.2771496095390186,0.27527640995070995,0.30660540026313304,0.3129923082530938,0.2675804150771321,0.25822178075970115,0.25392238932849204,0.24691659196196525,0.22979578229968445,0.2392611029180932,0.24225043391375373,0.22015946267767314,0.21695657157569584,0.19164538101552636,0.16307394016716908,0.17626219519352287,0.19563385931805277,0.20637130067856554,0.19453410557729067,0.18920274087620526,0.1782558370757764,0.1882561685366998,0.18723079492320005,0.1954640770239509,0.19932907532776092
