,turnover
2010-01-31,0.0
2010-02-28,0.9999999999999887
2010-03-31,1.6467236467236313
2010-04-30,1.5882352941176296
2010-05-31,1.6253443526170646
2010-06-30,1.4221529987038874
2010-07-31,1.580213903743291
2010-08-31,1.7546174142479993
2010-09-30,1.512953367875632
2010-10-31,1.5372750642673443
2010-11-30,1.6221079691516438
2010-12-31,1.713930348258699
2011-01-31,1.6259168704156466
2011-02-28,1.701610287303056
2011-03-31,1.7363420427553313
2011-04-30,1.6323185011709194
2011-05-31,1.502314814814808
2011-06-30,1.5560640732265714
2011-07-31,1.71557562076752
2011-08-31,1.6487695749441071
2011-09-30,1.5309734513274513
2011-10-31,1.6754385964912473
2011-11-30,1.6331877729257638
2011-12-31,1.6168831168830968
2012-01-31,1.671673819742503
2012-02-29,1.0064102564102446
2012-03-31,1.3340425531914906
2012-04-30,0.9369747899159745
2012-05-31,1.2058769577484427
2012-06-30,1.066390041493768
2012-07-31,1.1252566735112906
2012-08-31,1.1085981933757052
2012-09-30,1.1419878296146104
2012-10-31,1.090725806451611
2012-11-30,1.1561506133575572
2012-12-31,1.0140845070422413
2013-01-31,1.3319919517102612
2013-02-28,1.0543259557343934
2013-03-31,1.120724346076448
2013-04-30,1.0040241448691964
2013-05-31,1.142857142857133
2013-06-30,1.3239436619718283
2013-07-31,1.0241448692152741
2013-08-31,1.0925553319919392
2013-09-30,1.2595573440643781
2013-10-31,1.1468812877263481
2013-11-30,1.1790744466800713
2013-12-31,1.2112676056337959
2014-01-31,1.209255533199189
2014-02-28,1.1778656126482125
2014-03-31,1.1403162055336045
2014-04-30,1.238658777120313
2014-05-31,1.090729783037471
2014-06-30,1.0887573964497
2014-07-31,1.06299212598425
2014-08-31,1.3779228783851452
2014-09-30,1.2485322896281708
2014-10-31,1.1801298533839821
2014-11-30,0.962244913259268
2014-12-31,1.1100386100386168
2015-01-31,1.0938697318007828
2015-02-28,1.072106261859589
2015-03-31,0.7823224247592777
2015-04-30,1.0914179104477766
2015-05-31,0.8856088560885592
2015-06-30,0.9455535390199526
2015-07-31,0.9017857142856951
2015-08-31,0.8948306595365381
2015-09-30,0.891265597147945
2015-10-31,0.925133689839569
2015-11-30,0.9554367201425934
2015-12-31,0.7450980392156825
2016-01-31,0.8430335097001662
2016-02-29,0.8342151675484837
2016-03-31,0.7494275848412051
2016-04-30,1.0192307692307605
2016-05-31,0.963414634146353
2016-06-30,1.1205619343346833
2016-07-31,0.8169257340241816
2016-08-31,0.8241379310344725
2016-09-30,0.7672413793103309
2016-10-31,0.682758620689644
2016-11-30,0.9396551724137742
2016-12-31,0.8844827586206717
2017-01-31,0.8178694158075417
2017-02-28,0.9871382636655965
2017-03-31,0.6301587301587319
2017-04-30,1.1737089201877877
2017-05-31,0.7807356669266684
2017-06-30,0.7564045101197417
2017-07-31,0.9169184290030196
2017-08-31,0.7814371257485069
2017-09-30,0.9281437125748423
2017-10-31,0.7917888563049775
2017-11-30,0.7340116279069756
2017-12-31,0.7769784172661741
2018-01-31,0.7485714285714208
2018-02-28,0.7112375533427989
2018-03-31,0.75319148936169
2018-04-30,0.9066478076378849
2018-05-31,0.5543018335684172
2018-06-30,0.5879043600562669
2018-07-31,0.5544226799249927
2018-08-31,0.6554621848739538
2018-09-30,0.4853146853146889
2018-10-31,0.5104602510460288
2018-11-30,0.3983286908077941
2018-12-31,0.6388888888888785
2019-01-31,0.3730929264909819
2019-02-28,0.44353410352657535
2019-03-31,1.2013793103448431
2019-04-30,0.5498000967395796
2019-05-31,0.46740327339007637
2019-06-30,0.6680327868852391
2019-07-31,0.6553133514986301
2019-08-31,0.6433227480893744
2019-09-30,0.6111965071804896
2019-10-31,0.5702811244979893
2019-11-30,0.5649263721552926
2019-12-31,0.5876840696117855
