,gross_ret
2010-01-31,0.0
2010-02-28,-0.0027819808294797677
2010-03-31,0.0047843627236467245
2010-04-30,0.021538927980392156
2010-05-31,-0.028003821592286506
2010-06-30,0.005038913203701249
2010-07-31,0.05788475447834225
2010-08-31,-0.01978873420316623
2010-09-30,-0.0037592476398963753
2010-10-31,0.022114389899742938
2010-11-30,0.03845390066838046
2010-12-31,0.001990137221393037
2011-01-31,0.025648701496821514
2011-02-28,0.037702646000874654
2011-03-31,0.004543181280285037
2011-04-30,-0.019806053932084313
2011-05-31,-0.003637245585648147
2011-06-30,0.03931094192906178
2011-07-31,0.029983787291196384
2011-08-31,-0.007962917015659956
2011-09-30,0.023455674176991147
2011-10-31,0.026464706629385965
2011-11-30,0.01734706807641921
2011-12-31,0.005472031703463204
2012-01-31,0.031103716180257514
2012-02-29,0.023085002273504275
2012-03-31,0.04099158459361703
2012-04-30,0.018126965842436976
2012-05-31,0.001869790351254794
2012-06-30,0.016716224879875514
2012-07-31,0.0007665234866529765
2012-08-31,0.038570618569195386
2012-09-30,0.01396520739959432
2012-10-31,0.031163255280241935
2012-11-30,0.004241494934453508
2012-12-31,0.008072042221327957
2013-01-31,0.019301834144869218
2013-02-28,0.03373843885311872
2013-03-31,0.018298545044265594
2013-04-30,-0.0006858613533199213
2013-05-31,0.007404831261770627
2013-06-30,0.0038104305107162957
2013-07-31,0.021634882386720324
2013-08-31,0.04902384863279678
2013-09-30,0.011576423921529178
2013-10-31,0.035572111253521124
2013-11-30,0.009716786080482898
2013-12-31,0.017089746082494972
2014-01-31,-0.04391342485311872
2014-02-28,0.014210461225296444
2014-03-31,0.058541813201581014
2014-04-30,-0.00029467519143984466
2014-05-31,0.0027316584721893506
2014-06-30,-0.011303232599211043
2014-07-31,0.058976379872696855
2014-08-31,0.032987817283547397
2014-09-30,-0.007551649688845401
2014-10-31,0.013461753348438651
2014-11-30,-0.020948914125058102
2014-12-31,0.023149323094594595
2015-01-31,0.021716005883141765
2015-02-28,-0.045683692081593924
2015-03-31,-0.04152330702337703
2015-04-30,-0.047285917160820895
2015-05-31,-0.2220402499980258
2015-06-30,0.19449453321433757
2015-07-31,-0.012740240652678574
2015-08-31,0.06648815130819963
2015-09-30,0.03505126093565062
2015-10-31,-0.015370082966131914
2015-11-30,-0.031831749689839574
2015-12-31,0.0789145905258467
2016-01-31,0.0047114382539682476
2016-02-29,0.015641173270017635
2016-03-31,0.03374066261888416
2016-04-30,0.036197467401555945
2016-05-31,-0.004561255220958188
2016-06-30,-0.051938034039827954
2016-07-31,0.04316467735580311
2016-08-31,0.010778482485517242
2016-09-30,0.01346553956687931
2016-10-31,0.006340158196551725
2016-11-30,0.016765009958620687
2016-12-31,0.03144579984827586
2017-01-31,0.017438102958762886
2017-02-28,-0.039983376045016075
2017-03-31,-0.017605711034920635
2017-04-30,-0.0011700009577464785
2017-05-31,-0.0032049007218460683
2017-06-30,0.007222520324721621
2017-07-31,-0.011065996843353475
2017-08-31,0.00352555382917051
2017-09-30,0.009945372410179645
2017-10-31,0.004192098913489737
2017-11-30,0.008373454425872095
2017-12-31,0.0032616527654676267
2018-01-31,-0.0038802734657142858
2018-02-28,0.008566222968705548
2018-03-31,0.017205212733333333
2018-04-30,0.0065108312899575665
2018-05-31,-0.020374718996826517
2018-06-30,-0.01659056505344585
2018-07-31,0.02409943472188196
2018-08-31,0.02402892712058824
2018-09-30,0.002590144005034965
2018-10-31,0.0029536748828451857
2018-11-30,0.01572187389986072
2018-12-31,0.013310946630555556
2019-01-31,0.038032726341192785
2019-02-28,-0.037608955304173186
2019-03-31,-0.019257011544827583
2019-04-30,0.030350728164633
2019-05-31,0.0371180046077325
2019-06-30,0.03441029640573771
2019-07-31,0.025439090493188012
2019-08-31,-0.008436277698082289
2019-09-30,-0.0014506986380511625
2019-10-31,1.8493419009370238e-05
2019-11-30,0.01118025889959839
2019-12-31,-0.009690217179384203
