,Q1,Q2,Q3,Q4,Q5
2010-01-31,,,,,
2010-02-28,0.07133913220809249,0.06238363970231214,0.06608254946666667,0.05237055262138728,0.06855715137861272
2010-03-31,0.04300566107692307,0.04533760756,0.048847981427350425,0.04346484071142857,0.0477900238005698
2010-04-30,-0.07837825131652662,-0.08828349662745098,-0.07224806822589531,-0.060932336430199435,-0.05683932333613445
2010-05-31,-0.05283961877410469,-0.07667391583471074,-0.09360800303305786,-0.09831538227823691,-0.08084344036639118
2010-06-30,-0.09427515803794038,-0.08351402399999999,-0.09237218442119566,-0.08432036872554348,-0.08923624483423914
2010-07-31,0.10504458227299465,0.13740054940374333,0.16012791074262733,0.15611729985561495,0.1629293367513369
2010-08-31,0.1025135216701847,0.09243155794195251,0.0779620351984127,0.07929732275197889,0.08272478746701847
2010-09-30,0.006572868212435233,0.013994183282383419,0.005506286462337663,0.01478370755181347,0.00281362057253886
2010-10-31,0.07410271366838046,0.08903554607969151,0.09204954018298969,0.10442127676349615,0.0962171035681234
2010-11-30,-0.010279156164524421,0.00858272083033419,0.01929216861340206,0.02176149810796915,0.02817474450385604
2010-12-31,-0.023569716562189057,-0.025225404244389026,-0.01703482895273632,-0.011398169588528677,-0.02157957934079602
2011-01-31,-0.0702684359804401,-0.05564175387530563,-0.050118109799511,-0.04040267696821515,-0.044619734483618584
2011-02-28,0.07437543436298076,0.09155253640963855,0.09081429020240964,0.09178850023614459,0.11207808036385543
2011-03-31,-0.018936152667458434,-0.0024937135296912117,-0.006188493416666666,-0.011027180116389548,-0.014392971387173397
2011-04-30,-0.031748176536299764,-0.023608830606557375,-0.031058179070257607,-0.03917369949648712,-0.051554230468384074
2011-05-31,-0.06941127040740741,-0.06580497272435266,-0.07490732488888889,-0.07295598355684454,-0.07304851599305555
2011-06-30,0.017734644224256295,0.027926921868421054,0.02913729341055046,0.037856733363844396,0.05704558615331808
2011-07-31,0.007941864575620768,0.022878065004524887,0.015679485357466064,0.037573723058823526,0.03792565186681716
2011-08-31,-0.02551411556152125,-0.011366122457399102,-0.012638219458612975,-0.024045648752808988,-0.03347703257718121
2011-09-30,-0.14030155836725663,-0.10520801064301552,-0.11178534982743363,-0.11307362328159645,-0.1168458841902655
2011-10-31,0.027331425188596492,0.034436482208333334,0.04541582238021978,0.05208673455701754,0.05379613181798246
2011-11-30,-0.05625237436681223,-0.03970283123580786,-0.03568809743763676,-0.029452876502183405,-0.038905306290393016
2011-12-31,-0.1587286779025974,-0.13726535595021647,-0.1444433692559653,-0.153499672487013,-0.1532566461991342
2012-01-31,-0.019828030285407725,-0.014556991851612903,-0.005231088987096774,-0.0015795498408602148,0.011275685894849785
2012-02-29,0.12277423922649573,0.12025853312419701,0.12743257607922912,0.13282675916488224,0.14585924150000001
2012-03-31,-0.0979469008787234,-0.07414447712978724,-0.06855982852361701,-0.0666008721319149,-0.05695531628510638
2012-04-30,0.0525134198592437,0.06794181521052632,0.06839428878105262,0.06698648938315789,0.07064038570168067
2012-05-31,0.021735857899791232,0.02492591249790795,0.025424084991631797,0.02716895521338912,0.023605648251046024
2012-06-30,-0.05434017606846473,-0.057420876639004144,-0.06495333991286308,-0.05739744667406639,-0.03762395118858921
2012-07-31,-0.10158501832238193,-0.09180022391563786,-0.0891709075308642,-0.08434318289917696,-0.10081849483572894
2012-08-31,0.01726437188367347,0.0167616522,0.013604213263265306,0.02324126862804878,0.055834990452868855
2012-09-30,-0.0048392544300202844,0.012793148764705881,0.013290542028397566,0.016066177387423934,0.009125952969574037
2012-10-31,-0.01318784489112903,-0.0006209704747474745,-0.0010032532424242425,-0.0005518077010101011,0.017975410389112902
2012-11-30,-0.1145356875110664,-0.10354776284274195,-0.10671727116129033,-0.10396060056048387,-0.11029419257661291
2012-12-31,0.17491502944668008,0.1674577874375,0.15105810642741938,0.1610941380826613,0.18298707166800804
2013-01-31,0.04655084210060362,0.06653483368145162,0.06066014561693549,0.07360051776814516,0.06585267624547284
2013-02-28,0.03553981855533199,0.03234591270967742,0.03679990531451613,0.042088720778225806,0.06927825740845071
2013-03-31,-0.043120405571428565,-0.033441009856854845,-0.031016978790322582,-0.03278808121975806,-0.02482186052716298
2013-04-30,-0.026557364986720323,-0.027885102810080643,-0.03174390610282258,-0.02706928439314516,-0.02724322634004024
2013-05-31,0.1447632979476861,0.14114333182056452,0.14067518044668006,0.13324165047580647,0.15216812920945674
