factor,admitted,direction,n_fail,reject_summary,gate_min_months,val_min_months,gate_min_abs_ic,val_min_abs_ic,gate_min_abs_icir,val_min_abs_icir,gate_min_ic_tstat,val_min_ic_tstat,gate_min_ic_hit_rate,val_min_ic_hit_rate,gate_min_subperiod_sign_ratio,val_min_subperiod_sign_ratio,gate_half_sample_sign_match,val_half_sample_sign_match,gate_min_rolling_icir_pos_ratio,val_min_rolling_icir_pos_ratio,gate_min_quantile_monotonicity,val_min_quantile_monotonicity,gate_min_abs_q_spread,val_min_abs_q_spread,gate_min_ls_sharpe,val_min_ls_sharpe,gate_min_ls_cagr,val_min_ls_cagr,gate_max_ls_drawdown,val_max_ls_drawdown,gate_max_avg_turnover,val_max_avg_turnover,ic_mean,ic_std,icir,ic_pos_ratio,ic_tstat,n,avg_turnover,ic_decay_1,ic_decay_3,autocorr_1,q_spread,q_monotonicity,subperiod_sign_ratio,half_sample_sign_match,rolling_icir_pos_ratio,ic_decay_0,ls_sharpe,ls_cagr,ls_max_drawdown,ls_total_return,ls_win_rate,n_months,hit_rate_adj
rev_1,True,1,0,,True,119.0,True,0.06635900696213733,True,0.5882884118518708,True,6.417468925268306,True,0.7142857142857143,True,1.0,True,True,True,1.0,True,1.0,True,0.013165551011111895,True,0.922325239147297,True,0.1173343445942232,True,-0.2251430551886997,True,1.5971902421723554,0.06635900696213733,0.11280012596754384,0.5882884118518708,0.7142857142857143,6.417468925268306,119.0,1.5971902421723554,0.023494765705799444,-0.0060285378179305285,-0.06673721883385594,0.013165551011111895,1.0,1.0,1,1.0,0.06635900696213733,0.922325239147297,0.1173343445942232,-0.2251430551886997,2.004804497870989,0.6218487394957983,119.0,0.7142857142857143
skew_12,True,1,0,,True,108.0,True,0.02676895437809868,True,0.5696659943176428,True,5.9201426730144044,True,0.7222222222222222,True,1.0,True,True,True,1.0,True,0.75,True,0.003994670896642916,True,0.6813192895880885,True,0.03255500847324089,True,-0.07044733316305496,True,0.42702052089350623,0.02676895437809868,0.04699061317529241,0.5696659943176428,0.7222222222222222,5.9201426730144044,108.0,0.42702052089350623,0.021448069376130502,0.017844358908860606,0.858069968410405,0.003994670896642916,0.75,1.0,1,1.0,0.02676895437809868,0.6813192895880885,0.03255500847324089,-0.07044733316305496,0.3739551077632286,0.5042016806722689,108.0,0.7222222222222222
max_ret,True,1,0,,True,108.0,True,0.0447452609518543,True,0.5028248204339338,True,5.225508817789625,True,0.6759259259259259,True,1.0,True,True,True,1.0,True,1.0,True,0.007546169353719185,True,0.8258081997609092,True,0.07367524572201578,True,-0.1473931677690281,True,0.28477301856024884,0.0447452609518543,0.08898777294493834,0.5028248204339338,0.6759259259259259,5.225508817789625,108.0,0.28477301856024884,0.03173730318201259,0.026790081115170332,0.8967377870000004,0.007546169353719185,1.0,1.0,1,1.0,0.044745260951854306,0.8258081997609092,0.07367524572201578,-0.1473931677690281,1.0237490496735444,0.5798319327731093,108.0,0.6759259259259259
vol_12,True,1,0,,True,108.0,True,0.04175239876867272,True,0.35284458951148473,True,3.666868537258057,True,0.6851851851851852,True,0.7777777777777778,True,True,True,1.0,True,0.75,True,0.006711062446781572,True,0.5636861724296947,True,0.06087262903412971,True,-0.1796658114373949,True,0.294031195997144,0.04175239876867272,0.1183308459582139,0.35284458951148473,0.6851851851851852,3.666868537258057,108.0,0.294031195997144,0.03229078977612155,0.03064918628601306,0.9297003287585812,0.006711062446781572,0.75,0.7777777777777778,1,1.0,0.04175239876867272,0.5636861724296947,0.06087262903412971,-0.1796658114373949,0.7967756029701196,0.5378151260504201,108.0,0.6851851851851852
mom_6,True,-1,0,,True,114.0,True,0.052533671619142575,True,0.43192155354879525,True,4.611660225979419,True,0.6754385964912281,True,0.9,True,True,True,0.8901098901098901,True,1.0,True,0.015018253171425959,True,1.1972669875940107,True,0.1585362579935501,True,-0.15401843576955498,True,0.6812246881630737,-0.052533671619142575,0.12162780761346682,-0.43192155354879525,0.32456140350877194,-4.611660225979419,114.0,0.6812246881630737,-0.014655828838127119,0.0008238682244053863,0.7580229181293,-0.015018253171425959,1.0,0.9,1,0.8901098901098901,-0.05253367161914257,1.1972669875940107,0.1585362579935501,-0.15401843576955498,3.302991610388598,0.5630252100840336,114.0,0.6754385964912281
liquidity_proxy,False,1,2,min_abs_icir: value=0.2583451636148961 vs 0.3 (有效性：|ICIR| 下限); min_subperiod_sign_ratio: value=0.7 vs 0.75 (稳定性：年度子样本 IC 同号占比下限),True,114.0,True,0.03533278028812006,False,0.2583451636148961,True,2.7583715279500782,True,0.6228070175438597,False,0.7,True,True,True,0.9560439560439561,True,1.0,True,0.005633846134396539,True,0.3732671605125302,True,0.04373943400387703,True,-0.24719402683659097,True,0.4968306396686899,0.03533278028812006,0.13676578958833963,0.2583451636148961,0.6228070175438597,2.7583715279500782,114.0,0.4968306396686899,0.029755563903666928,0.025705269329936595,0.8716438421475493,0.005633846134396539,1.0,0.7,1,0.9560439560439561,0.03533278028812006,0.3732671605125302,0.04373943400387703,-0.24719402683659097,0.5288735932661257,0.5462184873949579,114.0,0.6228070175438597
downside_vol,False,1,7,min_abs_ic: value=0.005184299732953857 vs 0.02 (有效性：|IC均值| 下限); min_abs_icir: value=0.04265371019326695 vs 0.3 (有效性：|ICIR| 下限); min_ic_tstat: value=0.4432703591163412 vs 2.0 (有效性：|IC t统计量| 下限),True,108.0,False,0.005184299732953857,False,0.04265371019326695,False,0.4432703591163412,True,0.5555555555555556,False,0.5555555555555556,False,False,False,0.4470588235294118,False,0.25,True,0.006105579533822297,True,0.41784206775712435,True,0.050226674157668905,True,-0.3329942919785568,True,0.29530470157009736,0.005184299732953857,0.12154393391485599,0.04265371019326695,0.5555555555555556,0.4432703591163412,108.0,0.29530470157009736,0.0094787530719461,0.017067262824423175,0.9083741972873443,0.006105579533822297,0.25,0.5555555555555556,0,0.4470588235294118,0.005184299732953858,0.41784206775712435,0.050226674157668905,-0.3329942919785568,0.6257615873404239,0.5378151260504201,108.0,0.5555555555555556
mom_12_1,False,-1,4,min_abs_ic: value=0.016942024096208118 vs 0.02 (有效性：|IC均值| 下限); min_abs_icir: value=0.15059015962288572 vs 0.3 (有效性：|ICIR| 下限); min_ic_tstat: value=1.5577167235256042 vs 2.0 (有效性：|IC t统计量| 下限),True,107.0,False,0.016942024096208118,False,0.15059015962288572,False,1.5577167235256042,True,0.5514018691588785,False,0.4444444444444444,True,True,True,0.6190476190476191,True,1.0,True,0.007064764204288903,True,0.6248964586960982,True,0.06127111400260188,True,-0.16936239342363035,True,0.4736449830330195,-0.016942024096208118,0.1125041911014309,-0.15059015962288572,0.4485981308411215,-1.5577167235256042,107.0,0.4736449830330195,-0.012309562672124968,-0.007403897381037212,0.8618550165758875,-0.007064764204288903,1.0,0.4444444444444444,1,0.6190476190476191,-0.016942024096208118,0.6248964586960982,0.06127111400260188,-0.16936239342363035,0.8034796284293262,0.5126050420168067,107.0,0.5514018691588785
