date,atm_iv
2025-06-30,0.1157351326604888
2025-07-01,0.1148018739414886
2025-07-02,0.1162444814539303
2025-07-03,0.1089872837648001
2025-07-04,0.1089974496587771
2025-07-07,0.1094978867211473
2025-07-08,0.1094980141248975
2025-07-09,0.1090233303942622
2025-07-10,0.1091672542737692
2025-07-11,0.1111192030494481
2025-07-14,0.1119427146459278
2025-07-15,0.1080651364621996
2025-07-16,0.1080581156763643
2025-07-17,0.1166799037351784
2025-07-18,0.1091946724495113
2025-07-21,0.1094759374465103
2025-07-22,0.1099440542304483
2025-07-23,0.1093454842485235
2025-07-24,0.1270377750132406
2025-07-25,0.1268970069905313
2025-07-28,0.1298238358367563
2025-07-29,0.1266369208206818
2025-07-30,0.1293001031631405
2025-07-31,0.1285508592964109
2025-08-01,0.1288627667902425
2025-08-04,0.1329144642442337
2025-08-05,0.1331829418702597
2025-08-06,0.126246971865626
2025-08-07,0.112411375648132
2025-08-08,0.1127482757679
2025-08-11,0.114835046241473
2025-08-12,0.1155769859614626
2025-08-13,0.1281311483372641
2025-08-14,0.1284824710268526
2025-08-15,0.1302983329590513
2025-08-18,0.1287408106832468
2025-08-19,0.1284519494153186
2025-08-20,0.1285919134703754
2025-08-21,0.1372070049408689
2025-08-22,0.1388134622139623
2025-08-25,0.1401815427473831
2025-08-26,0.1438077080526394
2025-08-27,0.1481289351688809
2025-08-28,0.1404769886288522
2025-08-29,0.1390395089192331
2025-09-01,0.1385065804699259
2025-09-02,0.1375734139689431
2025-09-03,0.1381620841243601
2025-09-04,0.1234239210471283
2025-09-05,0.1244181100589648
2025-09-08,0.1209381508234526
2025-09-09,0.120856807597758
2025-09-10,0.1191049954556244
2025-09-11,0.1198827661999707
2025-09-12,0.1201523273879523
2025-09-15,0.1182442938110376
2025-09-16,0.1178415874365287
2025-09-17,0.1226335234297513
2025-09-18,0.1225296047681286
2025-09-19,0.1233421674392492
2025-09-22,0.1236792441012661
2025-09-23,0.1557626004808873
2025-09-24,0.1389396536295763
2025-09-25,0.1450807158848875
2025-09-26,0.1463463363403625
2025-09-29,0.1446163964194342
2025-09-30,0.1441050717846517
2025-10-09,0.1450392728458227
2025-10-10,0.1409107410640692
2025-10-13,0.1406502194741326
2025-10-14,0.1388883944600819
2025-10-15,0.1378074239522437
2025-10-16,0.1349576823909724
2025-10-17,0.1389536373458968
2025-10-20,0.1410869693530456
2025-10-21,0.1410261290384512
2025-10-22,0.1410240101822261
2025-10-23,0.1504236193461568
2025-10-24,0.149885101267634
2025-10-27,0.1483810898969026
2025-10-28,0.1540773422144947
2025-10-29,0.1540802529596835
2025-10-30,0.1562183031869213
2025-10-31,0.1570325448291437
2025-11-03,0.1570377147723664
2025-11-04,0.153846184536846
2025-11-05,0.1628813767532411
2025-11-06,0.1585507191926786
2025-11-07,0.1586011164532139
2025-11-10,0.1576135366527094
2025-11-11,0.1569134115031505
2025-11-12,0.118957406946802
2025-11-13,0.1191261797235894
2025-11-14,0.1159594607625349
2025-11-17,0.1215113545564718
2025-11-18,0.1214101674574266
2025-11-19,0.1229204377589046
2025-11-20,0.1228913225076103
2025-11-21,0.121639863547934
2025-11-24,0.121495182486435
2025-11-25,0.117231780457938
2025-11-26,0.1167055437912348
2025-11-27,0.1205743999095507
2025-11-28,0.2320057633695791
2025-12-01,0.2305038685372647
2025-12-02,0.2309225772250635
2025-12-03,0.2309080879241783
2025-12-04,0.2249176475392092
2025-12-05,0.2250711272753275
2025-12-08,0.2283719744077175
2025-12-09,0.2236884392871267
2025-12-10,0.223695287511388
2025-12-11,0.2215515536710179
2025-12-12,0.2208725264957348
2025-12-15,0.220518721650781
2025-12-16,0.2222178653677803
2025-12-17,0.2135975999907627
2025-12-18,0.2135242153982215
2025-12-19,0.2135291177071515
2025-12-22,0.213645214698179
2025-12-23,0.214114847015321
2025-12-24,0.2137092574684424
2025-12-25,0.2169734330698646
2025-12-26,0.2187578504175933
2025-12-29,0.2159289257189549
2025-12-30,0.2161932062745616
2025-12-31,0.2170100896088817
2026-01-05,0.2174119372241283
2026-01-06,0.2195098983176004
2026-01-07,0.2234599579889685
2026-01-08,0.2243864428111943
2026-01-09,0.2244871167039044
2026-01-12,0.2202545016731375
2026-01-13,0.1058784304242125
2026-01-14,0.1058990558508778
2026-01-15,0.1049789841573479
2026-01-16,0.1053734695792206
2026-01-19,0.1049615631009498
2026-01-20,0.1053416794030408
2026-01-21,0.0975127863494935
2026-01-22,0.1063575454740021
2026-01-23,0.107370256670849
2026-01-26,0.1087922852345741
2026-01-27,0.1069665506600638
2026-01-28,0.1074086088163846
2026-01-29,0.1075558880212593
2026-01-30,0.1112602711407041
2026-02-02,0.112242596550766
2026-02-03,0.1140290097173636
2026-02-04,0.1138969071487158
2026-02-05,0.1141415089088535
2026-02-06,0.1128949015032341
2026-02-09,0.1080567662387678
2026-02-10,0.1034601673349844
2026-02-11,0.1101676906590407
2026-02-12,0.1114045353416814
2026-02-13,0.1075051852162336
2026-02-24,0.1093697965531347
2026-02-25,0.11787839820483
2026-02-26,0.1129026486244643
2026-02-27,0.1087579655177029
2026-03-02,0.1090585918232519
2026-03-03,0.1093582595746461
2026-03-04,0.1051610280464673
2026-03-05,0.1049678560043744
2026-03-06,0.122929278532538
2026-03-09,0.1393644391092982
2026-03-10,0.1421342517604231
2026-03-11,0.162626960341603
2026-03-12,0.1628417263730786
2026-03-13,0.1691016139875267
2026-03-16,0.1780954376138091
2026-03-17,0.1782339333120053
2026-03-18,0.1823697686800495
2026-03-19,0.1822332675289692
2026-03-20,0.1829009641613692
2026-03-23,0.1799988634646366
2026-03-24,0.1853679908267468
2026-03-25,0.1860783579161492
2026-03-26,0.1861174289913005
2026-03-27,0.1873539865154369
2026-03-30,0.1874569666062276
2026-03-31,0.1890538933672393
2026-04-01,0.1941739605613462
2026-04-02,0.2072750310654814
2026-04-03,0.2079203003212239
2026-04-07,0.208021146266081
2026-04-08,0.2066473765899174
2026-04-09,0.2017405397558477
2026-04-10,0.2017372867104756
2026-04-13,0.201666037906058
2026-04-14,0.2014674893436991
2026-04-15,0.2014550262074443
2026-04-16,0.2012788113648621
2026-04-17,0.2041969636077077
2026-04-20,0.1927592012253174
