,equity,nav
2018-01-02,1000000.0,1.0
2018-01-03,1000000.0,1.0
2018-01-04,1000000.0,1.0
2018-01-05,1000000.0,1.0
2018-01-08,1000000.0,1.0
2018-01-09,1000000.0,1.0
2018-01-10,1000000.0,1.0
2018-01-11,1000000.0,1.0
2018-01-12,1000000.0,1.0
2018-01-15,1000000.0,1.0
2018-01-16,1000000.0,1.0
2018-01-17,1000000.0,1.0
2018-01-18,1000000.0,1.0
2018-01-19,1000000.0,1.0
2018-01-22,1000000.0,1.0
2018-01-23,1000000.0,1.0
2018-01-24,1000000.0,1.0
2018-01-25,1000000.0,1.0
2018-01-26,1000000.0,1.0
2018-01-29,1000000.0,1.0
2018-01-30,1000000.0,1.0
2018-01-31,1000000.0,1.0
2018-02-01,1000000.0,1.0
2018-02-02,999850.0,0.99985
2018-02-05,1001915.5957739274,1.0019155957739274
2018-02-06,1000727.4294755684,1.0007274294755684
2018-02-07,999210.999345813,0.9992109993458129
2018-02-08,995076.6735035534,0.9950766735035533
2018-02-09,1001217.6579182483,1.0012176579182483
2018-02-12,1002805.9998185544,1.0028059998185543
2018-02-13,1001110.2366977516,1.0011102366977516
2018-02-14,1003788.0227071756,1.0037880227071756
2018-02-22,1001546.0794876224,1.0015460794876223
2018-02-23,1008915.0221649774,1.0089150221649774
2018-02-26,1008915.0221649774,1.0089150221649774
2018-02-27,1008915.0221649774,1.0089150221649774
2018-02-28,1008915.0221649774,1.0089150221649774
2018-03-01,1008915.0221649774,1.0089150221649774
2018-03-02,1008915.0221649774,1.0089150221649774
2018-03-05,1008915.0221649774,1.0089150221649774
2018-03-06,1008915.0221649774,1.0089150221649774
2018-03-07,1008915.0221649774,1.0089150221649774
2018-03-08,1008915.0221649774,1.0089150221649774
2018-03-09,1008763.6849116526,1.0087636849116526
2018-03-12,1011293.8281765482,1.0112938281765482
2018-03-13,1006370.0959361388,1.0063700959361388
2018-03-14,1016546.1801149814,1.0165461801149813
2018-03-15,1022193.8320470996,1.0221938320470996
2018-03-16,1015892.1767635552,1.0158921767635551
2018-03-19,996032.783204152,0.996032783204152
2018-03-20,991825.5082646811,0.9918255082646811
2018-03-21,1003708.4061517541,1.003708406151754
2018-03-22,999363.3307619496,0.9993633307619496
2018-03-23,970448.8176179403,0.9704488176179402
2018-03-26,975413.8962650186,0.9754138962650186
2018-03-27,979394.4012040402,0.9793944012040402
2018-03-28,960114.6152581258,0.9601146152581258
2018-03-29,968731.7363397864,0.9687317363397865
2018-03-30,973997.6980030345,0.9739976980030345
2018-04-02,962048.552372089,0.962048552372089
2018-04-03,967184.0030185475,0.9671840030185476
2018-04-04,965586.7680323195,0.9655867680323195
2018-04-09,969701.2416613211,0.9697012416613211
2018-04-10,951345.0510170582,0.9513450510170582
2018-04-11,947920.9084174542,0.9479209084174542
2018-04-12,1003460.830098215,1.003460830098215
2018-04-13,1002235.6543465412,1.0022356543465412
2018-04-16,1004347.7019653113,1.0043477019653113
2018-04-17,997188.3790893574,0.9971883790893574
2018-04-18,989936.1472844855,0.9899361472844855
2018-04-19,947680.0712580197,0.9476800712580197
2018-04-20,965425.0455151123,0.9654250455151123
2018-04-23,947732.2290018126,0.9477322290018126
2018-04-24,962744.0019584625,0.9627440019584625
2018-04-25,970322.0607864964,0.9703220607864964
2018-04-26,972879.1164808831,0.9728791164808831
2018-04-27,975048.4609356336,0.9750484609356337
2018-05-02,956971.4893097503,0.9569714893097503
2018-05-03,965110.208920598,0.9651102089205981
2018-05-04,961576.0241256336,0.9615760241256337
2018-05-07,964594.0523228188,0.9645940523228188
2018-05-08,966063.4264587206,0.9660634264587206
2018-05-09,969027.1650223752,0.9690271650223752
2018-05-10,983246.4141705073,0.9832464141705073
2018-05-11,985772.6015711217,0.9857726015711217
2018-05-14,980420.8968890276,0.9804208968890276
2018-05-15,985463.0369066161,0.9854630369066161
2018-05-16,985501.7087242713,0.9855017087242712
2018-05-17,984220.4615971113,0.9842204615971113
2018-05-18,983532.8898763795,0.9835328898763795
2018-05-21,986891.5546439555,0.9868915546439555
2018-05-22,972642.1573468492,0.9726421573468492
2018-05-23,982659.4009373104,0.9826594009373104
2018-05-24,961705.8103216075,0.9617058103216075
2018-05-25,962956.5146628742,0.9629565146628741
2018-05-28,964546.3111240467,0.9645463111240467
2018-05-29,950352.7824660286,0.9503527824660286
2018-05-30,948380.0667662321,0.9483800667662321
2018-05-31,948309.505897868,0.948309505897868
2018-06-01,962531.9849319542,0.9625319849319541
2018-06-04,959911.6726264192,0.9599116726264192
2018-06-05,967671.3960895033,0.9676713960895033
2018-06-06,971757.7458325855,0.9717577458325855
2018-06-07,976081.7664760385,0.9760817664760385
2018-06-08,961307.230282343,0.961307230282343
2018-06-11,969123.2419565107,0.9691232419565107
2018-06-12,972509.4821163268,0.9725094821163268
2018-06-13,967689.0621047707,0.9676890621047707
2018-06-14,965454.1251594037,0.9654541251594037
2018-06-15,965942.5498518563,0.9659425498518563
2018-06-19,929107.604836427,0.9291076048364271
2018-06-20,935264.6452388247,0.9352646452388247
2018-06-21,931202.4168173096,0.9312024168173095
2018-06-22,933414.8366806346,0.9334148366806346
2018-06-25,944262.6186616863,0.9442626186616864
2018-06-26,947001.5590206411,0.9470015590206411
2018-06-27,933027.2017902103,0.9330272017902104
2018-06-28,926352.4358139639,0.9263524358139639
2018-06-29,923602.4310741284,0.9236024310741283
2018-07-02,942928.6582196048,0.9429286582196047
2018-07-03,944101.9711047083,0.9441019711047083
2018-07-04,936442.5528714306,0.9364425528714306
2018-07-05,937531.3022379476,0.9375313022379476
2018-07-06,927807.5692871903,0.9278075692871903
2018-07-09,944604.4144744906,0.9446044144744906
2018-07-10,944792.3040235589,0.9447923040235588
2018-07-11,933404.8293728537,0.9334048293728537
2018-07-12,932854.6480698586,0.9328546480698585
2018-07-13,930359.5803070018,0.9303595803070018
2018-07-16,926776.4356537622,0.9267764356537622
2018-07-17,923905.6251106367,0.9239056251106367
2018-07-18,920665.5015216534,0.9206655015216534
2018-07-19,929611.6035486589,0.9296116035486589
2018-07-20,935721.569334389,0.935721569334389
2018-07-23,939382.5504769454,0.9393825504769453
2018-07-24,961718.2866546722,0.9617182866546722
2018-07-25,959888.8012940418,0.9598888012940417
2018-07-26,951207.276097601,0.951207276097601
2018-07-27,971546.0226397963,0.9715460226397963
2018-07-30,977204.3813731282,0.9772043813731282
2018-07-31,978867.5167158988,0.9788675167158988
2018-08-01,971021.86518277,0.97102186518277
2018-08-02,974556.217591499,0.974556217591499
2018-08-03,984904.5222327439,0.9849045222327439
2018-08-06,1007720.0118296607,1.0077200118296608
2018-08-07,1036115.7977085771,1.036115797708577
2018-08-08,1034096.8929775503,1.0340968929775503
2018-08-09,1030288.8864141711,1.030288886414171
2018-08-10,1021509.215864304,1.021509215864304
2018-08-13,1035284.3086206993,1.0352843086206993
2018-08-14,1046619.229495828,1.046619229495828
2018-08-15,1050519.137592027,1.0505191375920269
2018-08-16,1042990.9158044297,1.0429909158044297
2018-08-17,1044491.8236150482,1.0444918236150482
2018-08-20,1063592.6876919775,1.0635926876919775
2018-08-21,1051511.7748381414,1.0515117748381413
2018-08-22,1068145.932197291,1.068145932197291
2018-08-23,1086517.2040194822,1.0865172040194822
2018-08-24,1088009.6774389544,1.0880096774389543
2018-08-27,1077463.0757808895,1.0774630757808894
2018-08-28,1074955.4257826316,1.0749554257826317
2018-08-29,1074011.2154533328,1.0740112154533328
2018-08-30,1089401.9541331856,1.0894019541331856
2018-08-31,1100517.1964799098,1.1005171964799099
2018-09-03,1100087.876060887,1.100087876060887
2018-09-04,1096043.7130440304,1.0960437130440304
2018-09-05,1104400.5503698587,1.1044005503698588
2018-09-06,1107134.0436282651,1.107134043628265
2018-09-07,1099701.7434445778,1.0997017434445777
2018-09-10,1107126.9221505236,1.1071269221505236
2018-09-11,1100438.1205288898,1.1004381205288898
2018-09-12,1122487.9670630647,1.1224879670630648
2018-09-13,1134854.2046937887,1.1348542046937886
2018-09-14,1127347.9051478393,1.1273479051478394
2018-09-17,1126240.4737307464,1.1262404737307465
2018-09-18,1120538.678187906,1.120538678187906
2018-09-19,1116563.4048873927,1.1165634048873927
2018-09-20,1134117.7758482115,1.1341177758482115
2018-09-21,1121673.1977977413,1.1216731977977412
2018-09-25,1114135.6118340516,1.1141356118340515
2018-09-26,1116361.8998485685,1.1163618998485685
2018-09-27,1096622.3138664025,1.0966223138664024
2018-09-28,1088483.6628941009,1.0884836628941008
2018-10-08,1057641.5239030975,1.0576415239030974
2018-10-09,1100170.2714332463,1.1001702714332464
2018-10-10,1098538.1265387111,1.098538126538711
2018-10-11,1057116.1889701977,1.0571161889701977
2018-10-12,1095414.019999043,1.0954140199990432
2018-10-15,1075562.8787080506,1.0755628787080507
2018-10-16,1067727.1851274194,1.0677271851274195
2018-10-17,1073097.2518205205,1.0730972518205204
2018-10-18,1047529.2001955736,1.0475292001955736
2018-10-19,1050650.3781639717,1.0506503781639718
2018-10-22,1052344.7203811747,1.0523447203811747
2018-10-23,1045907.3054601473,1.0459073054601473
2018-10-24,1062349.839105831,1.062349839105831
2018-10-25,1065146.8185346762,1.0651468185346762
2018-10-26,1056785.1785301554,1.0567851785301554
2018-10-29,1043405.9470631592,1.0434059470631591
2018-10-30,1050039.233368808,1.050039233368808
2018-10-31,1046375.1154856114,1.0463751154856114
2018-11-01,1076553.1282960041,1.0765531282960041
2018-11-02,1107890.379651394,1.107890379651394
2018-11-05,1111034.242087177,1.111034242087177
2018-11-06,1153094.6533316106,1.1530946533316107
2018-11-07,1185916.4945171564,1.1859164945171563
2018-11-08,1173400.0229725484,1.1734000229725483
2018-11-09,1199406.0550880153,1.1994060550880152
