hour_utc,mean_bar_return,mean_abs_return,mean_volume
0,-2.906410574285695e-05,0.0010361932876686067,53.11090573012939
1,-6.836118568134216e-05,0.0012882312503471702,53.27717391304348
2,-2.2181682465195277e-05,0.000942900287894481,33.78277153558052
3,-1.4154467136431955e-05,0.000765810306576264,29.265979381443298
4,-5.158815963894457e-06,0.0007442390093903433,29.574074074074073
5,-6.418211304262519e-05,0.0010728797046519584,40.82509505703422
6,-2.560242433569015e-05,0.0012858899600203056,78.88808664259928
7,6.48590235383885e-05,0.0021391013110144312,165.17844522968198
8,-1.9256100096473987e-05,0.0016729289977550279,244.07950530035336
9,-4.248233139215614e-06,0.0017293778156296626,178.7464539007092
10,-1.990314890470755e-05,0.0012785895548065817,157.42857142857142
11,-1.5140608092648424e-05,0.0013543683263226385,172.96153846153845
12,-9.374783207474257e-05,0.0020211120232254743,252.81625441696113
13,-1.0087671683706332e-05,0.0017644174032057384,331.282722513089
14,-6.446409763582747e-06,0.001585214033428568,327.5899653979239
15,-1.4539428812612434e-05,0.001995753942425323,377.8327586206897
16,6.880541595561565e-07,0.0012972754526320133,252.25565217391303
17,2.147238165299825e-05,0.0011306986550802536,217.82280701754385
18,-1.1304986267895336e-05,0.0012504311028230556,281.50880281690144
19,1.4437607042882903e-05,0.0008313619442166174,94.53636363636363
20,1.3821141233938607e-05,0.0008409141026590027,66.92921960072596
22,-6.511539263053204e-05,0.0017158578979642564,25.702479338842974
23,-5.321090986690226e-06,0.0006973276038645128,18.89801699716714
