hour_utc,mean_bar_return,mean_abs_return,mean_volume
0,1.4442304979197893e-05,0.0010361932876686067,53.11090573012939
1,-3.3531504685459976e-05,0.0012882312503471702,53.27717391304348
2,-4.2136951133269256e-05,0.000942900287894481,33.78277153558052
3,-1.320371241728771e-05,0.000765810306576264,29.265979381443298
4,-2.1086855592278525e-05,0.0007442390093903433,29.574074074074073
5,4.7965324279349296e-05,0.0010728797046519584,40.82509505703422
6,7.953673367700862e-05,0.0012858899600203056,78.88808664259928
7,0.00027802593914016884,0.0021391013110144312,165.17844522968198
8,2.7137730999131474e-05,0.0016729289977550279,244.07950530035336
9,1.606137962644635e-05,0.0017293778156296626,178.7464539007092
10,-3.3227809483705556e-05,0.0012785895548065817,157.42857142857142
11,3.317509603921979e-05,0.0013543683263226385,172.96153846153845
12,-9.190207997818624e-05,0.0020211120232254743,252.81625441696113
13,-1.3590533355504044e-05,0.0017644174032057384,331.282722513089
14,-1.8881900968099438e-06,0.001585214033428568,327.5899653979239
15,8.200498632152971e-05,0.001995753942425323,377.8327586206897
16,4.640185385673003e-06,0.0012972754526320133,252.25565217391303
17,6.83697070172355e-05,0.0011306986550802536,217.82280701754385
18,-5.6811294309120425e-05,0.0012504311028230556,281.50880281690144
19,2.0481179328673397e-05,0.0008313619442166174,94.53636363636363
20,1.0604738338529117e-05,0.0008409141026590027,66.92921960072596
22,-6.091280603565012e-05,0.0017158578979642564,25.702479338842974
23,6.286660285262864e-06,0.0006973276038645128,18.89801699716714
