hour_utc,mean_bar_return,mean_abs_return,mean_volume
0,-1.0937025643509845e-05,0.0010361932876686067,53.11090573012939
1,-2.1278269411882274e-05,0.0012882312503471702,53.27717391304348
2,0.0,0.000942900287894481,33.78277153558052
3,0.0,0.000765810306576264,29.265979381443298
4,1.026020454060744e-06,0.0007442390093903433,29.574074074074073
5,-8.514914798481392e-06,0.0010728797046519584,40.82509505703422
6,-1.1487917339600749e-05,0.0012858899600203056,78.88808664259928
7,-1.3990419233581932e-05,0.0021391013110144312,165.17844522968198
8,-2.9855893936072504e-06,0.0016729289977550279,244.07950530035336
9,-1.8834332061752484e-05,0.0017293778156296626,178.7464539007092
10,-2.2634341814056044e-05,0.0012785895548065817,157.42857142857142
11,3.299935993645491e-05,0.0013543683263226385,172.96153846153845
12,-3.4681732650051435e-05,0.0020211120232254743,252.81625441696113
13,-2.6047377450353555e-05,0.0017644174032057384,331.282722513089
14,-1.517191843178862e-05,0.001585214033428568,327.5899653979239
15,1.489871467067357e-05,0.001995753942425323,377.8327586206897
16,-8.1289335560961e-06,0.0012972754526320133,252.25565217391303
17,4.321075321459962e-05,0.0011306986550802536,217.82280701754385
18,-2.8357765516767915e-05,0.0012504311028230556,281.50880281690144
19,3.71612064163312e-06,0.0008313619442166174,94.53636363636363
20,2.6270390253023027e-06,0.0008409141026590027,66.92921960072596
22,-3.904858452554311e-05,0.0017158578979642564,25.702479338842974
23,-8.218587583133267e-06,0.0006973276038645128,18.89801699716714
