hour_utc,mean_bar_return,mean_abs_return,mean_volume
0,1.6591905710272315e-05,0.0010361932876686067,53.11090573012939
1,-3.103423405953809e-05,0.0012882312503471702,53.27717391304348
2,-6.118439130861058e-05,0.000942900287894481,33.78277153558052
3,-3.2640524693441546e-05,0.000765810306576264,29.265979381443298
4,-8.992319244165117e-06,0.0007442390093903433,29.574074074074073
5,9.149806079690612e-05,0.0010728797046519584,40.82509505703422
6,5.184772495677188e-05,0.0012858899600203056,78.88808664259928
7,0.00028338933680056036,0.0021391013110144312,165.17844522968198
8,2.9766320074762114e-05,0.0016729289977550279,244.07950530035336
9,2.099432489616685e-05,0.0017293778156296626,178.7464539007092
10,-5.991222059065834e-05,0.0012785895548065817,157.42857142857142
11,1.9328087377466843e-05,0.0013543683263226385,172.96153846153845
12,-0.00010318031649569334,0.0020211120232254743,252.81625441696113
13,-2.77594339938179e-05,0.0017644174032057384,331.282722513089
14,5.280036370702346e-06,0.001585214033428568,327.5899653979239
15,9.016157449177302e-05,0.001995753942425323,377.8327586206897
16,-7.472399484665213e-06,0.0012972754526320133,252.25565217391303
17,6.632222262562898e-05,0.0011306986550802536,217.82280701754385
18,-4.7590794075330464e-05,0.0012504311028230556,281.50880281690144
19,-1.2237756778897723e-05,0.0008313619442166174,94.53636363636363
20,2.6521417457512963e-06,0.0008409141026590027,66.92921960072596
22,6.181883232289501e-05,0.0017158578979642564,25.702479338842974
23,3.0038928063886303e-06,0.0006973276038645128,18.89801699716714
