,ret
2010-01-31,0.0
2010-02-28,-0.004781980829479745
2010-03-31,0.0014909154301994618
2010-04-30,0.018362457392156896
2010-05-31,-0.03125451029752063
2010-06-30,0.0021946072062934744
2010-07-31,0.054724326670855666
2010-08-31,-0.023297969031662227
2010-09-30,-0.00678515437564764
2010-10-31,0.01903983977120825
2010-11-30,0.03520968473007717
2010-12-31,-0.001437723475124361
2011-01-31,0.02239686775599022
2011-02-28,-0.019547250131099404
2011-03-31,0.01072728896437052
2011-04-30,0.0016880837892271595
2011-05-31,-5.034233564813915e-05
2011-06-30,-0.0018474201819221956
2011-07-31,0.023950904451467286
2011-08-31,0.019236393747203595
2011-09-30,0.04735144690707964
2011-10-31,0.0018988879539473616
2011-11-30,0.014910779923580815
2011-12-31,0.02299109977272725
2012-01-31,0.029053513019313307
2012-02-29,0.0062731128547008725
2012-03-31,0.03043451813808511
2012-04-30,0.006716406357142849
2012-05-31,-0.004378201973187685
2012-06-30,0.015948722921369306
2012-07-31,0.010068071597535939
2012-08-31,0.019527798177551035
2012-09-30,0.0068708790567951275
2012-10-31,0.02372574144153227
2012-11-30,0.021247697543612495
2012-12-31,-0.012456389261569412
2013-01-31,0.01399244606438634
2013-02-28,0.03183462423943663
2013-03-31,0.018490448307847105
2013-04-30,-0.00693965949818913
2013-05-31,-0.012240023293561355
2013-06-30,0.0003920515771147215
2013-07-31,0.0021024969690140857
2013-08-31,0.040810872387323956
2013-09-30,-0.004243013400945658
2013-10-31,0.04265764348289739
2013-11-30,-0.012262977024144868
2013-12-31,0.024141147780684116
2014-01-31,-0.049868797148893355
2014-02-28,0.01240177634782609
2014-03-31,0.06487603368379448
2014-04-30,0.008168255589625256
2014-05-31,-0.004109888792702175
2014-06-30,-0.021438195102761348
2014-07-31,0.05426316218765748
2014-08-31,0.030660015470980653
2014-09-30,0.0014173233107632108
2014-10-31,0.01854294276257389
2014-11-30,-0.018560510246697564
2014-12-31,0.04925503041505791
2015-01-31,0.007234812386973155
2015-02-28,-0.04665401410436433
2015-03-31,-0.0384910023054543
2015-04-30,-0.0486004636421642
2015-05-31,-0.23393293460595938
2015-06-30,0.19525876345753176
2015-07-31,-0.010426085149642834
2015-08-31,0.07628114694991088
2015-09-30,0.032575321675222826
2015-10-31,-0.028295233153832432
2015-11-30,-0.04058099144919785
2015-12-31,0.07367011474688057
2016-01-31,0.012253905158730184
2016-02-29,0.010733458181834242
2016-03-31,0.015442737024305694
2016-04-30,0.03352834603005246
2016-05-31,-0.009417736819912918
2016-06-30,-0.058621799616094095
2016-07-31,0.049643676468065626
2016-08-31,0.0016970907793103572
2016-09-30,0.012890938446189678
2016-10-31,0.0020080308120689824
2016-11-30,0.013853588767241413
2016-12-31,0.03367649455000002
2017-01-31,0.018489813429553303
2017-02-28,-0.037703521004823146
2017-03-31,-0.014182831980952382
2017-04-30,0.0028612639843505535
2017-05-31,-0.00043422062617278563
2017-06-30,0.00748656711427741
2017-07-31,-0.018174919631268882
2017-08-31,0.0046695296644998375
2017-09-30,0.005264272788922171
2017-10-31,0.00691745216715544
2017-11-30,0.008059846588662788
2017-12-31,0.0013552941093525589
2018-01-31,-0.004250998271428538
2018-02-28,0.008430751423897636
2018-03-31,0.022732092224113504
2018-04-30,0.005065096553041077
2018-05-31,-0.023529530560578275
2018-06-30,-0.015942891718706047
2018-07-31,0.02554675090858601
2018-08-31,0.011752880963725497
2018-09-30,0.014913753572867132
2018-10-31,-0.00153863143654112
2018-11-30,0.03168849603342617
2018-12-31,0.013369363519444469
2019-01-31,0.030154322421636626
2019-02-28,-0.01198782482948812
2019-03-31,-0.015846892525517263
2019-04-30,0.028749258693677518
2019-05-31,0.0360143046975478
2019-06-30,0.03220950328825138
2019-07-31,0.022580893698910098
2019-08-31,-0.0074988725115673685
2019-09-30,-0.0002497734827830787
2019-10-31,-0.003298485253012051
2019-11-30,0.013463918772423013
2019-12-31,-0.01004825715662652
