,turnover
2010-01-31,0.0
2010-02-28,0.9999999999999887
2010-03-31,1.6467236467236313
2010-04-30,1.5882352941176296
2010-05-31,1.6253443526170646
2010-06-30,1.4221529987038874
2010-07-31,1.580213903743291
2010-08-31,1.7546174142479993
2010-09-30,1.512953367875632
2010-10-31,1.5372750642673443
2010-11-30,1.6221079691516438
2010-12-31,1.713930348258699
2011-01-31,1.6259168704156466
2011-02-28,0.8449142724745189
2011-03-31,0.8574821852731724
2011-04-30,0.7915690866510566
2011-05-31,0.7407407407407378
2011-06-30,0.7711670480549208
2011-07-31,0.8081264108352076
2011-08-31,0.9507829977628575
2011-09-30,0.8340707964601781
2011-10-31,0.9122807017543894
2011-11-30,0.9934497816593746
2011-12-31,0.8614718614718726
2012-01-31,0.8605150214592264
2012-02-29,0.9166666666666562
2012-03-31,1.2042553191489356
2012-04-30,0.6743697478991643
2012-05-31,0.9572199753670886
2012-06-30,0.7344398340248901
2012-07-31,0.7371663244353174
2012-08-31,0.7959183673469316
2012-09-30,0.864097363083166
2012-10-31,0.7258064516128957
2012-11-30,0.7694432725384573
2012-12-31,0.6760563380281671
2013-01-31,1.112676056338017
2013-02-28,0.6760563380281651
2013-03-31,0.7967806841046183
2013-04-30,0.6257545271629754
2013-05-31,0.7263581488933527
2013-06-30,0.9175050301810711
2013-07-31,0.5352112676056349
2013-08-31,0.6881287726358088
2013-09-30,0.7726358148893272
2013-10-31,0.6016096579476844
2013-11-30,0.5995975855130767
2013-12-31,0.655935613682088
2014-01-31,0.665995975855126
2014-02-28,0.60671936758893
2014-03-31,0.5909090909090879
2014-04-30,0.6272189349112373
2014-05-31,0.5917159763313635
2014-06-30,0.7495069033530606
2014-07-31,0.6653543307086665
2014-08-31,0.855853461227319
2014-09-30,0.7906066536203503
2014-10-31,0.9153260366653604
2014-11-30,0.6176210396893265
2014-12-31,0.741312741312748
2015-01-31,0.7643678160919657
2015-02-28,0.7685009487666045
2015-03-31,0.584404647692154
2015-04-30,0.9832089552238953
2015-05-31,0.7804428044280406
2015-06-30,0.8747731397459056
2015-07-31,0.7642857142857007
2015-08-31,0.7914438502673762
2015-09-30,0.8431372549019555
2015-10-31,0.8645276292335078
2015-11-30,0.827094474153292
2015-12-31,0.6363636363636366
2016-01-31,0.7619047619047518
2016-02-29,0.7213403880070413
2016-03-31,0.7089903215426084
2016-04-30,0.9230769230769136
2016-05-31,0.8188153310104659
2016-06-30,1.0095200269593787
2016-07-31,0.6925734024179621
2016-08-31,0.7051724137930968
2016-09-30,0.6620689655172306
2016-10-31,0.5620689655172335
2016-11-30,0.86034482758619
2016-12-31,0.756896551724124
2017-01-31,0.7508591065291921
2017-02-28,0.7106109324758814
2017-03-31,0.5968253968253966
2017-04-30,1.128325508607194
2017-05-31,0.7120319812792434
2017-06-30,0.7701543058570701
2017-07-31,1.0030211480362528
2017-08-31,0.8428143712574919
2017-09-30,1.0239520958083743
2017-10-31,0.8533724340175871
2017-11-30,0.8633720930232576
2017-12-31,0.9007194244604104
2018-01-31,0.9214285714285548
2018-02-28,0.9331436699857494
2018-03-31,0.943262411347504
2018-04-30,1.062234794908033
2018-05-31,0.7390691114245403
2018-06-30,0.7749648382559778
2018-07-31,0.7677679373433982
2018-08-31,0.8851540616246473
2018-09-30,0.7664335664335664
2018-10-31,0.8661087866108669
2018-11-30,0.7339832869080832
2018-12-31,0.9402777777777654
2019-01-31,0.6851595006934782
2019-02-28,0.7345810873632712
2019-03-31,1.3255172413793226
2019-04-30,0.6473729159423922
2019-05-31,0.596266230715741
2019-06-30,0.7240437158469862
2019-07-31,0.6730245231607562
2019-08-31,0.6554539469137217
2019-09-30,0.648823699213399
2019-10-31,0.6251673360107101
2019-11-30,0.6278447121820672
2019-12-31,0.6546184738955882
