,Q1,Q2,Q3,Q4,Q5
2010-01-31,,,,,
2010-02-28,0.07133913220809249,0.06238363970231214,0.06608254946666667,0.05237055262138728,0.06855715137861272
2010-03-31,0.04300566107692307,0.04533760756,0.048847981427350425,0.04346484071142857,0.0477900238005698
2010-04-30,-0.07837825131652662,-0.08828349662745098,-0.07224806822589531,-0.060932336430199435,-0.05683932333613445
2010-05-31,-0.05283961877410469,-0.07667391583471074,-0.09360800303305786,-0.09831538227823691,-0.08084344036639118
2010-06-30,-0.09427515803794038,-0.08351402399999999,-0.09237218442119566,-0.08432036872554348,-0.08923624483423914
2010-07-31,0.10504458227299465,0.13740054940374333,0.16012791074262733,0.15611729985561495,0.1629293367513369
2010-08-31,0.1025135216701847,0.09243155794195251,0.0779620351984127,0.07929732275197889,0.08272478746701847
2010-09-30,0.006572868212435233,0.013994183282383419,0.005506286462337663,0.01478370755181347,0.00281362057253886
2010-10-31,0.07410271366838046,0.08903554607969151,0.09204954018298969,0.10442127676349615,0.0962171035681234
2010-11-30,-0.010279156164524421,0.00858272083033419,0.01929216861340206,0.02176149810796915,0.02817474450385604
2010-12-31,-0.023569716562189057,-0.025225404244389026,-0.01703482895273632,-0.011398169588528677,-0.02157957934079602
2011-01-31,-0.0702684359804401,-0.05564175387530563,-0.050118109799511,-0.04040267696821515,-0.044619734483618584
2011-02-28,0.09901965174759615,0.09579827868192771,0.09057728882168675,0.0939920085060241,0.08116223016144579
2011-03-31,-0.019100658432304036,-0.014254613125890736,-0.008012416407142857,-0.005016750413301663,-0.006658405097387173
2011-04-30,-0.04111707863700234,-0.03762202049180328,-0.02962737792740047,-0.030930782447306793,-0.037845856674473065
2011-05-31,-0.07193496637962962,-0.07166108318329467,-0.0724951833611111,-0.0695386527359536,-0.07050382723379629
2011-06-30,0.03655615677688787,0.03766710423569794,0.03394074313073395,0.025297096061784898,0.03625107069107551
2011-07-31,0.011820691507900678,0.023849968864253394,0.024825852486425336,0.024106869346153845,0.037387848781038374
2011-08-31,-0.028162853055928413,-0.017971806515695066,-0.02313744043497758,-0.030771939147982066,-0.007024893313199105
2011-09-30,-0.14119752973451327,-0.12517546924611975,-0.11723139502654867,-0.11147272505099778,-0.09217794123451327
2011-10-31,0.042621172153508774,0.0389179600745614,0.03584583970989011,0.0493160158991228,0.04634462151096491
2011-11-30,-0.04799818511790393,-0.04299162031877729,-0.03662882641356674,-0.04128440234497816,-0.031100505631004367
2011-12-31,-0.16256406663636364,-0.14177907183333333,-0.15203386196529287,-0.15298312785714285,-0.13785002314069264
2012-01-31,-0.019898840032188843,-0.00817951078924731,-0.010603168849462366,-0.0021131459720430106,0.010875703030042918
2012-02-29,0.1303089894594017,0.12303493376445397,0.12988902550107068,0.12750276998072807,0.1384154356474359
2012-03-31,-0.09472572601063829,-0.08013513251702128,-0.06898656477446809,-0.058477274412765956,-0.06188269723425532
2012-04-30,0.05657661351260504,0.06353026064842106,0.06597551270736843,0.0757563272968421,0.06464175936554623
2012-05-31,0.021736525267223382,0.02846408589330544,0.028098982744769872,0.025288100307531383,0.019272763244769876
2012-06-30,-0.057374953468879664,-0.06224645815560166,-0.057714379356639006,-0.054442648622406636,-0.039957350879460576
2012-07-31,-0.10107960622381931,-0.099092776345679,-0.08734129754115226,-0.09069119789506173,-0.08953720197741273
2012-08-31,0.02100904951632653,0.01971878514489796,0.017025619512244895,0.026691322226530614,0.04212868442857143
2012-09-30,-0.0006952568113590264,0.014633610237322514,0.0132897964989858,0.011304599823529412,0.007903816971602435
2012-10-31,-0.009640019743951614,-0.002890696688888889,0.0002529581131313134,-0.0006502841191919188,0.015537334600806453
2012-11-30,-0.12133952601006036,-0.10948916590524194,-0.10238132080241936,-0.10727884259677418,-0.09855294192137097
2012-12-31,0.18120953661770622,0.17024702502620967,0.15712873903830646,0.15883485320362903,0.17010526003219315
2013-01-31,0.04985364617706237,0.06395486615725807,0.06286987755040323,0.07044208122983871,0.06607144435412475
2013-02-28,0.034071264563380284,0.03585574217741935,0.03938374447983871,0.03949089595766129,0.06725800147887323
2013-03-31,-0.044573250533199195,-0.029745860794354838,-0.03816204759475807,-0.028215677667338707,-0.02448924085714286
2013-04-30,-0.023855368715090544,-0.026610898514112902,-0.029667845465322577,-0.030822062665322583,-0.029543519158953722
2013-05-31,0.1428587083802817,0.15841270862903226,0.14144135517303824,0.13725022912096774,0.13207140138450704
