,2019-12-31
000402.SZ,0.0013386880856760374
688388.SH,0.0013386880856760374
000301.SZ,0.0013386880856760374
000158.SZ,0.0013386880856760374
000157.SZ,0.0013386880856760374
000504.SZ,0.0013386880856760374
000429.SZ,0.0013386880856760374
000024.SZ,0.0013386880856760374
000029.SZ,0.0013386880856760374
000031.SZ,0.0013386880856760374
000032.SZ,0.0013386880856760374
000033.SZ,0.0013386880856760374
688068.SH,0.0013386880856760374
688088.SH,0.0013386880856760374
688007.SH,0.0013386880856760374
688009.SH,0.0013386880856760374
688010.SH,0.0013386880856760374
688011.SH,0.0013386880856760374
688015.SH,0.0013386880856760374
688022.SH,0.0013386880856760374
688028.SH,0.0013386880856760374
688030.SH,0.0013386880856760374
688033.SH,0.0013386880856760374
688036.SH,0.0013386880856760374
688066.SH,0.0013386880856760374
603728.SH,0.0013386880856760374
688099.SH,0.0013386880856760374
688116.SH,0.0013386880856760374
688122.SH,0.0013386880856760374
688333.SH,0.0013386880856760374
603779.SH,0.0013386880856760374
603703.SH,0.0013386880856760374
603708.SH,0.0013386880856760374
603709.SH,0.0013386880856760374
603718.SH,0.0013386880856760374
603726.SH,0.0013386880856760374
000578.SZ,0.0013386880856760374
000589.SZ,0.0013386880856760374
000597.SZ,0.0013386880856760374
000598.SZ,0.0013386880856760374
000602.SZ,0.0013386880856760374
603886.SH,0.0013386880856760374
000619.SZ,0.0013386880856760374
000656.SZ,0.0013386880856760374
000659.SZ,0.0013386880856760374
603908.SH,0.0013386880856760374
603828.SH,0.0013386880856760374
603839.SH,0.0013386880856760374
603858.SH,0.0013386880856760374
603867.SH,0.0013386880856760374
603876.SH,0.0013386880856760374
000683.SZ,0.0013386880856760374
000688.SZ,0.0013386880856760374
000693.SZ,0.0013386880856760374
000695.SZ,0.0013386880856760374
000702.SZ,0.0013386880856760374
000703.SZ,0.0013386880856760374
000755.SZ,0.0013386880856760374
000719.SZ,0.0013386880856760374
000569.SZ,0.0013386880856760374
000726.SZ,0.0013386880856760374
000733.SZ,0.0013386880856760374
000748.SZ,0.0013386880856760374
000750.SZ,0.0013386880856760374
000594.SZ,0.0013386880856760374
000543.SZ,0.0013386880856760374
000551.SZ,0.0013386880856760374
000562.SZ,0.0013386880856760374
603803.SH,0.0013386880856760374
603806.SH,0.0013386880856760374
603733.SH,0.0013386880856760374
603755.SH,0.0013386880856760374
603766.SH,0.0013386880856760374
603777.SH,0.0013386880856760374
603823.SH,0.0013386880856760374
603826.SH,0.0013386880856760374
603787.SH,0.0013386880856760374
603789.SH,0.0013386880856760374
603800.SH,0.0013386880856760374
603617.SH,0.0013386880856760374
603808.SH,0.0013386880856760374
603810.SH,0.0013386880856760374
603811.SH,0.0013386880856760374
603813.SH,0.0013386880856760374
603816.SH,0.0013386880856760374
603819.SH,0.0013386880856760374
603655.SH,0.0013386880856760374
603656.SH,0.0013386880856760374
603606.SH,0.0013386880856760374
603608.SH,0.0013386880856760374
603613.SH,0.0013386880856760374
000823.SZ,0.0013386880856760374
000797.SZ,0.0013386880856760374
000681.SZ,0.0013386880856760374
000833.SZ,0.0013386880856760374
000836.SZ,0.0013386880856760374
603680.SH,0.0013386880856760374
603681.SH,0.0013386880856760374
603630.SH,0.0013386880856760374
603636.SH,0.0013386880856760374
603637.SH,0.0013386880856760374
603638.SH,0.0013386880856760374
603639.SH,0.0013386880856760374
603699.SH,0.0013386880856760374
603665.SH,0.0013386880856760374
603677.SH,0.0013386880856760374
603380.SH,0.0013386880856760374
603688.SH,0.0013386880856760374
603689.SH,0.0013386880856760374
603697.SH,0.0013386880856760374
603505.SH,0.0013386880856760374
603356.SH,0.0013386880856760374
603377.SH,0.0013386880856760374
000988.SZ,0.0013386880856760374
000889.SZ,0.0013386880856760374
000902.SZ,0.0013386880856760374
000916.SZ,0.0013386880856760374
000919.SZ,0.0013386880856760374
000925.SZ,0.0013386880856760374
001965.SZ,0.0013386880856760374
001979.SZ,0.0013386880856760374
000963.SZ,0.0013386880856760374
000979.SZ,0.0013386880856760374
000997.SZ,0.0013386880856760374
000999.SZ,0.0013386880856760374
000757.SZ,0.0013386880856760374
000759.SZ,0.0013386880856760374
603558.SH,0.0013386880856760374
603386.SH,0.0013386880856760374
603399.SH,0.0013386880856760374
603456.SH,0.0013386880856760374
603588.SH,0.0013386880856760374
603595.SH,0.0013386880856760374
603226.SH,0.0013386880856760374
603559.SH,0.0013386880856760374
603567.SH,0.0013386880856760374
603577.SH,0.0013386880856760374
603585.SH,0.0013386880856760374
603586.SH,0.0013386880856760374
603277.SH,0.0013386880856760374
603278.SH,0.0013386880856760374
603187.SH,0.0013386880856760374
603196.SH,0.0013386880856760374
603199.SH,0.0013386880856760374
603203.SH,0.0013386880856760374
603220.SH,0.0013386880856760374
002049.SZ,0.0013386880856760374
002050.SZ,0.0013386880856760374
002014.SZ,0.0013386880856760374
002025.SZ,0.0013386880856760374
002033.SZ,0.0013386880856760374
002083.SZ,0.0013386880856760374
002039.SZ,0.0013386880856760374
000883.SZ,0.0013386880856760374
000888.SZ,0.0013386880856760374
002052.SZ,0.0013386880856760374
000950.SZ,0.0013386880856760374
000863.SZ,0.0013386880856760374
603317.SH,0.0013386880856760374
603320.SH,0.0013386880856760374
603236.SH,0.0013386880856760374
603238.SH,0.0013386880856760374
603239.SH,0.0013386880856760374
603260.SH,0.0013386880856760374
603267.SH,0.0013386880856760374
603337.SH,0.0013386880856760374
603286.SH,0.0013386880856760374
603288.SH,0.0013386880856760374
