,factor,ic_mean,ic_std,icir,ic_pos_ratio,n
0,rev_1,0.06635900696213733,0.11280012596754384,0.5882884118518708,0.7083333333333334,119.0
1,vol_12,0.04175239876867272,0.1183308459582139,0.35284458951148473,0.6166666666666667,108.0
2,max_ret,0.044745260951854306,0.08898777294493834,0.502824820433934,0.6083333333333333,108.0
3,skew_12,0.02676895437809868,0.04699061317529241,0.5696659943176428,0.65,108.0
4,composite,0.06247411703936092,0.08224845070394868,0.7595780407370225,0.7916666666666666,119.0
