,gross_ret
2010-01-31,0.0
2010-02-28,-0.0027819808294797677
2010-03-31,0.0047843627236467245
2010-04-30,0.021538927980392156
2010-05-31,-0.028003821592286506
2010-06-30,0.005038913203701249
2010-07-31,0.05788475447834225
2010-08-31,-0.01978873420316623
2010-09-30,-0.0037592476398963753
2010-10-31,0.022114389899742938
2010-11-30,0.03845390066838046
2010-12-31,0.001990137221393037
2011-01-31,0.025648701496821514
2011-02-28,-0.017857421586150366
2011-03-31,0.012442253334916865
2011-04-30,0.003271221962529273
2011-05-31,0.0014311391458333364
2011-06-30,-0.00030508608581235417
2011-07-31,0.0255671572731377
2011-08-31,0.02113795974272931
2011-09-30,0.049019588499999996
2011-10-31,0.0037234493574561404
2011-11-30,0.016897679486899565
2011-12-31,0.024714043495670995
2012-01-31,0.03077454306223176
2012-02-29,0.008106446188034185
2012-03-31,0.03284302877638298
2012-04-30,0.008065145852941177
2012-05-31,-0.0024637620224535082
2012-06-30,0.017417602589419087
2012-07-31,0.011542404246406573
2012-08-31,0.0211196349122449
2012-09-30,0.00859907378296146
2012-10-31,0.02517735434475806
2012-11-30,0.02278658408868941
2012-12-31,-0.011104276585513077
2013-01-31,0.016217798177062374
2013-02-28,0.03318673691549296
2013-03-31,0.020084009676056343
2013-04-30,-0.005688150443863178
2013-05-31,-0.01078730699577465
2013-06-30,0.0022270616374768636
2013-07-31,0.0031729195042253557
2013-08-31,0.042187129932595574
2013-09-30,-0.0026977417711670035
2013-10-31,0.04386086279879276
2013-11-30,-0.011063781853118715
2013-12-31,0.02545301900804829
2014-01-31,-0.048536805197183105
2014-02-28,0.013615215083003951
2014-03-31,0.06605785186561265
2014-04-30,0.009422693459447731
2014-05-31,-0.0029264568400394477
2014-06-30,-0.019939181296055226
2014-07-31,0.05559387084907481
2014-08-31,0.03237172239343529
2014-09-30,0.0029985366180039115
2014-10-31,0.02037359483590461
2014-11-30,-0.01732526816731891
2014-12-31,0.050737655897683406
2015-01-31,0.008763548019157087
2015-02-28,-0.04511701220683112
2015-03-31,-0.03732219301006999
2015-04-30,-0.04663404573171641
2015-05-31,-0.2323720489971033
2015-06-30,0.19700830973702357
2015-07-31,-0.008897513721071433
2015-08-31,0.07786403465044563
2015-09-30,0.034261596185026735
2015-10-31,-0.026566177895365417
2015-11-30,-0.03892680250089126
2015-12-31,0.07494284201960784
2016-01-31,0.013777714682539688
2016-02-29,0.012176138957848325
2016-03-31,0.01686071766739091
2016-04-30,0.03537449987620629
2016-05-31,-0.007780106157891986
2016-06-30,-0.05660275956217534
2016-07-31,0.05102882327290155
2016-08-31,0.0031074356068965508
2016-09-30,0.01421507637722414
2016-10-31,0.0031321687431034497
2016-11-30,0.015574278422413794
2016-12-31,0.03519028765344827
2017-01-31,0.019991531642611686
2017-02-28,-0.03628229913987138
2017-03-31,-0.012989181187301588
2017-04-30,0.0051179150015649415
2017-05-31,0.0009898433363857012
2017-06-30,0.00902687572599155
2017-07-31,-0.016168877335196376
2017-08-31,0.006355158407014822
2017-09-30,0.00731217698053892
2017-10-31,0.008624197035190614
2017-11-30,0.009786590774709303
2017-12-31,0.0031567329582733797
2018-01-31,-0.002408141128571428
2018-02-28,0.010297038763869134
2018-03-31,0.02461861704680851
2018-04-30,0.007189566142857143
2018-05-31,-0.022051392337729195
2018-06-30,-0.01439296204219409
2018-07-31,0.027082286783272805
2018-08-31,0.013523189086974792
2018-09-30,0.016446620705734265
2018-10-31,0.0001935861366806138
2018-11-30,0.03315646260724234
2018-12-31,0.015249919075
2019-01-31,0.03152464142302358
2019-02-28,-0.010518662654761578
2019-03-31,-0.013195858042758619
2019-04-30,0.0300440045255623
2019-05-31,0.03720683715897928
2019-06-30,0.033657590719945354
2019-07-31,0.02392694274523161
2019-08-31,-0.006187964617739925
2019-09-30,0.0010478739156437192
2019-10-31,-0.002048150580990631
2019-11-30,0.014719608196787148
2019-12-31,-0.008739020208835343
