hour_utc,mean_bar_return,mean_abs_return,mean_volume
0,7.543911792509438e-05,0.0011642495623734258,75.9812925170068
1,-0.00012748040279802263,0.001644132688389964,160.53151618398638
2,1.3347132789673447e-06,0.0012224289292438078,108.49053356282272
3,-1.5676963478712862e-05,0.0008903910052409055,60.505208333333336
4,-2.374245203244401e-05,0.0006874014363979002,40.20401337792642
5,-3.1628844268037245e-05,0.0012009246027350835,108.92153589315527
6,9.705089090080961e-05,0.0011175329940242423,137.69166666666666
7,3.801721636540393e-05,0.001068545362770832,121.415
8,1.290465941221886e-05,0.0010866865783331365,113.42904841402337
9,-2.353499818220269e-05,0.0008084069818401298,86.47
10,-6.994941122553944e-06,0.0008014322034248648,84.57666666666667
11,-6.777222668779687e-05,0.0009877175754977503,140.1839464882943
12,3.2598148810476144e-05,0.0016265275135707504,309.04333333333335
13,-9.256744089334894e-05,0.0019167550062234213,447.18666666666667
14,-1.6620976728690857e-05,0.0016250514139235486,376.7816666666667
15,1.0041401854672948e-05,0.0012511650150520248,299.87333333333333
16,-2.5420191454958624e-05,0.0010468475936823748,241.22
17,-2.98276648832461e-05,0.0008401943641137405,259.57666666666665
18,1.2191845325805935e-05,0.0009034985348460487,129.37166666666667
19,1.816476099144439e-05,0.0008766822707390445,111.72454090150251
20,-4.785680976123863e-05,0.0006170501584855193,58.13333333333333
21,2.3482819612841155e-05,9.5264815967111e-05,1.0
22,7.986130650869399e-06,0.0007254009452276355,32.54130052724077
23,-9.170264913513998e-05,0.0006332984994962827,37.24531516183986
