hour_utc,mean_bar_return,mean_abs_return,mean_volume
0,-2.0343614047609385e-05,0.0011642495623734258,75.9812925170068
1,1.5614839583305458e-06,0.001644132688389964,160.53151618398638
2,1.1870641521661837e-05,0.0012224289292438078,108.49053356282272
3,-4.277563834086735e-06,0.0008903910052409055,60.505208333333336
4,2.6604042303873374e-06,0.0006874014363979002,40.20401337792642
5,-2.6634951799324353e-05,0.0012009246027350835,108.92153589315527
6,5.9633933689664704e-05,0.0011175329940242423,137.69166666666666
7,-2.7436112012156158e-06,0.001068545362770832,121.415
8,6.454791697364702e-06,0.0010866865783331365,113.42904841402337
9,1.9548004898044535e-05,0.0008084069818401298,86.47
10,-5.4723205444699255e-06,0.0008014322034248648,84.57666666666667
11,-1.6754473746012413e-05,0.0009877175754977503,140.1839464882943
12,1.147293497503014e-06,0.0016265275135707504,309.04333333333335
13,-3.5778653029316933e-06,0.0019167550062234213,447.18666666666667
14,-2.179950267936122e-06,0.0016250514139235486,376.7816666666667
15,6.6554273374399195e-06,0.0012511650150520248,299.87333333333333
16,-1.3738626930625738e-05,0.0010468475936823748,241.22
17,-1.4097448848984599e-05,0.0008401943641137405,259.57666666666665
18,-6.227351747053467e-06,0.0009034985348460487,129.37166666666667
19,-1.3260430697238314e-05,0.0008766822707390445,111.72454090150251
20,-1.8998837375799882e-06,0.0006170501584855193,58.13333333333333
21,0.0,9.5264815967111e-05,1.0
22,1.4422542721687424e-06,0.0007254009452276355,32.54130052724077
23,5.10287063456876e-06,0.0006332984994962827,37.24531516183986
