hour_utc,mean_bar_return,mean_abs_return,mean_volume
0,-3.228939388386899e-05,0.0011642495623734258,75.9812925170068
1,-3.212688345125556e-05,0.001644132688389964,160.53151618398638
2,-1.0837873984245284e-05,0.0012224289292438078,108.49053356282272
3,-9.828262144855897e-06,0.0008903910052409055,60.505208333333336
4,-1.539253103416191e-06,0.0006874014363979002,40.20401337792642
5,-5.775922655818042e-05,0.0012009246027350835,108.92153589315527
6,8.618713097057936e-06,0.0011175329940242423,137.69166666666666
7,-5.51377652367994e-06,0.001068545362770832,121.415
8,1.637792904891774e-05,0.0010866865783331365,113.42904841402337
9,-1.654989348403857e-05,0.0008084069818401298,86.47
10,-1.3286820192910388e-05,0.0008014322034248648,84.57666666666667
11,-7.624664170169437e-05,0.0009877175754977503,140.1839464882943
12,-1.6174931231155618e-05,0.0016265275135707504,309.04333333333335
13,-2.9549178430725576e-05,0.0019167550062234213,447.18666666666667
14,-7.1593236138922656e-06,0.0016250514139235486,376.7816666666667
15,7.919730909088373e-06,0.0012511650150520248,299.87333333333333
16,-1.5725654300110897e-05,0.0010468475936823748,241.22
17,-1.5813635045667425e-05,0.0008401943641137405,259.57666666666665
18,-8.815953460919456e-06,0.0009034985348460487,129.37166666666667
19,7.782027541332366e-06,0.0008766822707390445,111.72454090150251
20,-2.393537487855128e-06,0.0006170501584855193,58.13333333333333
21,0.0,9.5264815967111e-05,1.0
22,-1.7241104774008452e-05,0.0007254009452276355,32.54130052724077
23,-1.405392939080533e-05,0.0006332984994962827,37.24531516183986
