,turnover
2010-01-31,0.0
2010-02-28,0.4999999999999999
2010-03-31,0.8191489361702128
2010-04-30,0.8105263157894735
2010-05-31,0.8437499999999998
2010-06-30,0.6836734693877551
2010-07-31,0.797979797979798
2010-08-31,0.8484848484848486
2010-09-30,0.7425742574257428
2010-10-31,0.7254901960784317
2010-11-30,0.8823529411764711
2010-12-31,0.9038461538461542
2011-01-31,0.7904761904761907
2011-02-28,0.8396226415094341
2011-03-31,0.8867924528301888
2011-04-30,0.8224299065420562
2011-05-31,0.7757009345794391
2011-06-30,0.7962962962962963
2011-07-31,0.8055555555555556
2011-08-31,0.8796296296296295
2011-09-30,0.7247706422018348
2011-10-31,0.7545454545454546
2011-11-30,0.8090909090909092
2011-12-31,0.8090909090909091
2012-01-31,0.8018018018018018
2012-02-29,0.8378378378378377
2012-03-31,0.7678571428571429
2012-04-30,0.7678571428571432
2012-05-31,0.8495575221238939
2012-06-30,0.8230088495575221
2012-07-31,0.743362831858407
2012-08-31,0.7522123893805309
2012-09-30,0.6725663716814159
2012-10-31,0.654867256637168
2012-11-30,0.6666666666666666
2012-12-31,0.5350877192982456
2013-01-31,0.7017543859649122
2013-02-28,0.5789473684210527
2013-03-31,0.6052631578947368
2013-04-30,0.5614035087719298
2013-05-31,0.5789473684210525
2013-06-30,0.5964912280701754
2013-07-31,0.631578947368421
2013-08-31,0.4385964912280701
2013-09-30,0.5789473684210525
2013-10-31,0.48245614035087714
2013-11-30,0.5175438596491229
2013-12-31,0.49122807017543857
2014-01-31,0.5438596491228069
2014-02-28,0.5304347826086956
2014-03-31,0.4695652173913043
2014-04-30,0.5391304347826086
2014-05-31,0.4521739130434782
2014-06-30,0.48695652173913034
2014-07-31,0.5478260869565216
2014-08-31,0.7130434782608694
2014-09-30,0.643478260869565
2014-10-31,0.6695652173913043
2014-11-30,0.5826086956521739
2014-12-31,0.6782608695652173
2015-01-31,0.5172413793103448
2015-02-28,0.5128205128205128
2015-03-31,0.3931623931623933
2015-04-30,0.47457627118644097
2015-05-31,0.3813559322033897
2015-06-30,0.4745762711864406
2015-07-31,0.4789915966386553
2015-08-31,0.5378151260504204
2015-09-30,0.5714285714285716
2015-10-31,0.5042016806722691
2015-11-30,0.4789915966386556
2015-12-31,0.4453781512605044
2016-01-31,0.46218487394958
2016-02-29,0.43697478991596655
2016-03-31,0.43697478991596655
2016-04-30,0.4957983193277313
2016-05-31,0.5042016806722691
2016-06-30,0.5210084033613447
2016-07-31,0.5083333333333335
2016-08-31,0.4666666666666667
2016-09-30,0.5083333333333334
2016-10-31,0.38333333333333336
2016-11-30,0.49166666666666675
2016-12-31,0.36666666666666675
2017-01-31,0.3833333333333334
2017-02-28,0.43902439024390255
2017-03-31,0.41463414634146334
2017-04-30,0.5161290322580645
2017-05-31,0.38709677419354854
2017-06-30,0.29838709677419367
2017-07-31,0.29838709677419367
2017-08-31,0.3870967741935486
2017-09-30,0.27419354838709686
2017-10-31,0.29838709677419367
2017-11-30,0.22580645161290333
2017-12-31,0.25806451612903236
2018-01-31,0.24000000000000032
2018-02-28,0.30158730158730135
2018-03-31,0.23015873015873023
2018-04-30,0.24603174603174607
2018-05-31,0.19841269841269854
2018-06-30,0.20161290322580655
2018-07-31,0.1451612903225807
2018-08-31,0.25806451612903236
2018-09-30,0.16129032258064524
2018-10-31,0.20161290322580652
2018-11-30,0.185483870967742
2018-12-31,0.24800000000000028
2019-01-31,0.15079365079365054
2019-02-28,0.2857142857142858
2019-03-31,0.4687500000000001
2019-04-30,0.17187500000000006
2019-05-31,0.39062500000000006
2019-06-30,0.5234375
2019-07-31,0.496124031007752
2019-08-31,0.3410852713178295
2019-09-30,0.2558139534883721
2019-10-31,0.23255813953488372
2019-11-30,0.2713178294573643
2019-12-31,0.20155038759689925
