,2019-12-31
000024.SZ,0.007751937984496124
000031.SZ,0.007751937984496124
000069.SZ,0.007751937984496124
000157.SZ,0.007751937984496124
000527.SZ,0.007751937984496124
000538.SZ,0.007751937984496124
000555.SZ,0.007751937984496124
000562.SZ,0.007751937984496124
000750.SZ,0.007751937984496124
000938.SZ,0.007751937984496124
000963.SZ,0.007751937984496124
000999.SZ,0.007751937984496124
001965.SZ,0.007751937984496124
002007.SZ,0.007751937984496124
002008.SZ,0.007751937984496124
002038.SZ,0.007751937984496124
002049.SZ,0.007751937984496124
002050.SZ,0.007751937984496124
002106.SZ,0.007751937984496124
002120.SZ,0.007751937984496124
002129.SZ,0.007751937984496124
002152.SZ,0.007751937984496124
002153.SZ,0.007751937984496124
002155.SZ,0.007751937984496124
002179.SZ,0.007751937984496124
002275.SZ,0.007751937984496124
002311.SZ,0.007751937984496124
002410.SZ,0.007751937984496124
002415.SZ,0.007751937984496124
002470.SZ,0.007751937984496124
002475.SZ,0.007751937984496124
002558.SZ,0.007751937984496124
002602.SZ,0.007751937984496124
002916.SZ,0.007751937984496124
002945.SZ,0.007751937984496124
002958.SZ,0.007751937984496124
300015.SZ,0.007751937984496124
300104.SZ,0.007751937984496124
300144.SZ,0.007751937984496124
300408.SZ,0.007751937984496124
600005.SH,0.007751937984496124
600019.SH,0.007751937984496124
600021.SH,0.007751937984496124
600023.SH,0.007751937984496124
600048.SH,0.007751937984496124
600050.SH,0.007751937984496124
600074.SH,0.007751937984496124
600079.SH,0.007751937984496124
600085.SH,0.007751937984496124
600087.SH,0.007751937984496124
600096.SH,0.007751937984496124
600100.SH,0.007751937984496124
600102.SH,0.007751937984496124
600104.SH,0.007751937984496124
600160.SH,0.007751937984496124
600161.SH,0.007751937984496124
600177.SH,0.007751937984496124
600270.SH,0.007751937984496124
600271.SH,0.007751937984496124
600276.SH,0.007751937984496124
600299.SH,0.007751937984496124
600312.SH,0.007751937984496124
600315.SH,0.007751937984496124
600373.SH,0.007751937984496124
600432.SH,0.007751937984496124
600436.SH,0.007751937984496124
600456.SH,0.007751937984496124
600498.SH,0.007751937984496124
600519.SH,0.007751937984496124
600566.SH,0.007751937984496124
600582.SH,0.007751937984496124
600585.SH,0.007751937984496124
600588.SH,0.007751937984496124
600601.SH,0.007751937984496124
600606.SH,0.007751937984496124
600631.SH,0.007751937984496124
600637.SH,0.007751937984496124
600642.SH,0.007751937984496124
600655.SH,0.007751937984496124
600660.SH,0.007751937984496124
600674.SH,0.007751937984496124
600675.SH,0.007751937984496124
600688.SH,0.007751937984496124
600704.SH,0.007751937984496124
600718.SH,0.007751937984496124
600737.SH,0.007751937984496124
600741.SH,0.007751937984496124
600760.SH,0.007751937984496124
600832.SH,0.007751937984496124
600837.SH,0.007751937984496124
600873.SH,0.007751937984496124
600887.SH,0.007751937984496124
600968.SH,0.007751937984496124
600977.SH,0.007751937984496124
600997.SH,0.007751937984496124
600998.SH,0.007751937984496124
600999.SH,0.007751937984496124
601006.SH,0.007751937984496124
601098.SH,0.007751937984496124
601127.SH,0.007751937984496124
601158.SH,0.007751937984496124
601211.SH,0.007751937984496124
601229.SH,0.007751937984496124
601268.SH,0.007751937984496124
601288.SH,0.007751937984496124
601298.SH,0.007751937984496124
601299.SH,0.007751937984496124
601318.SH,0.007751937984496124
601336.SH,0.007751937984496124
601566.SH,0.007751937984496124
601601.SH,0.007751937984496124
601607.SH,0.007751937984496124
601628.SH,0.007751937984496124
601668.SH,0.007751937984496124
601717.SH,0.007751937984496124
601766.SH,0.007751937984496124
601801.SH,0.007751937984496124
601877.SH,0.007751937984496124
601901.SH,0.007751937984496124
601928.SH,0.007751937984496124
601933.SH,0.007751937984496124
601958.SH,0.007751937984496124
601966.SH,0.007751937984496124
601988.SH,0.007751937984496124
603160.SH,0.007751937984496124
603260.SH,0.007751937984496124
603288.SH,0.007751937984496124
603858.SH,0.007751937984496124
603899.SH,0.007751937984496124
