,excess
2010-01-31,0.10390431740918504
2010-02-28,0.021462271185670678
2010-03-31,-0.0026204592860915726
2010-04-30,0.03493787255567534
2010-05-31,-0.0005246634778598297
2010-06-30,-0.013982597394110008
2010-07-31,0.02863121611170988
2010-08-31,0.046362937413344255
2010-09-30,0.018469968860403703
2010-10-31,-0.006328247607528259
2010-11-30,0.09458918246395445
2010-12-31,-0.003742220106346247
2011-01-31,-0.01669179988883477
2011-02-28,0.0468825752535153
2011-03-31,-0.02028715513389347
2011-04-30,-0.02123993311881691
2011-05-31,-0.017959032223608368
2011-06-30,0.029917190607478786
2011-07-31,0.04701289074663962
2011-08-31,-0.016571560639881334
2011-09-30,-0.017025300037487617
2011-10-31,0.009363626561008968
2011-11-30,0.014819665060725302
2011-12-31,-0.0413126744530129
2012-01-31,-0.01709013453092579
2012-02-29,0.04406151419577903
2012-03-31,0.005012451936744891
2012-04-30,0.035738100805212905
2012-05-31,0.028133703416791632
2012-06-30,0.009339479322997252
2012-07-31,-0.02161651321954164
2012-08-31,0.059582315267633336
2012-09-30,-0.016385578265311666
2012-10-31,0.07550126473677662
2012-11-30,-0.0428197529748771
2012-12-31,-0.011524028383585239
2013-01-31,-0.012610061974210815
2013-02-28,0.048141130662118836
2013-03-31,0.02395559660519065
2013-04-30,0.005183418168073151
2013-05-31,0.05542459565671956
2013-06-30,0.0390672438746838
2013-07-31,0.05941133379535014
2013-08-31,0.041936145803499886
2013-09-30,0.009536824796735878
2013-10-31,0.015524767596734289
2013-11-30,0.02591440145780881
2013-12-31,0.0018454349573527873
2014-01-31,0.025403536657416213
2014-02-28,0.02409894760191792
2014-03-31,0.01217419142106845
2014-04-30,-0.02316759906706346
2014-05-31,0.016947092989258908
2014-06-30,0.012099254084637353
2014-07-31,0.030287434815267758
2014-08-31,0.05236612139427529
2014-09-30,0.03293256966325846
2014-10-31,0.0040586143215266025
2014-11-30,-0.01842837080027679
2014-12-31,-0.15394116783534217
2015-01-31,0.09810173516806442
2015-02-28,0.02373664094762494
2015-03-31,0.04060696930061017
2015-04-30,0.008269328158443112
2015-05-31,0.1738312552184858
2015-06-30,0.030938979024177506
2015-07-31,0.004670581863452122
2015-08-31,0.007357436317478039
2015-09-30,0.008891939386568778
2015-10-31,0.03834728072564139
2015-11-30,0.032436705827708016
2015-12-31,0.007159048519976889
2016-01-31,-0.03933856391907675
2016-02-29,-0.0018579521823475012
2016-03-31,0.02235741197151886
2016-04-30,0.0026234830402249894
2016-05-31,-0.014654126425580786
2016-06-30,0.009251110994780529
2016-07-31,0.020139782926966353
2016-08-31,-0.0021339674078936707
2016-09-30,0.004501487788514044
2016-10-31,0.006075919444295717
2016-11-30,-0.027100467497463906
2016-12-31,0.025085712578054545
2017-01-31,-0.014298556894147095
2017-02-28,0.02051199417053408
2017-03-31,-0.007978750376887226
2017-04-30,-0.01582450358469739
2017-05-31,-0.06587972806678136
2017-06-30,-0.0124096004885886
2017-07-31,0.008715364615181784
2017-08-31,0.0070908555824779305
2017-09-30,0.0039031428650930615
2017-10-31,-0.06058885033457252
2017-11-30,0.004405478055847518
2017-12-31,-0.023121210194400787
2018-01-31,-0.05973118723029495
2018-02-28,0.015556818727250676
2018-03-31,0.029886979601858408
2018-04-30,0.006331099358844922
2018-05-31,-0.039466523140191195
2018-06-30,-0.02033869029105667
2018-07-31,0.004315769254357129
2018-08-31,0.00777410513838752
2018-09-30,-0.01185301616684763
2018-10-31,0.025308338093824774
2018-11-30,0.0141123042342267
2018-12-31,0.018149781144452905
2019-01-31,-0.05492433590426595
2019-02-28,0.023330886018477187
2019-03-31,0.009727149392861262
2019-04-30,-0.02997173940071985
2019-05-31,0.022120813873127823
2019-06-30,-0.014821277515452223
2019-07-31,-0.005033955420584645
2019-08-31,-0.014508492232590556
2019-09-30,-0.002039095503146748
2019-10-31,-0.02854038517527363
2019-11-30,0.011783090508732826
2019-12-31,-0.004093739865613524
