,factor,ic_mean,ic_std,icir,ic_pos_ratio,n
0,rev_1,0.03653959016273508,0.1114312883127872,0.32791140366401034,0.5666666666666667,119.0
1,vol_12,0.029079525989401413,0.10964239168392623,0.26522155840262035,0.5416666666666666,108.0
2,max_ret,0.022613367398252766,0.09033909575519344,0.2503165125709459,0.5333333333333333,108.0
3,skew_12,0.019364506137731934,0.06410256662667571,0.302086283853626,0.6083333333333333,108.0
4,composite,0.03880689434301959,0.09472915095069502,0.40966158731030905,0.6416666666666667,119.0
