,Q1,Q2,Q3,Q4,Q5
2010-01-31,,,,,
2010-02-28,0.06389077770967742,0.08928802515217392,0.035338677677419356,0.04022570083695652,0.04665304905376344
2010-03-31,0.04795246581914893,0.038083717638297876,0.039874346387096776,0.009680369276595744,0.01850214870212766
2010-04-30,-0.04831641610526316,-0.07506979210526316,-0.06969707624468086,-0.06689569224210526,-0.04660744835789474
2010-05-31,-0.05528502152083333,-0.06533185744210526,-0.09192374813541666,-0.10362396051578947,-0.09471782663541667
2010-06-30,-0.09235212998979592,-0.0797870253814433,-0.08565600464948453,-0.07360235925773195,-0.09084459037113402
2010-07-31,0.11174165525353535,0.13369809173469388,0.13945740817346938,0.15241426862244897,0.1494608676632653
2010-08-31,0.08781537760606062,0.07292865437755101,0.05257742103030304,0.05786376324489796,0.060030576505050504
2010-09-30,0.0291683747029703,0.021326001589999997,0.011520825267326732,0.03080089585,0.031110441722772275
2010-10-31,0.11845362797058824,0.10910993517821783,0.15245412467326733,0.14520139536633664,0.14796075865346536
2010-11-30,-0.05666034362745098,-0.0347826361980198,0.009711556009900991,-0.02058714594059406,0.02233226979207921
2010-12-31,-0.0025503537211538476,-0.023349017317307694,0.0009764201165048537,-0.000561856105769231,-0.004715543538461538
2011-01-31,-0.07370722573333333,-0.03898889273076923,-0.017919471653846154,-0.02990477142307692,-0.031654543428571436
2011-02-28,0.05458821817924528,0.07400486124761904,0.07611700376190476,0.08185661922857143,0.10212388742857144
2011-03-31,-0.027441758499999996,-0.015228945552380952,-0.017572331820754718,-0.01862761100952381,-0.02353616888679245
2011-04-30,-0.03394118158878505,-0.018821985320754717,-0.01613567466981132,-0.006116288801886793,-0.0290776418317757
2011-05-31,-0.06871741136448598,-0.06615669240186915,-0.06358837671883019,-0.07485635142990654,-0.07628347947663551
2011-06-30,0.024347545416666668,0.031974760962616824,0.032391075355140186,0.02346054234579439,0.04608428605607477
2011-07-31,-0.0005160073981481473,0.0009580823551401872,0.004316868953271029,0.007637799224299065,0.024968318166666666
2011-08-31,-0.0017844458055555536,-0.028882387453703705,-0.048472886129629626,-0.0330808915,-0.05697235243518518
2011-09-30,-0.11402650693577981,-0.10013305714678898,-0.09819367541284404,-0.10136505804587156,-0.1088128093027523
2011-10-31,0.045990788390909094,0.036961761348623855,0.05712436655963303,0.04211521248623853,0.05536644666972477
2011-11-30,-0.0534346718,-0.05758736184403669,-0.0544136891,-0.04959662267889908,-0.048039747972727274
2011-12-31,-0.12035833662727273,-0.09500387048181817,-0.11058664929999999,-0.10313282381818181,-0.10940561911818182
2012-01-31,-0.010320482171171172,0.004783982872727273,0.008861436227272729,0.021975016763636362,0.03503820852252252
2012-02-29,0.1078302862882883,0.10341292227027027,0.1122226174818182,0.10488761346846846,0.1146759374054054
2012-03-31,-0.07694661373214286,-0.07583072742342342,-0.07519207757657657,-0.06877703221621621,-0.06111493588288288
2012-04-30,0.0469655114375,0.06488053816071429,0.07310134661261261,0.07752110167857143,0.10703552049107143
2012-05-31,0.010119213938053099,0.019843140464285713,0.017986137598214286,0.04525170398214286,0.03216203282142857
2012-06-30,-0.049289159539823005,-0.06121153129464286,-0.05923706659292036,-0.07112266737499999,-0.05376650600884955
2012-07-31,-0.053479877592920354,-0.06353639169642857,-0.07139937066371682,-0.07539088205357143,-0.07240854446902655
2012-08-31,-0.025800346300884954,-0.02149373084955752,-0.028335057008928573,0.019232889725663713,0.006196779530973451
2012-09-30,0.013887394327433626,0.013161291300884956,0.016202644300884955,0.031233385212389383,0.02497918185840708
