factor,total_return,cagr,ann_vol,sharpe,max_drawdown,calmar,win_rate,n_obs,avg_turnover,avg_cost,avg_n_long,avg_n_short
rev_1,0.5290121038924647,0.043376599624769696,0.11665388523963759,0.4216513957840177,-0.24975346990076075,0.1736776655876106,0.475,120.0,1.552713326573044,0.0031054266531460877,116.15966386554622,116.5126050420168
vol_12,0.18276827205440016,0.016927441014920275,0.1045744472281029,0.21356922761479244,-0.17937056432639642,0.09437134280359294,0.5,120.0,0.2876278157575121,0.0005752556315150243,115.12962962962963,115.38888888888889
max_ret,0.13037531221483745,0.01233037108108248,0.08561163864681803,0.18621669018275944,-0.1321723959034944,0.09329006254895686,0.5,120.0,0.2758295219634276,0.000551659043926855,115.12962962962963,115.38888888888889
skew_12,-0.0025336653560866784,-0.00025365587571379855,0.06511102427961468,0.028707507683785525,-0.2145306277866691,-0.0011823760473308076,0.4583333333333333,120.0,0.4294236270234293,0.0008588472540468587,115.08333333333333,115.3425925925926
