,ret
2010-01-31,0.0
2010-02-28,0.04565304905376344
2010-03-31,0.01686385082978724
2010-04-30,-0.048228500989473656
2010-05-31,-0.09640532663541666
2010-06-30,-0.0897755979489796
2010-07-31,0.1479318997676768
2010-08-31,0.05833360680808082
2010-09-30,0.029625293207920796
2010-10-31,0.14505918258823536
2010-11-30,0.022695921107843152
2010-12-31,-0.006523235846153849
2011-01-31,-0.03323549580952382
2011-02-28,0.09988130017924529
2011-03-31,-0.025309753792452833
2011-04-30,-0.03072250164485981
2011-05-31,-0.07783488134579439
2011-06-30,0.04408750582407407
2011-07-31,0.023357207055555558
2011-08-31,-0.05873161169444444
2011-09-30,-0.11026235058715597
2011-10-31,0.05350950275454546
2011-11-30,-0.0496579297909091
2011-12-31,-0.11102380093636366
2012-01-31,0.03343460491891891
2012-02-29,0.11300026172972971
2012-03-31,-0.06303396541071431
2012-04-30,0.10549980620535716
2012-05-31,0.03037461925663717
2012-06-30,-0.055412523707964595
2012-07-31,-0.07389527013274336
2012-08-31,0.004692354752212391
2012-09-30,0.02363404911504425
2012-10-31,0.05880513242477878
2012-11-30,-0.0938921233508772
2012-12-31,0.16761229476315787
2013-01-31,0.05236541229824561
2013-02-28,0.04309625069298245
2013-03-31,-0.04271937478070175
2013-04-30,-0.01396504307894737
2013-05-31,0.12044302642982455
2013-06-30,-0.11661989113398247
2013-07-31,0.05594961307017544
2013-08-31,0.0970605608859649
2013-09-30,0.05064775612280701
2013-10-31,0.0008637234649122792
2013-11-30,0.053392812210526316
2013-12-31,-0.042812416535087716
2014-01-31,-0.029349498877192983
2014-02-28,0.013438548373913043
2014-03-31,-0.002817288356521738
2014-04-30,-0.017411622686956518
2014-05-31,0.01593026064347826
2014-06-30,0.016112303802608693
2014-07-31,0.11579455299999998
2014-08-31,0.0472756488347826
2014-09-30,0.08113063022608695
2014-10-31,0.027452037930434773
2014-11-30,0.10137026639130434
2014-12-31,0.10413384535652172
2015-01-31,0.06999667383620689
2015-02-28,0.06405035002564106
2015-03-31,0.1744950221196582
2015-04-30,0.1807321318508474
2015-05-31,0.19297761001631947
2015-06-30,-0.045046226771186436
2015-07-31,-0.1420539094033614
2015-08-31,-0.1105882980504202
2015-09-30,-0.03970056240336135
2015-10-31,0.14173053146218492
2015-11-30,0.04158573547058824
2015-12-31,0.053309770117647086
2016-01-31,-0.2497147399159665
2016-02-29,-0.025151060613445388
2016-03-31,0.14073282653781516
2016-04-30,-0.0164383954789916
2016-05-31,-0.010594659527310927
2016-06-30,0.004317051957983195
2016-07-31,0.03599608871666667
2016-08-31,0.03652586173333334
2016-09-30,-0.01788842034166667
2016-10-31,0.03158639764166667
2016-11-30,0.03336311956666667
2016-12-31,-0.03933490160000001
2017-01-31,0.009229509916666668
2017-02-28,0.039653214032520326
2017-03-31,-0.007041773861788618
2017-04-30,-0.020538707903225817
2017-05-31,-0.05043341070161292
2017-06-30,0.03738111040967743
2017-07-31,0.028098899566935495
2017-08-31,0.029622312830047594
2017-09-30,0.007672919685483875
2017-10-31,-0.016221147790322587
2017-11-30,0.004251085193548393
2017-12-31,-0.01694173249193549
2018-01-31,0.001060800679999995
2018-02-28,-0.04343828984126985
2018-03-31,-0.0012151443888888912
2018-04-30,-0.029996020492063496
2018-05-31,-0.02735555908876089
2018-06-30,-0.09697273157580649
2018-07-31,0.006216175323387098
2018-08-31,-0.04429271079758066
2018-09-30,0.019444384588709684
2018-10-31,-0.057579916371774224
2018-11-30,0.020094438387096777
2018-12-31,-0.03292249080799999
2019-01-31,0.008510230833333335
2019-02-28,0.16942420245238096
2019-03-31,0.0650420606015625
2019-04-30,-0.01941745308730159
2019-05-31,-0.050306077492187504
2019-06-30,0.039120670242187496
2019-07-31,-0.002479680317829457
2019-08-31,-0.023835544434108527
2019-09-30,0.0018934129999999996
2019-10-31,-0.00960653776744186
2019-11-30,-0.0031603122170542645
2019-12-31,0.06588133263565892
