,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31
rev_1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.530149762097393,0.5349145384191841,0.888555569626539,0.6718120701584713,0.8271829149877423,0.8181572598840883,0.6434645262421805,0.4825102313731067,0.5083905138864547,0.5252525407788062,0.48541025595245674,0.3868374393522911,0.5238336585109375,0.5958423932372392,0.48449186274651734,0.45099890673898757,0.5230978042226935,0.5127061228585674,0.4737950032298717,0.41453728998599615,0.4492884909036813,0.4435429879092552,0.38854453585235055,0.47736110198926385,0.44877500975966267,0.5038754885263341,0.4149747085219409,0.40456230304933155,0.33890246780541883,0.3261663994988321,0.3880278145512463,0.48388291320702675,0.5113712423938394,0.5181629590753695,0.487507891259607,0.5774275249474928,0.36973822576158183,0.35866985775901855,0.33327459821137745,0.3685271836676612,0.3696337816949819,0.30896307408561036,0.31789963540108573,0.31500180289007707,0.28470439882321247,0.3102168414790954,0.377154201676386,0.30145630238043897,0.3091761356993592,0.26853333200595264,0.25827296551833817,0.29305364483372087,0.3160543096552576,0.3043108758925185,0.3527017601949681,0.3136777522606316,0.29211192562317273,0.2657181345700274,0.3344340310783014,0.30387748708646917,0.31070404447606936,0.29343244575585264,0.33281982003046007,0.2955607136549254,0.20946497718836304,0.15925858486644362,0.1704678809939062,0.11899426136764657,0.20123090881250846,0.1705548203100845,0.1119026366182187,0.07950827342314822,0.0695643620364075,0.12109444356658444,0.16526096392106043,0.02292518471099875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01290153510163563,0.0,0.30764885240178264,0.33997089574940736,0.2675857544871079,0.25372448394146496,0.13397856019991436,0.15793713046291585,0.1429340675923481,0.16978591685783667
vol_12,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2508718670530397,0.20906901758989838,0.0,0.053094125600262936,0.0225513284024091,0.0,0.05180000766141493,0.09586922620926021,0.07274101304500108,0.07601627880872534,0.08400551968193193,0.13239379084956843,0.08359508068159933,0.02931398527169117,0.06580538399111124,0.0693857734437908,0.011190512179870464,0.0,0.047422248673162214,0.030517454293121672,0.04003331239001541,0.00782800464950396,0.06479132682025072,0.030310851426031453,0.04731317703149382,0.04816800234696161,0.12091804030108702,0.12021013357174659,0.14556080194061202,0.15553208045207922,0.12826391386938446,0.1261809925944443,0.12272668748331415,0.16751688822860186,0.1946713706511619,0.16640165346895605,0.2624872304176185,0.26048969473851236,0.265542590515386,0.2515186763775286,0.2467115670114892,0.289217104838692,0.2664545708771019,0.30007261220886655,0.33734248557116053,0.33892367464179346,0.2817537513475545,0.2999579208745797,0.2818715388709302,0.2896799645485294,0.30395250027127035,0.2525165130300024,0.25268529787520805,0.27968312658391886,0.2831748849490443,0.2779643667006302,0.27849096876105706,0.24750380599053928,0.19348603539925638,0.1935580287885606,0.18402564355796044,0.1951118481362365,0.19646982850043626,0.21524756115488564,0.2531194557138092,0.291102892834773,0.29634533244231526,0.2942880554525108,0.2193090057583704,0.21238651062457845,0.33526304091897524,0.37736520635675114,0.5117467456176721,0.48674380804938844,0.4474860160571571,0.5781705334036334,0.5788632244474983,0.571287071484133,0.5253992389133894,0.5875725983009298,0.5833486695785073,0.5791361731189043,0.5977821892149265,0.5560010536270564,0.6253626721116655,0.8511577178670396,0.7028573465788848,0.9985368940355213,0.5522590238812877,0.35465494506258133,0.33050410851328255,0.33602737312525394,0.3710823558954454,0.37346130796605403,0.31946945146373007,0.291978026177258
max_ret,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21897837084956737,0.2560164439909174,0.11144443037346094,0.13448022305515644,0.13175586843828566,0.06916074019430928,0.1002858024320151,0.12881250319442647,0.11004361956948917,0.11447912921802321,0.11710940353051197,0.1639622895246985,0.12708526429330014,0.05334948572872227,0.08014689214661319,0.05270294129588578,0.0,0.0,0.0,0.011607087219728545,0.06082174053775113,0.022376084985190003,0.0877477899181121,0.060746380549352025,0.08964821136042248,0.05261827672564988,0.11583602502429012,0.13514050114829984,0.14462126734773892,0.16072129494575815,0.1366712670170953,0.14210172817488986,0.13363417065358651,0.14091692337928308,0.16597523981122003,0.12432894905236866,0.19185401544826713,0.20931790406015455,0.2336151288962515,0.2414431147706663,0.25315170286373495,0.2760956541374714,0.2806234956628913,0.2910231347493092,0.30936051526102026,0.3091342959971722,0.3059401371052541,0.3215972617812182,0.30913761114691646,0.32362451384679863,0.32319847920889666,0.3243395764989133,0.3079029335280402,0.32860304929709694,0.2970526434391073,0.2912021349375102,0.3036245809266171,0.29692047070932376,0.26001054852793476,0.2649178123343605,0.26005489227297335,0.26165418623072795,0.249335466296044,0.26174568336097054,0.3003250018919026,0.31452599930567077,0.28617146775639307,0.29450813890935745,0.2340427901062243,0.23769191113011165,0.2641824234585138,0.26056697211345,0.2216865253399459,0.15517168804803452,0.1324667823443188,0.1870148157388809,0.19544394383346742,0.16309407036865364,0.16169916382834687,0.09796620408055638,0.1600711725229085,0.134262620272064,0.2044858130538043,0.2184062074009979,0.20174193050657555,0.1293335185776032,0.19944139544899056,0.0014631059644787039,0.07251547171439887,0.14023250702313592,0.20027415545397712,0.2040621199060324,0.2400742134015452,0.2327256065170816,0.23472743015703942,0.250931817304301
skew_12,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14061358118610934,0.018509888171562936,0.11268199992160242,0.20444966366438944,0.2928080392232066,0.30882485349905503,0.2842520511944452,0.3134748208350995,0.3168064802734421,0.26548599651416305,0.3214941357623473,0.36955586111575817,0.4269123785213358,0.4657116835974361,0.4872938771414326,0.4787827480969662,0.5433381685011537,0.4498564561685521,0.5262529224560508,0.45891634740928655,0.4315816660353527,0.414263601848421,0.39533823240105437,0.34827122615268197,0.34008706223062196,0.3709154629062303,0.3575802251033307,0.347037004562274,0.2478343660236392,0.23226789946925988,0.17340322931674573,0.1518454982780112,0.13184187253118249,0.1759205283725325,0.17152254344231455,0.1675676823769852,0.13851102518414377,0.13050294842979396,0.12572416693822625,0.13502229805892116,0.09390245015174731,0.06859260034460667,0.041725187881938845,0.03515190987080536,0.07698851496376305,0.09981471428279406,0.11816218959871921,0.11457605500149476,0.13009026563736334,0.12335745894149418,0.08740294822646569,0.06707071141688038,0.1171557461012281,0.1257725246891532,0.18985758873010952,0.21206938499450748,0.23764667179060964,0.24521541969299684,0.24980151987718285,0.22137488517305973,0.22744604182921843,0.23709056520592503,0.23511252299311264,0.24701531880738536,0.29220954427048523,0.34541729532289683,0.37936675793522534,0.28865189900429233,0.2825595481066508,0.19700236700597457,0.23699006033599262,0.2547862376774637,0.2118894661464869,0.22569283171903434,0.26561885814721314,0.3129015972582637,0.3144611976185139,0.25658015789858424,0.28660120660903177,0.19773199773126918,0.22559273897194562,0.17289539738175894,0.019508763555357193,0.08479972287048894,0.0,0.06757665200253087,0.16514165216487547,0.2016359815456324,0.20618602302724875,0.254864870503095,0.2358759550539484,0.3028690507868825,0.2873042396606044
