,gross_ret
2010-01-31,0.0
2010-02-28,0.04665304905376344
2010-03-31,0.018502148702127665
2010-04-30,-0.04660744835789471
2010-05-31,-0.09471782663541667
2010-06-30,-0.0884082510102041
2010-07-31,0.14952785936363638
2010-08-31,0.06003057650505052
2010-09-30,0.031110441722772282
2010-10-31,0.1465101629803922
2010-11-30,0.024460626990196094
2010-12-31,-0.00471554353846154
2011-01-31,-0.031654543428571436
2011-02-28,0.10156054546226416
2011-03-31,-0.023536168886792455
2011-04-30,-0.029077641831775698
2011-05-31,-0.07628347947663551
2011-06-30,0.04568009841666666
2011-07-31,0.02496831816666667
2011-08-31,-0.05697235243518518
2011-09-30,-0.1088128093027523
2011-10-31,0.05501859366363637
2011-11-30,-0.04803974797272728
2011-12-31,-0.10940561911818183
2012-01-31,0.03503820852252252
2012-02-29,0.11467593740540538
2012-03-31,-0.06149825112500002
2012-04-30,0.10703552049107146
2012-05-31,0.032073734300884955
2012-06-30,-0.05376650600884955
2012-07-31,-0.07240854446902655
2012-08-31,0.006196779530973452
2012-09-30,0.02497918185840708
2012-10-31,0.06011486693805311
2012-11-30,-0.09255879001754386
2012-12-31,0.16868247020175436
2013-01-31,0.05376892107017543
2013-02-28,0.04425414542982456
2013-03-31,-0.041508848464912276
2013-04-30,-0.012842236061403509
2013-05-31,0.12160092116666665
2013-06-30,-0.11542690867784211
2013-07-31,0.05721277096491228
2013-08-31,0.09793775386842105
2013-09-30,0.05180565085964912
2013-10-31,0.0018286357456140335
2013-11-30,0.05442789992982456
2013-12-31,-0.04182996039473684
2014-01-31,-0.02826177957894737
2014-02-28,0.014499417939130434
2014-03-31,-0.0018781579217391296
2014-04-30,-0.0163333618173913
2014-05-31,0.016834608469565214
2014-06-30,0.017086216846086952
2014-07-31,0.11689020517391302
2014-08-31,0.04870173579130434
2014-09-30,0.08241758674782608
2014-10-31,0.028791168365217383
2014-11-30,0.10253548378260868
2014-12-31,0.10549036709565215
2015-01-31,0.07103115659482757
2015-02-28,0.06507599105128209
2015-03-31,0.175281346905983
2015-04-30,0.1816812843932203
2015-05-31,0.19374032188072624
2015-06-30,-0.04409707422881355
2015-07-31,-0.1410959262100841
2015-08-31,-0.10951266779831936
2015-09-30,-0.03855770526050421
2015-10-31,0.14273893482352945
2015-11-30,0.042543718663865554
2015-12-31,0.054200526420168094
2016-01-31,-0.24879037016806732
2016-02-29,-0.024277111033613453
2016-03-31,0.1416067761176471
2016-04-30,-0.015446798840336139
2016-05-31,-0.00958625616596639
2016-06-30,0.005359068764705884
2016-07-31,0.03701275538333334
2016-08-31,0.03745919506666667
2016-09-30,-0.016871753675000004
2016-10-31,0.03235306430833334
2016-11-30,0.034346452900000005
2016-12-31,-0.03860156826666668
2017-01-31,0.009996176583333335
2017-02-28,0.04053126281300813
2017-03-31,-0.0062125055691056915
2017-04-30,-0.019506449838709687
2017-05-31,-0.04965921715322582
2017-06-30,0.03797788460322582
2017-07-31,0.028695673760483882
2017-08-31,0.03039650637843469
2017-09-30,0.008221306782258068
2017-10-31,-0.0156243735967742
2017-11-30,0.0047026980967742
2017-12-31,-0.016425603459677425
2018-01-31,0.0015408006799999957
2018-02-28,-0.042835115238095245
2018-03-31,-0.0007548269285714308
2018-04-30,-0.029503957000000004
2018-05-31,-0.026958733691935494
2018-06-30,-0.09656950576935489
2018-07-31,0.00650649790403226
2018-08-31,-0.0437765817653226
2018-09-30,0.019766965233870976
2018-10-31,-0.05717669056532261
2018-11-30,0.020465406129032263
2018-12-31,-0.03242649080799999
2019-01-31,0.008811818134920636
2019-02-28,0.16999563102380955
2019-03-31,0.0659795606015625
2019-04-30,-0.01907370308730159
2019-05-31,-0.049524827492187506
2019-06-30,0.0401675452421875
2019-07-31,-0.0014874322558139533
2019-08-31,-0.02315337389147287
2019-09-30,0.002405040906976744
2019-10-31,-0.009141421488372093
2019-11-30,-0.002617676558139536
2019-12-31,0.06628443341085272
