score,ann,sharpe,mdd,vol,ystd,ymin,tilt,max_dev,vol_budget,ema,canary_floor,min_bond,thresh,max_single,center,y2020,y2021,y2022,y2023,y2024,y2025,y2026
4.427010802813308,0.16045896069760213,1.9997719155505378,-0.05994746242388105,0.08023863094078293,0.11129418059594132,0.009252804300242445,1.0,1.0,0.08456290378298789,1.0,0.96736502701826,0.02521953232787954,0.25,0.5,"{""bond"": 0.25425810631233947, ""gold"": 0.24462483038831717, ""cn"": 0.15680965690787552, ""us"": 0.34430740639146784}",0.014728444571433297,0.08582920554120177,0.009252804300242445,0.19990426710922127,0.2515670707373763,0.2824103611996702,0.08901835142911207
4.425020494475606,0.14939428921456566,2.0450730552320397,-0.05201901246140661,0.07305083250320119,0.0990178052612278,0.015329279928040673,0.9,0.45,0.072,1.0,0.92,0.0,0.2,0.5,"{""bond"": 0.28, ""gold"": 0.24, ""cn"": 0.16, ""us"": 0.32}",0.015331024867832665,0.08959403450427739,0.015329279928040673,0.18077426852121614,0.23550634089098077,0.25118677992362026,0.07717015937815863
4.410633362939222,0.16094455180503098,1.9964563183548556,-0.061066517091100225,0.08061511305073506,0.10977479485496987,0.008045536729429204,0.9650230919211007,0.8420963255817946,0.08633999461349648,1.0,0.9693924067874851,0.043836830056887814,0.25,0.5,"{""bond"": 0.26985295854007685, ""gold"": 0.21688880720766807, ""cn"": 0.1733701724036714, ""us"": 0.3398880618485838}",0.014504121276852855,0.09542238030959571,0.008045536729429204,0.20017061103909417,0.24709751621747045,0.2805071568743216,0.0888478115053204
4.4055235831666435,0.16037792664045925,1.998543343128265,-0.05744334652741068,0.08024740979068488,0.11007475378700929,0.005981087426122356,0.9627048755745546,0.8059285536569224,0.08300047810727908,0.911625608849004,0.9504287152855857,0.07270760617391454,0.25,0.55,"{""bond"": 0.2604375563318424, ""gold"": 0.21949165450896174, ""cn"": 0.11056912635444827, ""us"": 0.40950166280474753}",0.016062563192211776,0.09484538967328637,0.005981087426122356,0.2019312115737404,0.25220718357479943,0.27517224163491094,0.08546036012918079
4.396637306346765,0.15659761699413943,1.9971064781888666,-0.056878659641319995,0.07841225227818323,0.10798343061808852,0.012508473520556285,1.0,1.0,0.08020060995871996,1.0,1.0,0.01236767868487499,0.25,0.5,"{""bond"": 0.21286655459232987, ""gold"": 0.25392790317545516, ""cn"": 0.17607270067387554, ""us"": 0.3571328415583395}",0.018870386367353387,0.08792036561404482,0.012508473520556285,0.2005270090339848,0.24269257739628802,0.2749225638585857,0.07202070977677133
4.389829770161163,0.14967179011954213,2.055326581317812,-0.0489177403103479,0.0728214150879989,0.10408209285466007,0.005298285941958358,0.9836771795597489,1.0,0.068,1.0,0.9135363573974853,0.02424923891660432,0.25,0.55,"{""bond"": 0.27869512072976144, ""gold"": 0.21098304584297622, ""cn"": 0.11367852239117895, ""us"": 0.3966433110360834}",0.018639534965618543,0.08725494619612006,0.005298285941958358,0.20614049649455923,0.24477609724225102,0.24123647643048907,0.06586858611477808
4.380784681730128,0.15106799498232704,1.9989050447813461,-0.05211463486486623,0.07557537331587048,0.09915866629014251,0.014888863637947836,0.9239744190995098,0.5613232480566144,0.07257016858155545,1.0,0.8751536629114014,0.07017343799690719,0.2,0.55,"{""bond"": 0.26039965164860296, ""gold"": 0.2264210394899284, ""cn"": 0.12632563467158442, ""us"": 0.38685367418988426}",0.0158103527714768,0.09269520598519443,0.014888863637947836,0.18780787952778488,0.22178540579229855,0.2612568897901246,0.07998772230330409
4.379666846201931,0.16671344351087103,1.9806300475332126,-0.0627720522647558,0.08417192484709866,0.11168502530411269,0.008487440053755346,0.914290291739536,0.718931391343314,0.08952974816552538,1.0,0.8800278617549376,0.08066748344931657,0.25,0.55,"{""bond"": 0.29185038014398956, ""gold"": 0.17104548147618706, ""cn"": 0.1791064421291845, ""us"": 0.35799769625063893}",0.0162734942382059,0.10479298303523721,0.008487440053755346,0.20898136458101102,0.25942689211016057,0.27963113880586543,0.08998075252206328
4.371268191575364,0.16750907345813015,1.978326679996451,-0.06322247222706578,0.08467209948279657,0.1126307714450014,0.00812845198071721,0.9188828823228683,0.8306060829400332,0.09007128120879296,1.0,0.9114613685095106,0.06641798121944407,0.25,0.55,"{""bond"": 0.3011633018514377, ""gold"": 0.18246476066798992, ""cn"": 0.12201923262292484, ""us"": 0.39435270485764756}",0.016265750303278592,0.10404588788542757,0.00812845198071721,0.2101447163243657,0.26014823870226156,0.2827404455377265,0.09102553029125149
4.370252767489438,0.1661337531664271,1.9781761039166255,-0.061544866042816615,0.08398329796699898,0.11213060707426901,0.010641575686453075,0.9699175365154026,0.8802470337939653,0.08697138782258615,1.0,0.8867721701593599,0.09484729310433343,0.25,0.55,"{""bond"": 0.27754910518548703, ""gold"": 0.19286134815266057, ""cn"": 0.12141697096503737, ""us"": 0.4081725756968151}",0.016547966209713882,0.09626741469547828,0.010641575686453075,0.2087251019351246,0.25864263124587317,0.28276989996900803,0.09096220755112827
