abs_lb,sma_lb,ann,sharpe,mdd,vol,ymin,y2020,y2021,y2022,y2023,y2024,y2025,y2026
2,20,0.11600151428427985,1.4822437626618856,-0.08528231468980685,0.0782607538694976,0.002038396264871345,0.025387313809005496,0.08953471139938429,0.002038396264871345,0.2031570891725556,0.0692223240024894,0.24927425967842587,0.03794370637772171
2,30,0.11184497294964113,1.4497518112524892,-0.08888057396542892,0.07714766905723988,-0.004861145693685787,0.025387313809005496,0.06995131296574963,-0.004861145693685787,0.2057497020869692,0.10415340726490907,0.24833596039447592,0.0075345147170695626
2,40,0.11981973766686882,1.5631879462371423,-0.0954439162941978,0.07665088382705047,-0.01203863562610985,0.025387313809005496,0.07291957764547496,-0.01203863562610985,0.19900652191353485,0.10110047941507028,0.2551307103160063,0.05716717773166846
2,50,0.1026948996193553,1.3506816261798982,-0.10946502788442547,0.07603190687490502,-0.024195986002334635,0.01506302239899271,0.05870263679867227,-0.024195986002334635,0.17225080396441528,0.0823869911105386,0.23998054679619418,0.05716717773166846
2,60,0.07999978199831781,1.0020730777380111,-0.12283413422704903,0.07983427933110633,-0.03884518905575396,-0.005504776999971761,0.038831773421279525,-0.03884518905575396,0.1708473093011329,0.08263597364751041,0.1783671411315071,0.04470091856611247
2,80,0.09163836116715807,1.1548919066674064,-0.10961270128937461,0.07934799840410407,-0.036706769170637754,0.00729455409432922,0.06650812293722397,-0.036706769170637754,0.17173492848993033,0.09934636191342228,0.17901064236835929,0.04791397940910391
2,100,0.10342604076371664,1.3876578264672046,-0.0895228247368145,0.0745328126221331,-0.01916399801528046,0.00729455409432922,0.08803469554335397,-0.01916399801528046,0.1621676963018739,0.08397154791279493,0.2170129531955931,0.062311334239795624
3,20,0.14548812847206394,1.9022192959603224,-0.052197430763123775,0.07648336276528793,0.023766921279225306,0.023766921279225306,0.07720186512117877,0.058121556749935355,0.22193843182517892,0.16659412740673973,0.23888724824932894,0.051114235741367864
3,30,0.1607534538567592,2.0131204001962875,-0.058192825277761595,0.07985287608286375,0.023766921279225306,0.023766921279225306,0.08864448060512342,0.05052727288298109,0.22684968076849987,0.18243142146483948,0.2627352273666175,0.0889983669669212
3,40,0.15031170019824858,1.8901815010110241,-0.05931162791809197,0.07952236339094926,0.023766921279225306,0.023766921279225306,0.08970798630390653,0.036800672698128256,0.2248808710963326,0.20096749291760485,0.21395222814880732,0.07407885746801979
3,50,0.13158898181048095,1.6743558652900656,-0.06573326334387775,0.0785908088826054,0.0014041122877490597,0.009872415905169518,0.08313805552088627,0.0014041122877490597,0.20059396985322175,0.17690750069555006,0.1989164373506711,0.0889983669669221
3,60,0.11921203243787049,1.5216594888909993,-0.0924842649288623,0.07834343577402682,-0.02560924073121884,-0.005414278162318875,0.058310670307467394,-0.02560924073121884,0.1988819814431675,0.17690750069554895,0.20448150545279797,0.0889983669669221
3,80,0.11609618140279299,1.4896963729544834,-0.08710844479251456,0.07793278114287268,-0.022834356951060064,0.00729455409432922,0.08835549780595042,-0.022834356951060064,0.18558730226987907,0.17715308511065153,0.1982029648108099,0.042923902431790895
3,100,0.12654633040756558,1.6497317963841445,-0.058192825277761484,0.07670721427866505,0.00729455409432922,0.00729455409432922,0.09295091446230352,0.009837725504509454,0.17839775788721002,0.1644604962147309,0.19739295235074072,0.07848641350806917
4,20,0.15233777925146974,1.9591375773083282,-0.07707836355695152,0.07775757099241984,0.02093857715607461,0.02578494859763336,0.06680598426037765,0.02093857715607461,0.21929559850192715,0.22973191496181622,0.2447680551659288,0.07465514776759696
4,30,0.17491556259969632,2.1409839992565853,-0.08825342698910865,0.08169867811269599,0.017034514317173732,0.02578494859763336,0.0637984297018852,0.017034514317173732,0.24324149816138196,0.2651048255445112,0.30034759494739593,0.10249945513168357
4,40,0.17360615169525673,2.131198403922429,-0.08715914559656845,0.08145940395588604,0.011971143089845038,0.02578494859763336,0.0782834142413038,0.011971143089845038,0.21406049152222706,0.2763796989453915,0.3003475949473964,0.10249945513168357
4,50,0.15781390531940342,1.9751702045011101,-0.10045023053438851,0.07989888919940658,-0.014345015100020064,0.009653332238722001,0.061252056065486116,-0.014345015100020064,0.20614051354272367,0.25676313145743235,0.3043357087448577,0.10249945513168557
4,60,0.1368729242785034,1.6947909705352202,-0.127273772029029,0.08076094731333062,-0.0388363003837946,-0.01014576439803605,0.02880502013513775,-0.0388363003837946,0.18688807504955451,0.256763131457433,0.3174159880668175,0.07879659065301303
4,80,0.14183562125992544,1.7757860033252613,-0.10687742935513189,0.07987202342755832,-0.02883188811152071,0.00729455409432922,0.0627397451825451,-0.02883188811152071,0.18812022165916487,0.24410702786272864,0.2904996395694437,0.07260051412017043
4,100,0.14622312130300674,1.8401500407816913,-0.08442335106269894,0.07946260797347346,-2.929942306018063e-05,0.00729455409432922,0.09245452958255962,-2.929942306018063e-05,0.17004430596831321,0.23447309357530766,0.289627232457738,0.06065589045994679
5,20,0.13389603290259888,1.7080757157848698,-0.10583562839305871,0.07838998685200144,-0.024379934819217408,0.03625561548873879,0.08626255616248124,-0.024379934819217408,0.21944523836189145,0.1615778118883624,0.24579085991922467,0.05489569242502501
