exec_date,turnover,turnover_note,cost,gross_old,gross,event,159816,513400,513110,513500,VIG,159934,515450,HK0005
2020-11-09,0.7772016406424956,nav_notional_l1/2,0.00015544032812849913,1.0,1.0,rebalance,0.22279835935750436,0.0,0.19300996482369903,0.0,0.0,0.0,0.4008873741597752,0.18330430165902142
2020-11-16,0.0,nav_notional_l1/2,0.0,1.0,1.0,rebalance,0.22279835935750436,0.0,0.19300996482369903,0.0,0.0,0.0,0.4008873741597752,0.18330430165902142
2020-11-23,0.27886890930441505,nav_notional_l1/2,5.577378186088301e-05,1.0,1.0,rebalance,0.25381956018651164,0.0,0.0,0.0,0.24784770847540777,0.0,0.36799214334400826,0.13034058799407236
2020-11-30,0.2568292931199676,nav_notional_l1/2,5.136585862399352e-05,1.0,1.006019465866912,rebalance,0.0,0.0,0.0,0.0,0.4107245822032937,0.0,0.4357815456694298,0.1595133379941884
2020-12-07,0.4664107342965381,nav_notional_l1/2,9.328214685930763e-05,1.006019465866912,1.1173917700534006,rebalance,0.0,0.0,0.4814693076460503,0.0,0.0,0.0,0.4570389576529586,0.1788835047543918
2020-12-09,1.0586958850267003,nav_notional_l1/2_may_exceed_1_when_delevering,0.00021173917700534006,1.1173917700534006,1.0,daily_dd_stop_bonds,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,nav_notional_l1/2,0.0,1.0,1.0,rebalance,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.7616362319848697,nav_notional_l1/2,0.00015232724639697396,1.0,1.0,rebalance,0.23836376801513037,0.0,0.5,0.0,0.0,0.0,0.0,0.2616362319848696
2020-12-28,0.427629745214182,nav_notional_l1/2,8.55259490428364e-05,1.0,1.0,rebalance,0.07237025478581804,0.0,0.5,0.0,0.0,0.427629745214182,0.0,0.0
2021-01-04,0.5133625393688488,nav_notional_l1/2,0.00010267250787376975,1.0,1.0,rebalance,0.08573279415466684,0.5,0.0,0.0,0.0,0.41426720584533316,0.0,0.0
2021-01-11,0.8357327941546668,nav_notional_l1/2,0.00016714655883093337,1.0,1.5,rebalance,0.0,0.0,0.524728798746303,0.0,0.0,0.7011502238190176,0.0,0.27412097743467934
2021-01-11,1.25,nav_notional_l1/2_may_exceed_1_when_delevering,0.00025,1.5,1.0,daily_dd_stop_bonds,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,1.0,nav_notional_l1/2,0.0002,1.0,1.0,rebalance,0.0,0.0,0.44223739293967823,0.0,0.0,0.0,0.3069726819805173,0.25078992507980447
