canary_k,top_k,vol_target,max_single,sma_buffer,sma_lb,ann,sharpe,mdd,ymin
4,3,0.07,0.35,0.0,35,0.1123551413965096,1.6113733414132991,-0.07160926351910424,-0.0032075605942094576
4,3,0.07,0.35,0.0,38,0.11077626805443264,1.5954761975850793,-0.07160926351910546,-0.004104572945764051
4,3,0.07,0.35,0.0,40,0.11377865403775078,1.6421581108586445,-0.07160926351910502,-0.004104572945762497
4,3,0.07,0.35,0.002,35,0.11412132581648704,1.6506513323581782,-0.06764806213329522,-0.0032075605942085694
4,3,0.07,0.35,0.002,38,0.1139123011239973,1.6518225108368187,-0.0716092635191039,0.00010088247216177848
4,3,0.07,0.35,0.002,40,0.11382679590878708,1.6493474998340574,-0.0716092635191039,0.00010088247216177848
4,3,0.07,0.35,0.003,35,0.11424771252788246,1.652637388735797,-0.06764806213329622,-0.0025383360214255024
4,3,0.07,0.35,0.003,38,0.1146285996619878,1.6622276717629347,-0.06764806213329555,0.00010088247216177848
4,3,0.07,0.35,0.003,40,0.1125652670496129,1.6320651110943016,-0.06764806213329555,0.00010088247216177848
4,3,0.07,0.35,0.004,35,0.11905631409853301,1.736428475070432,-0.06764806213329655,0.006273764179637986
4,3,0.07,0.35,0.004,38,0.1117536109137256,1.6204024663770296,-0.06764806213329677,0.0003532096100011817
4,3,0.07,0.35,0.004,40,0.1112094422485348,1.6128452150574413,-0.06764806213329677,0.0003532096100011817
4,3,0.07,0.35,0.005,35,0.11788961985406798,1.7225747253947343,-0.06764806213329644,0.006273764179637986
4,3,0.07,0.35,0.005,38,0.11557514573357097,1.6773272195751328,-0.0676480621332961,0.006273764179637986
4,3,0.07,0.35,0.005,40,0.11458203724106708,1.6633724651060542,-0.06764806213329555,0.006273764179637986
4,3,0.07,0.4,0.0,35,0.11296481901939659,1.576901400771545,-0.07540929391105455,-0.004980724355652777
4,3,0.07,0.4,0.0,38,0.11148813349544007,1.5626081036734747,-0.07540929391105411,-0.00523810033045824
4,3,0.07,0.4,0.0,40,0.11472338150718686,1.610392802178955,-0.07540929391105344,-0.005238100330457907
4,3,0.07,0.4,0.002,35,0.11491334813214582,1.6173963283481065,-0.07088548175502962,-0.004980724355651223
4,3,0.07,0.4,0.002,38,0.1147673772326554,1.6183305533492764,-0.07540929391105455,-0.0016781665780483124
4,3,0.07,0.4,0.002,40,0.11460291703551295,1.615059957578078,-0.07540929391105455,-0.0016781665780483124
4,3,0.07,0.4,0.003,35,0.11503982469111373,1.619323193949135,-0.07063714403536236,-0.004312690246109807
4,3,0.07,0.4,0.003,38,0.11557315486572506,1.6300406319614584,-0.07063714403536225,-0.0016781665780483124
4,3,0.07,0.4,0.003,40,0.11350807375091954,1.6006877581575136,-0.07063714403536225,-0.0016781665780483124
4,3,0.07,0.4,0.004,35,0.1197665505163723,1.6983864419675059,-0.07063714403536214,0.006273764179637986
4,3,0.07,0.4,0.004,38,0.1126176480021952,1.588120588044465,-0.07063714403536292,-0.0017457051794700362
4,3,0.07,0.4,0.004,40,0.11206368547339629,1.5805108592031503,-0.07063714403536292,-0.0017457051794700362
4,3,0.07,0.4,0.005,35,0.1185549153120069,1.6822652489679564,-0.0706371440353617,0.006273764179637986
4,3,0.07,0.4,0.005,38,0.11642276900393789,1.643273116751764,-0.07063714403536248,0.006273764179637986
