abs_lb,sma_lb,abs_margin,require_abs_pos,sma_buffer,sma_slope_lb,ann,sharpe,mdd,vol,ymin,y2020,y2021,y2022,y2023,y2024,y2025,y2026
5,40,0.0,False,0.0,0,0.13515209562391006,1.6754682461665986,-0.09649047962164348,0.08066526831119146,-0.007232780228720759,0.03625561548873879,0.06838933870936281,-0.007232780228720759,0.20279591743321168,0.14437542316836893,0.24653453639717204,0.09087536947357222
8,40,0.0,False,0.0,0,0.1192866440221787,1.439255311255718,-0.11668703482752174,0.08288080863019624,-0.039802630775978454,0.05027540715006107,0.0013530386583231468,-0.039802630775978454,0.21018604479104397,0.14735868380555672,0.27294017338271703,0.06387145518794668
6,40,0.0,False,0.0,0,0.1377206839744749,1.655522932627021,-0.08157201453735674,0.08318862956246496,0.011715668293702963,0.03625561548873879,0.013741044641758293,0.011715668293702963,0.1848610634411858,0.19505416539531528,0.2854558549457771,0.07722138123963429
4,40,0.0,False,0.0,0,0.17360615169525673,2.131198403922429,-0.08715914559656845,0.08145940395588604,0.011971143089845038,0.02578494859763336,0.0782834142413038,0.011971143089845038,0.21406049152222706,0.2763796989453915,0.3003475949473964,0.10249945513168357
3,40,0.0,False,0.0,0,0.15031170019824858,1.8901815010110241,-0.05931162791809197,0.07952236339094926,0.023766921279225306,0.023766921279225306,0.08970798630390653,0.036800672698128256,0.2248808710963326,0.20096749291760485,0.21395222814880732,0.07407885746801979
2,40,0.0,False,0.0,0,0.11981973766686882,1.5631879462371423,-0.0954439162941978,0.07665088382705047,-0.01203863562610985,0.025387313809005496,0.07291957764547496,-0.01203863562610985,0.19900652191353485,0.10110047941507028,0.2551307103160063,0.05716717773166846
10,40,0.0,False,0.0,0,0.12586717423644989,1.5421850078878723,-0.061792296500561505,0.0816161313932325,-0.0064837313627632565,0.01263658003808854,0.026540237266681865,-0.0064837313627632565,0.19517178779623467,0.14799892615882682,0.26994586794001196,0.09100023817587855
12,40,0.0,False,0.0,0,0.11582531388960327,1.4344716938235313,-0.12197027792729342,0.08074423105615641,-0.0787348099212507,-0.008834496519059654,0.06466320794395775,-0.0787348099212507,0.2183456311425418,0.1423289370423475,0.26926598643385,0.08639480702156455
4,15,0.0,False,0.0,0,0.13053148639844037,1.70168658272812,-0.09918534272722745,0.07670712557959652,-0.003516226987758775,0.0310400352019784,0.04613623994554561,-0.003516226987758775,0.199362680978324,0.17944823236017649,0.23969019478028253,0.06641718008873232
4,20,0.0,False,0.0,0,0.15233777925146974,1.9591375773083282,-0.07707836355695152,0.07775757099241984,0.02093857715607461,0.02578494859763336,0.06680598426037765,0.02093857715607461,0.21929559850192715,0.22973191496181622,0.2447680551659288,0.07465514776759696
4,30,0.0,False,0.0,0,0.17491556259969632,2.1409839992565853,-0.08825342698910865,0.08169867811269599,0.017034514317173732,0.02578494859763336,0.0637984297018852,0.017034514317173732,0.24324149816138196,0.2651048255445112,0.30034759494739593,0.10249945513168357
4,25,0.0,False,0.0,0,0.16560344146978534,2.0610343327788208,-0.07362991562402188,0.08034967629409064,0.024753260209349648,0.02578494859763336,0.05886179943154146,0.024753260209349648,0.2516705050337471,0.23894280328882322,0.2696780990904055,0.0913298816854422
4,50,0.0,False,0.0,0,0.15781390531940342,1.9751702045011101,-0.10045023053438851,0.07989888919940658,-0.014345015100020064,0.009653332238722001,0.061252056065486116,-0.014345015100020064,0.20614051354272367,0.25676313145743235,0.3043357087448577,0.10249945513168557
4,35,0.0,False,0.0,0,0.17383645127071312,2.133124697753753,-0.08715914559656779,0.0814938064585574,0.018255162661278357,0.02578494859763336,0.07920777121799927,0.018255162661278357,0.22491021692898894,0.25759336159876467,0.3003475949473944,0.10249945513168601
4,45,0.0,False,0.0,0,0.16577005934640288,2.0394874874755464,-0.0944358025182157,0.08128025318340693,-0.0012134226247466628,0.027552849608208252,0.07828341424130758,-0.0012134226247466628,0.21089701116867943,0.2567631314574317,0.28917030101207586,0.10249945513168446
4,60,0.0,False,0.0,0,0.1368729242785034,1.6947909705352202,-0.127273772029029,0.08076094731333062,-0.0388363003837946,-0.01014576439803605,0.02880502013513775,-0.0388363003837946,0.18688807504955451,0.256763131457433,0.3174159880668175,0.07879659065301303
4,80,0.0,False,0.0,0,0.14183562125992544,1.7757860033252613,-0.10687742935513189,0.07987202342755832,-0.02883188811152071,0.00729455409432922,0.0627397451825451,-0.02883188811152071,0.18812022165916487,0.24410702786272864,0.2904996395694437,0.07260051412017043
