tilt,dev,temp,ema,bond_c,ann,vol,sharpe,mdd,ymean,ystd,ymin,ymax,yrange,util,y2021,y2022,y2023,y2024,y2025
0.25,0.15,0.14,0.3,0.45,0.10036033533882871,0.06372868727312743,1.5748062549712647,-0.07437034378190566,0.10932778060333832,0.06170398923239194,0.012155431802077343,0.177635182771541,0.16547975096946366,0.3511476901654367,0.09528517111789858,0.012155431802077343,0.12947035329147538,0.177635182771541,0.1320927640336993
0.25,0.22,0.14,0.3,0.45,0.09967611947587218,0.06424061172444953,1.551606013706998,-0.07437034378190566,0.10932778060333832,0.06170398923239194,0.012155431802077343,0.177635182771541,0.16547975096946366,0.3445265708138222,0.09528517111789858,0.012155431802077343,0.12947035329147538,0.177635182771541,0.1320927640336993
0.25,0.18,0.14,0.3,0.45,0.09967611947587218,0.06424061172444953,1.551606013706998,-0.07437034378190566,0.10932778060333832,0.06170398923239194,0.012155431802077343,0.177635182771541,0.16547975096946366,0.3445265708138222,0.09528517111789858,0.012155431802077343,0.12947035329147538,0.177635182771541,0.1320927640336993
0.25,0.15,0.1,0.3,0.45,0.10179568237281522,0.0652634206565408,1.5597662725729824,-0.07700125739761399,0.11082517226107483,0.06254731022611093,0.011452790011313052,0.1783638029275878,0.16691101291627475,0.3438594076361102,0.09743073329348206,0.011452790011313052,0.1311896593176225,0.1783638029275878,0.1356888757553687
0.25,0.22,0.1,0.3,0.45,0.1022122511639858,0.0658433959035592,1.5523538809221817,-0.07700125739761399,0.11082517226107483,0.06254731022611093,0.011452790011313052,0.1783638029275878,0.16691101291627475,0.34250619227281476,0.09743073329348206,0.011452790011313052,0.1311896593176225,0.1783638029275878,0.1356888757553687
0.25,0.18,0.1,0.3,0.45,0.1022122511639858,0.0658433959035592,1.5523538809221817,-0.07700125739761399,0.11082517226107483,0.06254731022611093,0.011452790011313052,0.1783638029275878,0.16691101291627475,0.34250619227281476,0.09743073329348206,0.011452790011313052,0.1311896593176225,0.1783638029275878,0.1356888757553687
0.25,0.12,0.14,0.3,0.45,0.09801262756122653,0.06388280229564909,1.5342568584832093,-0.07246842337608117,0.10661895907118138,0.060934224677740234,0.012031317760603288,0.17823232598216632,0.16620100822156303,0.34120511749421945,0.0956197335326181,0.012031317760603288,0.12987230412097284,0.17823232598216632,0.11733911395954633
0.25,0.15,0.08,0.3,0.45,0.10281042027257681,0.06617057638896981,1.5537180705246905,-0.07831607681451191,0.11186904609107926,0.0631524516213326,0.010846541738926962,0.17889533165650628,0.16804878991757932,0.339879712164865,0.0992949823028324,0.010846541738926962,0.13266857365626916,0.17889533165650628,0.1376398011008615
0.25,0.12,0.1,0.3,0.45,0.09969619942375707,0.0650036815905856,1.5337008148503999,-0.07474488275908475,0.10871357143752931,0.06182060089808946,0.011328510860849628,0.1789070217410107,0.16757851088016107,0.3378834206689969,0.0977657622615904,0.011328510860849628,0.1315920938945101,0.1789070217410107,0.12397446842968574
0.25,0.22,0.08,0.3,0.45,0.10542498945536827,0.06779758093383345,1.5549963288256112,-0.07872296324120664,0.11438789178008121,0.06529033892260325,0.010846541738926962,0.18459970433579143,0.17375316259686446,0.3367196546422856,0.0992949823028324,0.010846541738926962,0.13916525764402876,0.18459970433579143,0.13803297287882654
0.25,0.18,0.08,0.3,0.45,0.10541594441949198,0.0677914149872753,1.5550043385180696,-0.07872296324120664,0.11438789178008121,0.06529033892260325,0.010846541738926962,0.18459970433579143,0.17375316259686446,0.3367108030223487,0.0992949823028324,0.010846541738926962,0.13916525764402876,0.18459970433579143,0.13803297287882654
0.25,0.12,0.06,0.3,0.45,0.10382970663155255,0.06693735154561307,1.5511475168060682,-0.07796040007920746,0.11299348894350562,0.06390480637578592,0.009738234630108256,0.17985068823623362,0.17011245360612537,0.33616437725263515,0.1026840271560141,0.009738234630108256,0.13451921485679397,0.17985068823623362,0.13817527983837818
0.25,0.22,0.06,0.3,0.45,0.10563552742110227,0.06875378477126777,1.536432180025199,-0.07640226220110258,0.11402423429708772,0.0646104872964137,0.00986290990318306,0.18046810952014858,0.17060519961696552,0.3335639047281962,0.10234794813561954,0.00986290990318306,0.1449454098366736,0.18046810952014858,0.13249679408981385
0.25,0.15,0.06,0.3,0.45,0.10236403280258388,0.06724363923784125,1.5222857353172325,-0.07554144936723506,0.1112557355828609,0.06270729401710991,0.00986290990318306,0.17754577222738588,0.16768286232420282,0.33224148626382766,0.10234794813561954,0.00986290990318306,0.1350118430308156,0.17754577222738588,0.13151020461730045
0.25,0.18,0.06,0.3,0.45,0.10320720054472066,0.06815060307067904,1.5143989325770808,-0.07640462740183163,0.11118020214059339,0.062324631222000125,0.00986290990318306,0.17553510774364423,0.16567219784046117,0.33199798623738497,0.10234794813561954,0.00986290990318306,0.13551066234939202,0.17553510774364423,0.1326443825711281
0.25,0.12,0.08,0.3,0.45,0.1001156483374801,0.06632666539167172,1.5094328615237618,-0.07648083787970406,0.10876096249001996,0.06210751452243087,0.01072211543197188,0.17943586464162542,0.16871374920965354,0.3293782617427157,0.09963041263338024,0.01072211543197188,0.133071422687989,0.17943586464162542,0.12094499705513329
0.25,0.12,0.1,0.3,0.4,0.10616879127415335,0.06958786523476189,1.525679670097393,-0.08091007323720056,0.11570619471830593,0.06594967622874737,0.009092597663024282,0.18320764955030322,0.17411505188727894,0.32370359707453844,0.10346152901540906,0.009092597663024282,0.13967565180608688,0.18320764955030322,0.14309354555670617
0.25,0.12,0.14,0.3,0.4,0.10408784486310396,0.0681469635499863,1.5274025347696492,-0.07794011706793458,0.11387296177337243,0.06624290719199205,0.00979834440106786,0.1893049096000139,0.17950656519894603,0.32365395622032933,0.10130806686149518,0.00979834440106786,0.13794647097029422,0.1893049096000139,0.13100701703399098
0.25,0.18,0.1,0.3,0.4,0.10897618489633398,0.07064017554335106,1.5426941405242767,-0.08175056154101656,0.11874009343532728,0.06887041734882848,0.00933004433985829,0.1922712775060802,0.1829412331662219,0.3226185128693928,0.10282538120346718,0.00933004433985829,0.14517460008823346,0.1922712775060802,0.14409916403899725
0.25,0.22,0.1,0.3,0.4,0.10897618489633398,0.07064017554335106,1.5426941405242767,-0.08175056154101656,0.11874009343532728,0.06887041734882848,0.00933004433985829,0.1922712775060802,0.1829412331662219,0.3226185128693928,0.10282538120346718,0.00933004433985829,0.14517460008823346,0.1922712775060802,0.14409916403899725
0.35,0.15,0.14,0.3,0.45,0.09894861821133327,0.06480980936258861,1.5267537304075338,-0.07901837401680256,0.10766830481889453,0.06313415911839713,0.008016984850712339,0.17806989288125785,0.1700529080305455,0.3225490797933154,0.09486266868829873,0.008016984850712339,0.13077056231088657,0.17806989288125785,0.12662141536331717
0.25,0.18,0.14,0.3,0.4,0.10378200354295553,0.06845650589030547,1.5160283481201267,-0.0777866751513906,0.11335777290961327,0.06578826263356238,0.010035481608973162,0.18825504669433113,0.17821956508535797,0.3223583290231422,0.10067280199403039,0.010035481608973162,0.1371808276989004,0.18825504669433113,0.13064470655183125
0.25,0.22,0.14,0.3,0.4,0.10378200354295553,0.06845650589030547,1.5160283481201267,-0.0777866751513906,0.11335777290961327,0.06578826263356238,0.010035481608973162,0.18825504669433113,0.17821956508535797,0.3223583290231422,0.10067280199403039,0.010035481608973162,0.1371808276989004,0.18825504669433113,0.13064470655183125
0.25,0.15,0.14,0.3,0.4,0.10375845124879834,0.06843861136316813,1.5160806039474732,-0.0777866751513906,0.11335777290961327,0.06578826263356238,0.010035481608973162,0.18825504669433113,0.17821956508535797,0.32234313022699024,0.10067280199403039,0.010035481608973162,0.1371808276989004,0.18825504669433113,0.13064470655183125
0.25,0.18,0.08,0.3,0.4,0.10884059669850221,0.07127334221595001,1.527087033027408,-0.0785537353196033,0.11785010550637746,0.06831628710574678,0.008721304319678325,0.1902446700757825,0.18152336575610417,0.3205973539573693,0.10469565075522902,0.008721304319678325,0.1498976780978416,0.1902446700757825,0.1356912242833559
0.25,0.22,0.08,0.3,0.4,0.10884059669850221,0.07127334221595001,1.527087033027408,-0.0785537353196033,0.11785010550637746,0.06831628710574678,0.008721304319678325,0.1902446700757825,0.18152336575610417,0.3205973539573693,0.10469565075522902,0.008721304319678325,0.1498976780978416,0.1902446700757825,0.1356912242833559
0.25,0.12,0.08,0.3,0.4,0.10589157246260927,0.06950507331199625,1.5235085356615672,-0.07946462562167789,0.11657646179423783,0.06685447969764804,0.008483581768157,0.18602291676446425,0.17753933499630725,0.3196184325030539,0.1053325580514719,0.008483581768157,0.14116303372657812,0.18602291676446425,0.14188021866051792
0.25,0.15,0.1,0.3,0.4,0.10719281569322758,0.07078512193516252,1.5143410474225591,-0.08320890534509184,0.1168030006856732,0.06699845794875826,0.00933004433985829,0.18629973109101328,0.176969686751155,0.3182769028484087,0.10282538120346718,0.00933004433985829,0.13890908926126788,0.18629973109101328,0.14665075753275936
0.35,0.12,0.14,0.3,0.45,0.09781600641971022,0.06351183718097393,1.5401224521499544,-0.07292297251185409,0.1078864395300724,0.06465205122903088,0.005317538451639292,0.17905241872796163,0.17373488027632233,0.31762725770139977,0.09541196870123336,0.005317538451639292,0.1326842993032198,0.17905241872796163,0.12696597246630792
0.25,0.15,0.06,0.3,0.4,0.10759641136169007,0.07111663880419455,1.512956927814534,-0.07938235542446492,0.11700644054311113,0.067152392569637,0.007733456356297408,0.1862544576093712,0.1785210012530738,0.316673482879113,0.10775831250643186,0.007733456356297408,0.14275103713602788,0.1862544576093712,0.14053493910742731
0.35,0.22,0.1,0.3,0.45,0.1002335618023884,0.06670570252140033,1.5026235840966036,-0.07448329241176765,0.10608939186183908,0.06291565981832149,0.005727931425284272,0.17682970467524006,0.1711017732499558,0.3164034073767372,0.09904222837335919,0.005727931425284272,0.12024255647770565,0.17682970467524006,0.1286045383576062
