sleeve,cum_contribution,avg_weight,contrib_share
债券,0.08833733432647774,0.5241771265092889,0.07493068116598087
黄金,0.18164054152917217,0.11916191971531367,0.15407358177502745
A股红利低波,0.11913443005981975,0.11201176731038187,0.10105380768805386
港股汇丰,0.462009582816459,0.15067327098934585,0.39189197873804876
美股,0.3277988544386753,0.19025243189334654,0.27804995063288906
