year,month,monthly_return,monthly_return_pct
2020,9,-0.0013963860694856667,-0.13963860694856667
2020,10,0.0045915598781152145,0.45915598781152145
2020,11,0.04404147344848797,4.404147344848797
2020,12,-0.020275258114247907,-2.0275258114247907
2021,1,-0.007482055063875892,-0.7482055063875892
2021,2,-0.006629928317723577,-0.6629928317723577
2021,3,0.03478836958731679,3.478836958731679
2021,4,0.008295635144247582,0.8295635144247582
2021,5,0.020295256368317416,2.0295256368317416
2021,6,-0.03456149790236174,-3.4561497902361737
2021,7,0.0076549836197365995,0.76549836197366
2021,8,-0.003258582472930316,-0.3258582472930316
2021,9,0.022687560441674748,2.268756044167475
2021,10,0.03188110160151236,3.1881101601512363
2021,11,-0.030497984045527837,-3.0497984045527837
2021,12,0.01638984545556199,1.638984545556199
2022,1,0.029176605352430718,2.917660535243072
2022,2,-0.0011848906073822496,-0.11848906073822496
2022,3,0.015234115341870691,1.523411534187069
2022,4,-0.05237397491485585,-5.237397491485584
2022,5,-0.0021314142957433724,-0.21314142957433724
2022,6,-0.007416899253219644,-0.7416899253219644
2022,7,-0.007084722617158645,-0.7084722617158645
2022,8,-0.012941551352398939,-1.294155135239894
2022,9,-0.01622277550317419,-1.6222775503174192
2022,10,0.01610603686042178,1.610603686042178
2022,11,0.04829096320088655,4.829096320088655
2022,12,-0.005583295469374083,-0.5583295469374083
2023,1,0.06480964492421037,6.4809644924210374
2023,2,-0.007255642700332965,-0.7255642700332965
2023,3,0.03630652460050099,3.630652460050099
2023,4,0.029755024442575273,2.9755024442575273
2023,5,0.04146913661736651,4.146913661736651
2023,6,0.03829050699737002,3.829050699737002
2023,7,0.036144783440925865,3.6144783440925865
2023,8,-0.03415349054205996,-3.415349054205996
2023,9,-0.011809826695942327,-1.1809826695942327
2023,10,-0.009509851205210085,-0.9509851205210085
2023,11,0.004327356768756285,0.4327356768756285
2023,12,0.03322534316307735,3.3225343163077348
2024,1,0.01827967836890565,1.827967836890565
2024,2,0.03696372917774737,3.6963729177747373
2024,3,0.0307235441602709,3.07235441602709
2024,4,0.03928098093019483,3.928098093019483
2024,5,0.02914791186714205,2.914791186714205
2024,6,0.0021564090758943166,0.21564090758943166
2024,7,-0.016193213985981503,-1.6193213985981503
2024,8,0.007388835134574112,0.7388835134574112
2024,9,0.03468988819019847,3.468988819019847
2024,10,0.0021881256859683784,0.21881256859683784
2024,11,0.011842483578642149,1.184248357864215
2024,12,0.02801341481171904,2.801341481171904
2025,1,0.0031938525525128103,0.31938525525128103
2025,2,0.05667683913334298,5.667683913334298
2025,3,0.029907531473771787,2.9907531473771787
2025,4,-0.009415044636987502,-0.9415044636987502
2025,5,0.015879675275796146,1.5879675275796146
2025,6,0.022817748050673048,2.281774805067305
2025,7,0.01756222989825118,1.756222989825118
2025,8,-0.012512851174961481,-1.2512851174961481
2025,9,0.06607752886640594,6.607752886640594
2025,10,0.039202867225243576,3.9202867225243576
2025,11,-0.015781436930735082,-1.5781436930735082
2025,12,0.03692862815461506,3.692862815461506
2026,1,0.07668885502335354,7.668885502335354
2026,2,0.00410340665735931,0.410340665735931
2026,3,-0.021227880297976842,-2.122788029797684
2026,4,0.01379224997907813,1.379224997907813
2026,5,0.02786356291469927,2.786356291469927
2026,6,0.0015356055303612504,0.15356055303612504
2026,7,0.03202979099421799,3.202979099421799
2026,8,-0.01213380247097795,-1.213380247097795
