code,name,cum_contribution,contrib_share
159934,黄金,0.2838273738537611,0.3582853121172582
513110,纳斯达克100,0.19397011330856254,0.2448553204878175
513500,标普500,0.09890283239573114,0.1248485362530364
515450,红利低波,0.09411569490446262,0.11880556362879935
159816,地方债0-4Y,0.0882292215269345,0.11137486051267129
513400,道琼斯,-0.033137318680473316,-0.041830407000417326
