,avg_monthly_return
1,0.015833260409871115
2,0.013375714607879396
3,0.027819604479477695
4,0.012849894824674302
5,0.020405931187661097
6,-0.001427189207893827
7,0.006607651836224433
8,-0.0034774971676290733
9,0.014275690823532158
10,0.01915080609276454
11,0.006381192094056502
12,0.011059692400377389
