date,open,high,low,close,volume
2020-01-02,43.5033,43.5748,43.3246,43.5391,14629077.0
2020-01-03,43.5391,43.7535,43.0744,43.1816,14419537.0
2020-01-06,42.9671,43.1816,42.7527,42.8956,13809308.0
2020-01-07,43.0386,43.1101,42.7527,42.8241,8818594.0
2020-01-08,42.3952,42.4667,42.0735,42.3952,16826669.0
2020-01-09,42.5739,42.8241,42.5739,42.7884,17802374.0
2020-01-10,42.8599,42.9314,42.7169,42.7884,19011475.0
2020-01-13,42.5382,43.1101,42.5382,42.8599,40492594.0
2020-01-14,42.7527,42.8956,42.6454,42.7169,19350077.0
2020-01-15,42.6097,42.8599,42.6097,42.7527,11324313.0
2020-01-16,42.7527,43.1101,42.7169,42.8241,12528971.0
2020-01-17,42.7884,43.1816,42.7884,43.0029,12045168.0
2020-01-20,42.8241,43.0744,42.8241,42.8599,11801544.0
2020-01-21,42.4309,42.7527,42.2879,42.2879,23520201.0
2020-01-22,42.1807,42.5382,42.1807,42.3952,13123069.0
2020-01-23,42.145,42.3952,41.9662,42.145,22887881.0
2020-01-24,41.9305,42.1807,41.8947,42.002,6897204.0
2020-01-29,40.8581,41.3943,40.8223,41.1441,35228942.0
2020-01-30,40.8938,41.0368,40.5364,40.5364,32487044.0
2020-01-31,40.8938,40.9653,40.6436,40.6436,23220130.0
2020-02-03,40.2862,40.5721,40.1074,40.3934,26826542.0
2020-02-04,40.0359,40.6436,40.0359,40.4649,24510379.0
2020-02-05,40.2504,40.6079,40.2504,40.6079,25450085.0
2020-02-06,41.3228,41.6445,40.8938,41.3943,21438723.0
2020-02-07,41.0726,41.43,41.0726,41.3228,16166118.0
2020-02-10,41.3585,41.9662,41.287,41.5373,21510391.0
2020-02-11,41.6088,42.1092,41.6088,41.9305,13625708.0
2020-02-12,42.2165,42.6097,42.1092,42.4309,20911601.0
2020-02-13,42.7169,42.8241,42.3952,42.5024,20939325.0
2020-02-14,42.5382,42.8241,42.4309,42.6454,14762829.0
2020-02-17,42.2879,42.6097,42.1807,42.4667,20379817.0
2020-02-18,42.4309,42.4309,41.1083,41.287,49578379.0
2020-02-19,40.2147,40.9296,40.1789,40.7509,69758711.0
2020-02-20,40.6079,40.8223,40.4649,40.6079,47355008.0
2020-02-21,40.3934,40.7509,40.3934,40.5006,41477293.0
2020-02-24,40.5006,40.6079,40.3934,40.3934,49917796.0
2020-02-25,40.0359,40.2862,40.0359,40.0717,47023549.0
2020-02-26,39.6427,39.9287,39.5712,39.75,88500751.0
2020-02-27,39.178,39.178,38.7491,38.892,47341944.0
2020-02-28,38.1414,38.1771,37.8911,37.9984,68658071.0
2020-03-02,37.5337,37.8554,37.5337,37.7482,45360511.0
2020-03-03,37.8911,37.9626,37.5694,37.5694,45432000.0
2020-03-04,36.9975,37.1405,36.3183,36.7115,78906347.0
2020-03-05,36.8545,37.2477,36.8188,37.0332,53217412.0
2020-03-06,36.5685,36.5685,36.1396,36.2111,106618709.0
2020-03-09,35.0314,35.4246,34.7455,34.8527,107572382.0
2020-03-10,34.6025,35.4246,34.6025,34.9599,69125634.0
2020-03-11,35.1744,35.1744,34.7455,34.7812,54556159.0
2020-03-12,34.3165,34.3165,33.2441,33.3514,93238456.0
2020-03-13,30.0269,32.9581,30.0269,32.6722,127327773.0
2020-03-16,31.4568,31.993,31.1708,31.3138,91411722.0
2020-03-17,32.1717,32.5292,31.3496,32.136,61904936.0
2020-03-18,32.3147,33.2441,31.564,31.85,63302201.0
2020-03-19,31.5998,32.1002,31.0993,31.8858,77249632.0
2020-03-20,32.136,33.6016,32.136,33.6016,54043425.0
2020-03-23,31.993,32.0645,31.3496,31.5998,64238228.0
2020-03-24,32.1717,32.3147,31.7785,32.2432,35692754.0
2020-03-25,32.9581,33.3156,32.1717,33.1011,46847802.0
2020-03-26,32.8509,32.8509,32.2075,32.6722,29685401.0
2020-03-27,32.8867,32.9939,32.2432,32.4577,38499002.0
2020-03-30,32.0287,32.279,31.5283,31.8143,51712032.0
2020-03-31,31.993,32.1002,31.4211,31.564,34812410.0
2020-04-01,29.312,29.8125,28.4541,28.5613,212365103.0
2020-04-02,27.7392,28.0251,27.0243,27.8107,120204721.0
2020-04-03,27.1672,27.3817,26.8813,27.0957,90173250.0
2020-04-06,27.5247,28.0251,27.203,27.8464,61129889.0
2020-04-07,28.4541,28.8116,28.0251,28.7043,74051605.0
2020-04-08,28.7043,29.312,28.5256,28.5256,48475468.0
2020-04-09,28.9188,29.3478,28.7401,29.312,40473133.0
2020-04-14,29.312,29.9555,29.2048,29.6337,36916865.0
2020-04-15,29.5265,29.8482,29.026,29.026,29855944.0
2020-04-16,28.4184,28.5613,28.1324,28.3826,37385637.0
2020-04-17,28.4541,28.8116,28.2039,28.2396,52045136.0
2020-04-20,28.7401,29.026,28.4541,28.6328,30234010.0
2020-04-21,28.4541,28.5613,27.9179,27.9894,26649501.0
2020-04-22,27.489,27.8464,27.4175,27.7749,30535516.0
2020-04-23,27.7392,27.8822,27.489,27.6677,16392712.0
2020-04-24,27.5247,27.9894,27.5247,27.7034,15509158.0
2020-04-27,27.8464,28.3469,27.7392,28.2396,29008804.0
2020-04-28,28.6686,28.8831,27.9179,28.5613,54166077.0
2020-04-29,29.026,29.1333,28.7043,28.7758,34078050.0
2020-05-04,27.8822,27.8822,27.5962,27.5962,53885337.0
2020-05-05,27.5962,28.0251,27.3817,27.8822,24186602.0
2020-05-06,27.5247,27.9894,27.5247,27.8822,32638886.0
2020-05-07,27.6677,27.8822,27.5604,27.7749,23315862.0
2020-05-08,28.0966,28.4184,27.9894,28.2754,19639628.0
2020-05-11,28.4899,28.9188,28.4541,28.6328,38970672.0
2020-05-12,28.0251,28.2396,27.7749,28.0966,30960477.0
2020-05-13,27.8822,28.2039,27.6677,27.8107,30665368.0
2020-05-14,27.5247,27.5604,27.203,27.3102,42920349.0
