ticker,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,returnOnEquity,returnOnAssets,grossMargins,operatingMargins,profitMargins,debtToEquity,currentRatio,quickRatio,earningsQuarterlyGrowth,revenueGrowth,freeCashflow,operatingCashflow,totalRevenue,ebitda,bookValue,trailingEps,forwardEps,sharesOutstanding,beta,heldPercentInsiders,shortRatio,roe_q,roa_q,ni_growth_q,rev_growth_q,accruals,debt_equity_q,cfo_assets
WM,91007156224.0,113807155200.0,59.915787,24.912354,9.175096,3.5456872,14.639,0.29841,0.06566,0.40601003,0.18986,0.11115,235.301,0.907,0.801,0.081,0.04,2348375040.0,6517000192.0,25667000320.0,7774000128.0,24.815,3.8,9.13924,399715184.0,0.437,0.00254,2.77,,,,,,,
WRB,26579890176.0,27038324736.0,14.73251,14.822943,2.8676705,1.784352,10.478,0.20207001,0.03561,0.43785998,0.16385001,0.12943,31.527,0.406,0.249,0.127,0.012,3045504768.0,3602895872.0,14896102400.0,2580506880.0,24.968,4.86,4.83035,371227529.0,0.294,0.2636,0.02,,,-0.2147497612673962,-0.04360378758519623,,,
XEL,48765198336.0,88398200832.0,21.38904,17.203537,2.0468788,3.3364255,14.437,0.0992,0.02365,0.46825,0.22700001,0.15278,173.135,0.701,0.477,0.32,-0.051,-7907999744.0,4770999808.0,14616000512.0,6122999808.0,38.141,3.65,4.53802,624634306.0,0.405,0.00201,7.4,,,-0.15267175572519087,-0.1604086845466156,,,
WST,24917946368.0,24798646272.0,45.277493,35.532215,8.336159,7.4900646,27.186,0.19087,0.11377,0.36786,0.22469,0.1698,10.585,2.822,1.819,0.168,0.138,277937504.0,662200000.0,3326799872.0,912200000.0,42.474,7.82,9.96476,70375762.0,1.138,0.00638,2.9,,,,,,,
WMT,890111131648.0,961572175872.0,39.383804,34.102272,9.4404125,1.2272232,21.445,0.24132,0.06835,0.24976,0.042150002,0.03135,74.816,0.771,0.187,0.188,0.073,6862249984.0,40891998208.0,725304999936.0,44837998592.0,11.848,2.84,3.27984,7958079155.0,0.605,0.44849998,3.23,,,,,,,
XOM,634342670336.0,667798011904.0,25.764309,14.461898,2.4261253,1.7568898,9.83,0.12584,0.055209998,0.29767,0.15859,0.09072,15.921,1.135,0.801,1.051,0.441,20671000576.0,59726999552.0,361060007936.0,67937001472.0,63.08,5.94,10.58229,4144947162.0,0.173,0.00081,2.39,,,,,,,
WTW,32024100864.0,37546102784.0,21.364313,15.121894,4.171395,3.1700754,13.333,0.19761999,0.05079,0.42516,0.17559,0.15492,91.39,1.098,0.301,-0.308,0.091,1415624960.0,1923000064.0,10101999616.0,2816000000.0,82.663,16.14,22.8027,92871937.0,0.418,0.0026699998,5.63,,,,,,,
WSM,29646241792.0,30488205312.0,28.258137,24.531975,15.855164,3.7611828,18.48,0.54007,0.17356001,0.46062002,0.16173,0.1381,79.878,1.331,0.449,0.0,0.044,885462144.0,1352263040.0,7882159104.0,1649757952.0,15.88,8.91,10.26334,117746611.0,1.47,0.01119,5.05,,,-0.06583805268983123,-0.05806256669352561,,,
WYNN,10558942208.0,19908356096.0,24.589928,19.45978,-49.48842,1.4243001,11.006,,0.05728,0.683,0.16537,0.060549997,,0.912,0.838,1.115,0.069,476188864.0,1459197056.0,7413425152.0,1808924032.0,-2.072,4.17,5.26933,102973891.0,1.005,0.27446,6.2,,,,,,,
WY,18436427776.0,23358427136.0,38.757576,37.933388,1.9540143,2.6906638,33.951,0.04974,0.00674,0.14507,0.080340005,0.06888,57.625,1.816,1.004,0.862,-0.009,13625000.0,547000000.0,6851999744.0,688000000.0,13.091,0.66,0.67434,720736000.0,0.901,0.0033000002,4.76,,,,,,,
WMB,86110994432.0,118913990656.0,28.04781,27.384048,6.7355533,6.987827,16.908,0.21503,0.05032,0.63637,0.39540002,0.24937001,200.371,0.477,0.309,0.515,0.078,-1516749952.0,5993999872.0,12323000320.0,7032999936.0,10.452,2.51,2.57084,1223167472.0,0.615,0.00446,2.56,,,,,,,
ZBH,18415724544.0,25561624576.0,23.434467,10.644045,1.4577546,2.1643152,10.005,0.06413,0.0396,0.69877,0.17959999,0.09481,60.175,1.691,0.741,0.298,0.048,1090899968.0,1743299968.0,8508800000.0,2555000064.0,66.232,4.12,9.0708,190737689.0,0.462,0.00155,5.03,,,0.19109947643979064,-0.08097049054060557,,,
XYL,28093132800.0,30117132288.0,28.647621,19.442074,2.5529387,3.0783622,15.226,0.09182999,0.051149998,0.39240003,0.16995001,0.111549996,28.642,1.613,1.161,0.164,0.015,1183750016.0,1300999936.0,9125999616.0,1978000000.0,47.13,4.2,6.18864,233486812.0,1.01,0.00329,3.98,,,,,,,
YUM,41142566912.0,53873565696.0,18.963522,20.205133,-5.7132025,4.7171025,17.56,,0.22694,0.45311,0.32779998,0.25406998,,0.592,0.33,1.281,0.122,833249984.0,2083000064.0,8721999872.0,3068000000.0,-26.388,7.95,7.46147,272901085.0,0.553,0.0016,3.16,,,,,,,
ZTS,30024828928.0,37603827712.0,11.853182,10.49342,9.269039,3.1522129,9.248,0.64911,0.15352,0.71738,0.40721,0.27685,293.996,3.084,1.575,-0.048,-0.002,2016999936.0,2840000000.0,9525000192.0,4065999872.0,7.839,6.13,6.92434,413223602.0,0.73,0.00155,2.75,,,,,,,
ZBRA,17933494272.0,20616990720.0,34.50871,17.023113,5.249515,3.0671275,17.413,0.15286,0.07315,0.49581,0.21259001,0.092180006,86.23,0.516,0.301,1.08,0.204,576750016.0,979000000.0,5847000064.0,1184000000.0,71.719,10.91,22.1164,47633392.0,1.583,0.00853,3.92,,,,,,,
XYZ,47462805504.0,47860183040.0,141.07143,15.341475,2.1421404,1.8953309,30.919,0.01612,0.0201,0.46572,0.06999,0.01426,32.58,2.209,1.077,-0.836,0.093,-27105876.0,4057472000.0,25041963008.0,1547908992.0,36.879,0.56,5.14944,540816000.0,2.526,0.01223,2.6,,,,,,,
