Date,equity
2016-01-08,1.0
2016-01-15,1.0
2016-01-22,1.0
2016-01-29,1.0
2016-02-05,1.0
2016-02-12,0.9871845370960775
2016-02-19,1.0022323917754687
2016-02-26,1.0257283074780286
2016-03-04,1.0561580342192833
2016-03-11,1.062383079059783
2016-03-18,1.0737148607886275
2016-03-25,1.0673975535183662
2016-04-01,1.0852094798307894
2016-04-08,1.0747644005663937
2016-04-15,1.08488677306079
2016-04-22,1.1192002980051852
2016-04-29,1.1172393419104578
2016-05-06,1.0938521319749028
2016-05-13,1.0892411367132826
2016-05-20,1.0892411367132826
2016-05-27,1.108309046561561
2016-06-03,1.1208626802085557
2016-06-10,1.1124616131977134
2016-06-17,1.1185708088391337
2016-06-24,1.1082760688761482
2016-07-01,1.1132243981587806
2016-07-08,1.1199758955159442
2016-07-15,1.1508394090282998
2016-07-22,1.1602851835635999
2016-07-29,1.1684397602246333
2016-08-05,1.1752279907116734
2016-08-12,1.1710263976351687
2016-08-19,1.1928563048548733
2016-08-26,1.1931033260612807
2016-09-02,1.206518188955348
2016-09-09,1.1855328706561534
2016-09-16,1.1833475143461578
2016-09-23,1.1922920680986928
2016-09-30,1.2387722241825005
2016-10-07,1.2266858016255304
2016-10-14,1.2109123682155576
2016-10-21,1.2285829275012206
2016-10-28,1.2124061222637277
2016-11-04,1.1714503937598393
2016-11-11,1.2016203616620802
2016-11-18,1.2409763163554344
2016-11-25,1.2507833181889656
2016-12-02,1.237073686002386
2016-12-09,1.2771365019563319
2016-12-16,1.2680120413241924
2016-12-23,1.2724115233132385
2016-12-30,1.2666261753515455
2017-01-06,1.2798020446978973
2017-01-13,1.2817527051216675
2017-01-20,1.2808730037787408
2017-01-27,1.2997605000033527
2017-02-03,1.3082848989665843
2017-02-10,1.3355095259945702
2017-02-17,1.3396359234730335
2017-02-24,1.326252258930691
2017-03-03,1.3652874479244175
2017-03-10,1.350073883653275
2017-03-17,1.3590590344934153
2017-03-24,1.3534682305744625
2017-03-31,1.3730530511087944
2017-04-07,1.3562907533815904
2017-04-14,1.317995761326178
2017-04-21,1.3232300378564914
2017-04-28,1.3275037836033154
2017-05-05,1.329649919622685
2017-05-12,1.366979290600763
2017-05-19,1.3693738000943412
2017-05-26,1.3936851392105347
2017-06-02,1.3908176410124549
2017-06-09,1.4233124511107682
2017-06-16,1.4435211949391669
2017-06-23,1.4913323317327607
2017-06-30,1.4492186749908422
2017-07-07,1.4646266880339431
2017-07-14,1.5134979878454662
2017-07-21,1.5091967506424573
2017-07-28,1.4915353714490334
2017-08-04,1.4801307038010507
2017-08-11,1.4724640023902535
2017-08-18,1.4709607336780737
2017-08-25,1.4709607336780737
2017-09-01,1.4901170739891443
2017-09-08,1.4786522509955962
2017-09-15,1.4973586904403342
2017-09-22,1.4885128691725829
2017-09-29,1.4882015849314647
2017-10-06,1.5347289310694407
2017-10-13,1.5478910821804874
2017-10-20,1.538010313947819
2017-10-27,1.5356272162253057
2017-11-03,1.562583694979385
2017-11-10,1.5700295157064124
2017-11-17,1.5986700963995397
2017-11-24,1.6204308640896963
2017-12-01,1.5777676766291533
2017-12-08,1.5888988957456964
2017-12-15,1.6081276492474395
2017-12-22,1.6012068481872694
2017-12-29,1.5691403787889482
2018-01-05,1.652194892106248
2018-01-12,1.6817952874612478
2018-01-19,1.6836290264295213
2018-01-26,1.6998140044033616
2018-02-02,1.640821502833772
2018-02-09,1.6294635211090698
2018-02-16,1.6294635211090698
2018-02-23,1.6360761903632555
2018-03-02,1.6341427091997616
2018-03-09,1.6858035580703792
2018-03-16,1.694000012917627
2018-03-23,1.6512455036126308
2018-03-30,1.6488576350033683
2018-04-06,1.6377085767815414
2018-04-13,1.6377085767815414
2018-04-20,1.647095108849462
2018-04-27,1.6108099124142443
2018-05-04,1.6108099124142443
2018-05-11,1.6343221841613875
2018-05-18,1.6401142698110225
2018-05-25,1.6657703877048613
2018-06-01,1.6776997380655456
2018-06-08,1.7087881079470106
2018-06-15,1.7205032374113733
2018-06-22,1.7099304991168058
2018-06-29,1.6809178619908043
2018-07-06,1.708565799261115
2018-07-13,1.7139320359256298
2018-07-20,1.7304924191565632
2018-07-27,1.6977762537976433
2018-08-03,1.705368151415899
2018-08-10,1.7678359712357163
2018-08-17,1.7633215442617947
2018-08-24,1.828988850010565
2018-08-31,1.8688441452955644
2018-09-07,1.8288594135448675
2018-09-14,1.8419128097013318
2018-09-21,1.8317791365449303
2018-09-28,1.855023193738678
2018-10-05,1.8062243502197517
2018-10-12,1.7865840728211038
2018-10-19,1.7865840728211038
2018-10-26,1.7865840728211038
2018-11-02,1.7865840728211038
2018-11-09,1.7865840728211038
2018-11-16,1.7865840728211038
2018-11-23,1.7865840728211038
2018-11-30,1.7865840728211038
2018-12-07,1.7865840728211038
2018-12-14,1.7865840728211038
2018-12-21,1.7865840728211038
2018-12-28,1.7865840728211038
2019-01-04,1.7865840728211038
2019-01-11,1.7865840728211038
2019-01-18,1.7865840728211038
2019-01-25,1.7865840728211038
2019-02-01,1.7865840728211038
2019-02-08,1.7865840728211038
2019-02-15,1.7865840728211038
2019-02-22,1.7865840728211038
2019-03-01,1.871421804338294
2019-03-08,1.7363108663435753
2019-03-15,1.7746883336594936
2019-03-22,1.7597441677426922
2019-03-29,1.7823858560945136
2019-04-05,1.8323693415801139
2019-04-12,1.8556666158041797
2019-04-19,1.8320488786158413
2019-04-26,1.9034829982025017
2019-05-03,1.9158510708282777
2019-05-10,1.8745588930075276
2019-05-17,1.8643592616344666
2019-05-24,1.8494850153224804
2019-05-31,1.8494850153224804
2019-06-07,1.8494850153224804
2019-06-14,1.8463386072061474
2019-06-21,1.8598342256296603
2019-06-28,1.8425543008869323
2019-07-05,1.8579076616897656
2019-07-12,1.8756107962803075
2019-07-19,1.8353524054189763
2019-07-26,1.9087994430384956
2019-08-02,1.8317086971549317
2019-08-09,1.850406227723205
2019-08-16,1.8300297907002374
2019-08-23,1.8280908936271705
2019-08-30,1.8453420742129325
2019-09-06,1.8404554439499332
2019-09-13,1.8442047515344273
2019-09-20,1.8512919471398288
2019-09-27,1.816854918940723
2019-10-04,1.8385064335430692
2019-10-11,1.832042726666272
2019-10-18,1.8248556304867936
2019-10-25,1.8775786151830802
2019-11-01,1.9000539953007922
2019-11-08,1.8970769239545198
2019-11-15,1.975454451267433
2019-11-22,1.9641643168608625
2019-11-29,1.9956677839974006
2019-12-06,1.9516524847510386
2019-12-13,1.9927509758090225
2019-12-20,2.0329090672786054
2019-12-27,2.037267120793276
2020-01-03,2.0408263512185543
2020-01-10,2.068801243792292
2020-01-17,2.0970123404075864
