category,factor,ic_mean,ic_std,icir,abs_icir,sign,n
momentum,mom_1w,-0.006061516177225759,0.1676937076970053,-0.03614635432939387,0.03614635432939387,-1.0,550.0
momentum,mom_1m,-0.01377597879332638,0.17288390649068902,-0.07968340762862337,0.07968340762862337,-1.0,547.0
momentum,mom_3m,-0.004601300869616235,0.1976414905670174,-0.023281047195178886,0.023281047195178886,-1.0,538.0
momentum,mom_6m,0.0016164391118433314,0.21972687488828094,0.007356583543388591,0.007356583543388591,1.0,525.0
momentum,mom_12m,0.010010888054703586,0.236302425734305,0.04236472826546302,0.04236472826546302,1.0,499.0
momentum,mom_12_1,0.011945785539032751,0.23336252311072234,0.05118981994107466,0.05118981994107466,1.0,499.0
momentum,mom_accel,-0.011759347896921495,0.21719652626130814,-0.054141509992539555,0.054141509992539555,-1.0,499.0
momentum,mom_riskadj_3m,-0.0030117741870128814,0.1890168843022058,-0.015933889705840074,0.015933889705840074,-1.0,538.0
momentum,near_52w_high,-0.0036196792938284765,0.22906453552825853,-0.01580200656326363,0.01580200656326363,-1.0,500.0
momentum,resid_mom_6m,,,,,-1.0,0.0
stability,inv_vol_1m,-0.016353228405789202,0.2250467281043371,-0.07266592384408029,0.07266592384408029,-1.0,547.0
stability,inv_vol_3m,-0.017238001582537896,0.24748273839949775,-0.06965334913464365,0.06965334913464365,-1.0,538.0
stability,inv_vol_6m,-0.019229682252476617,0.25106868369373647,-0.07659132142475301,0.07659132142475301,-1.0,525.0
stability,inv_downside_vol,-0.01930999687735062,0.23113473636259055,-0.08354433081429281,0.08354433081429281,-1.0,538.0
stability,inv_maxdd_6m,-0.006049645621949655,0.23193745187705114,-0.02608309082034988,0.02608309082034988,-1.0,500.0
stability,inv_beta,-0.020413778965130216,0.294540410796186,-0.06930722650229479,0.06930722650229479,-1.0,525.0
stability,inv_idio_vol,-0.009648654365001095,0.18497515569391354,-0.052161893465126445,0.052161893465126445,-1.0,513.0
stability,inv_range_vol,-0.010917130366396856,0.1884862631164142,-0.05792003186807381,0.05792003186807381,-1.0,547.0
size,neg_log_price,0.008597254876163408,0.13464822877948582,0.06384974354354993,0.06384974354354993,1.0,551.0
size,neg_log_dollar_vol,0.006437674424759019,0.11597642815990578,0.055508472944889226,0.055508472944889226,1.0,547.0
size,neg_log_volume,-0.000975735533690522,0.11182524695972476,-0.008725538822569694,0.008725538822569694,-1.0,547.0
size,inv_price_rank,0.008597254876163408,0.13464822877948582,0.06384974354354993,0.06384974354354993,1.0,551.0
size,neg_log_mcap,0.014241418286681275,0.1206181876996365,0.118070239308729,0.118070239308729,1.0,551.0
size,neg_mcap_rank,0.014241418286681275,0.1206181876996365,0.118070239308729,0.118070239308729,1.0,551.0
