Date,ret
2016-01-08,0.0
2016-01-15,-0.0
2016-01-22,-0.0
2016-01-29,0.0
2016-02-05,-0.0
2016-02-12,-0.0
2016-02-19,0.0
2016-02-26,0.0
2016-03-04,0.0
2016-03-11,0.0
2016-03-18,0.0
2016-03-25,-0.0
2016-04-01,0.0
2016-04-08,-0.0
2016-04-15,-0.0
2016-04-22,0.0
2016-04-29,-0.0
2016-05-06,-0.0
2016-05-13,-0.0
2016-05-20,0.0
2016-05-27,0.0
2016-06-03,0.0
2016-06-10,-0.0
2016-06-17,0.0
2016-06-24,-0.0
2016-07-01,-0.005628372471242635
2016-07-08,0.022138787337112182
2016-07-15,0.05146316902371231
2016-07-22,0.011241795357457667
2016-07-29,0.0
2016-08-05,-0.018506199593944277
2016-08-12,0.0004331556222548216
2016-08-19,0.03812965676578349
2016-08-26,0.0
2016-09-02,0.012383464094168264
2016-09-09,-0.0
2016-09-16,0.0
2016-09-23,0.0
2016-09-30,0.0
2016-10-07,-0.0
2016-10-14,-0.0
2016-10-21,0.0
2016-10-28,0.0
2016-11-04,-0.0
2016-11-11,0.04821343514504064
2016-11-18,0.07063908623846249
2016-11-25,0.003491853648668497
2016-12-02,-0.0
2016-12-09,0.06963409169429914
2016-12-16,0.0
2016-12-23,0.046768196246700804
2016-12-30,-0.0
2017-01-06,-0.00499819761499791
2017-01-13,-0.0
2017-01-20,-0.0
2017-01-27,0.03534142558001271
2017-02-03,0.021219604865070553
2017-02-10,0.03819761736040887
2017-02-17,-0.024037678289072738
2017-02-24,-0.014928228560298228
2017-03-03,0.006024744733094797
2017-03-10,-0.0
2017-03-17,0.020377037202845366
2017-03-24,0.0
2017-03-31,0.0
2017-04-07,-0.0
2017-04-14,-0.0
2017-04-21,0.012526747541843766
2017-04-28,-0.012699382861495552
2017-05-05,-0.013365430495126724
2017-05-12,0.0
2017-05-19,0.0
2017-05-26,0.02436957408490449
2017-06-02,0.017169027106998105
2017-06-09,0.0
2017-06-16,-0.0036332513096180197
2017-06-23,0.043732422182427316
2017-06-30,-0.0
2017-07-07,0.0
2017-07-14,0.042809618645235296
2017-07-21,0.005861885290446582
2017-07-28,-0.032969317627026956
2017-08-04,-0.0007245828398369164
2017-08-11,-0.0
2017-08-18,0.0
2017-08-25,0.0
2017-09-01,0.018279528280571968
2017-09-08,-0.0
2017-09-15,0.016478026469973435
2017-09-22,0.008442458364114341
2017-09-29,0.01315307567986837
2017-10-06,0.019570515854980448
2017-10-13,0.021607726681697397
2017-10-20,-0.002382864439145565
2017-10-27,-0.01714201563937293
2017-11-03,0.02035617211393481
2017-11-10,0.0
2017-11-17,0.0
2017-11-24,0.01535493370164497
2017-12-01,-0.02501001252019902
2017-12-08,0.00906500571996067
2017-12-15,0.015485329046711675
2017-12-22,-0.0039835040078049005
2017-12-29,-0.0
2018-01-05,0.06006751227093432
2018-01-12,0.030163199171284977
2018-01-19,0.007526320135557513
2018-01-26,0.009993014572177866
2018-02-02,-0.0
2018-02-09,-0.0
2018-02-16,0.0
2018-02-23,0.0
2018-03-02,0.0
2018-03-09,0.04799638771737878
2018-03-16,0.0
2018-03-23,-0.0
2018-03-30,-0.0
2018-04-06,-0.0
2018-04-13,0.0
2018-04-20,0.03163620853109413
2018-04-27,-0.0
2018-05-04,0.0
2018-05-11,0.06100783367119765
2018-05-18,-0.0
2018-05-25,0.02040313472125811
2018-06-01,0.013511184879589747
2018-06-08,0.019962563049264814
2018-06-15,-0.0009923030582399668
2018-06-22,-0.0
2018-06-29,-0.0
2018-07-06,0.0
2018-07-13,0.009895935307528685
2018-07-20,0.0060357332917777935
2018-07-27,-0.010378756745284674
2018-08-03,-0.0018527376609997546
2018-08-10,0.0
2018-08-17,-0.0014157303362356758
2018-08-24,0.04427399840913604
2018-08-31,0.030504009293272974
2018-09-07,-0.0
2018-09-14,0.013783074821156776
2018-09-21,-0.007571328014921321
2018-09-28,0.0
2018-10-05,-0.0
2018-10-12,-0.0
2018-10-19,-0.0
2018-10-26,-0.0
2018-11-02,0.0
2018-11-09,-0.0
2018-11-16,-0.0
2018-11-23,-0.0
2018-11-30,0.0
2018-12-07,-0.0
2018-12-14,-0.0
2018-12-21,-0.0
2018-12-28,0.0
2019-01-04,0.0
2019-01-11,0.0
2019-01-18,0.0
2019-01-25,0.0
2019-02-01,0.0
2019-02-08,0.0
2019-02-15,0.0394801302824263
2019-02-22,-0.001140292226936695
2019-03-01,0.02027319512780607
2019-03-08,-0.0
2019-03-15,0.025897315736851372
2019-03-22,0.0
2019-03-29,0.0006161168838340705
2019-04-05,0.015298172679173975
2019-04-12,0.021124896316641623
2019-04-19,-0.0
2019-04-26,0.04219382009630325
2019-05-03,0.002765155169650441
2019-05-10,-0.0
2019-05-17,0.0
2019-05-24,-0.0
2019-05-31,0.0
2019-06-07,0.0
2019-06-14,-0.014686980202907911
2019-06-21,0.012390497874368807
2019-06-28,-0.0
2019-07-05,0.030643362133136256
2019-07-12,0.014777807268996019
2019-07-19,-0.0
2019-07-26,0.04927198610495338
2019-08-02,-0.0
2019-08-09,0.0
2019-08-16,-0.0
2019-08-23,-0.0
2019-08-30,0.0
2019-09-06,-0.012313140202304257
2019-09-13,-0.03113215557721548
2019-09-20,0.0
2019-09-27,-0.0
2019-10-04,0.0
2019-10-11,-0.0
2019-10-18,-0.0
2019-10-25,0.023476233246671273
2019-11-01,-0.002606649017254481
2019-11-08,0.010365803332689006
2019-11-15,0.054668302524203266
2019-11-22,0.0
2019-11-29,0.01674840060059275
2019-12-06,-0.025054555017285735
2019-12-13,0.028676811994452284
2019-12-20,0.017092985010290124
2019-12-27,-0.0029340644247525492
2020-01-03,0.0
2020-01-10,0.031070337688755407
2020-01-17,0.021780453298411346
2020-01-24,-0.0
2020-01-31,-0.0
2020-02-07,0.028703657727772097
2020-02-14,0.027586939710926538
2020-02-21,0.0
2020-02-28,-0.0
2020-03-06,-0.0
2020-03-13,-0.0
2020-03-20,-0.0
2020-03-27,0.0
2020-04-03,-0.0
2020-04-10,0.0
2020-04-17,0.0
2020-04-24,0.0
2020-05-01,0.0
2020-05-08,0.0
2020-05-15,-0.0
2020-05-22,0.0
2020-05-29,-0.0010910841404470782
2020-06-05,0.059183053203919
2020-06-12,-0.0
2020-06-19,0.03088793921636088
2020-06-26,-0.0
2020-07-03,0.0
2020-07-10,0.03799497478647452
2020-07-17,0.044009297088546236
2020-07-24,0.0
2020-07-31,0.03604253042128405
2020-08-07,0.026460450516744283
2020-08-14,0.018451476908345293
2020-08-21,0.016390565994199868
2020-08-28,0.009462050087990165
2020-09-04,-0.0
2020-09-11,-0.0
2020-09-18,0.0
2020-09-25,0.0
2020-10-02,0.0
2020-10-09,0.02547536952961469
2020-10-16,0.010134024439050706
2020-10-23,-0.0
2020-10-30,-0.0
2020-11-06,0.14224232984373028
2020-11-13,-0.0021735007660716524
2020-11-20,0.0
2020-11-27,0.0750887070308481
2020-12-04,0.012872296383939802
2020-12-11,0.0
2020-12-18,0.04582654720584831
2020-12-25,-0.0
2021-01-01,-0.05776634518222185
2021-01-08,0.025254762206952556
2021-01-15,0.0
2021-01-22,0.04285255926187229
2021-01-29,0.0
2021-02-05,0.06144811520391776
2021-02-12,0.02658766863825757
2021-02-19,0.0
2021-02-26,-0.0
2021-03-05,-0.0
2021-03-12,0.07215804003223181
2021-03-19,-0.0
2021-03-26,-0.052032514162103374
2021-04-02,0.007428329613520381
2021-04-09,0.006894257629767389
2021-04-16,0.0246943165372615
2021-04-23,-0.0
2021-04-30,0.0031864188681266035
2021-05-07,-0.02533175261205213
2021-05-14,-0.0
2021-05-21,0.0
2021-05-28,0.051788890687296564
2021-06-04,7.227772232674369e-05
2021-06-11,0.018412956180264346
2021-06-18,0.0
2021-06-25,0.032795174128366994
2021-07-02,-0.012666005047909825
2021-07-09,-0.02507496077019869
2021-07-16,-0.0
