Date,equity
2016-01-08,1.0
2016-01-15,0.950037782904916
2016-01-22,0.9887512322492097
2016-01-29,1.0328098111879727
2016-02-05,1.0064465711848136
2016-02-12,0.9770588177193628
2016-02-19,1.0257360795458585
2016-02-26,1.0978933585706836
2016-03-04,1.2053432725783682
2016-03-11,1.2218828323887696
2016-03-18,1.2667513720421975
2016-03-25,1.2419097655297862
2016-04-01,1.292749744976064
2016-04-08,1.2539298797461151
2016-04-15,1.3174385889399478
2016-04-22,1.458300077069707
2016-04-29,1.4750389534009964
2016-05-06,1.3689510983906874
2016-05-13,1.3466686555633332
2016-05-20,1.3466686555633332
2016-05-27,1.4257173528885092
2016-06-03,1.4559433648672466
2016-06-10,1.4221290588842797
2016-06-17,1.4622423942316094
2016-06-24,1.3986934963979567
2016-07-01,1.4339684768771361
2016-07-08,1.453410542137704
2016-07-15,1.5512532388607783
2016-07-22,1.5814638365945437
2016-07-29,1.5975871221420532
2016-08-05,1.5813600567716604
2016-08-12,1.5838193430876801
2016-08-19,1.6508713750328805
2016-08-26,1.6497287959163507
2016-09-02,1.6668446555302252
2016-09-09,1.6363094753825127
2016-09-16,1.6255875202049748
2016-09-23,1.6610878835962395
2016-09-30,1.6976454262827816
2016-10-07,1.6643023821746237
2016-10-14,1.6455820319596683
2016-10-21,1.699262913680485
2016-10-28,1.686032080060892
2016-11-04,1.6323079146438069
2016-11-11,1.7643163186834383
2016-11-18,1.8967535150583072
2016-11-25,1.8978209021516723
2016-12-02,1.8218510247667579
2016-12-09,1.993146693005293
2016-12-16,1.9556011859726405
2016-12-23,1.9814039517758002
2016-12-30,1.934878990411563
2017-01-06,1.9704619924963462
2017-01-13,1.9725066061940086
2017-01-20,1.9545882907404335
2017-01-27,2.0320066519572126
2017-02-03,2.06997374599293
2017-02-10,2.16169396793964
2017-02-17,2.1044930930150647
2017-02-24,2.086640114527556
2017-03-03,2.1455436004380126
2017-03-10,2.102448439832594
2017-03-17,2.1354235272477577
2017-03-24,2.1019305610377086
2017-03-31,2.164036574633663
2017-04-07,2.11472876120464
2017-04-14,2.019295718082034
2017-04-21,2.040170549774094
2017-04-28,2.0413675798789175
2017-05-05,2.0253947210080665
2017-05-12,2.1699293105649913
2017-05-19,2.18277588641571
2017-05-26,2.243813301702961
2017-06-02,2.2346335321042985
2017-06-09,2.33491657903644
2017-06-16,2.431491121819261
2017-06-23,2.544110362586983
2017-06-30,2.44195598052616
2017-07-07,2.493526461963263
2017-07-14,2.6413901072725903
2017-07-21,2.614726650477222
2017-07-28,2.5816655483945654
2017-08-04,2.5143066955604483
2017-08-11,2.440642964707688
2017-08-18,2.4378654131437387
2017-08-25,2.4643199331931522
2017-09-01,2.607856924559465
2017-09-08,2.583122339092121
2017-09-15,2.6515231724148047
2017-09-22,2.6512134385345156
2017-09-29,2.6344591629220657
2017-10-06,2.7616578008841537
