date,dd_scale
2019-03-25,1.0
2019-03-26,0.8507062874779137
2019-03-27,0.7857422235059058
2019-03-28,0.7756680761970649
2019-03-29,0.808159425900544
2019-04-01,0.8515696820267193
2019-04-02,0.8596417389394759
2019-04-03,0.7625758710270205
2019-04-04,0.8033906667606314
2019-04-08,0.7183215616783875
2019-04-09,0.7191022612529149
2019-04-10,0.5842029913754854
2019-04-11,0.5608633300754184
2019-04-12,0.5700273663062311
2019-04-15,0.5528834653507131
2019-04-16,0.5933364786955495
2019-04-17,0.5958934471549158
2019-04-18,0.6129055733715555
2019-04-19,0.6024286046451874
2019-04-22,0.6246846925757255
2019-04-23,0.6085882695880738
2019-04-24,0.6464030954754842
2019-04-25,0.6348500334502927
2019-04-26,0.6137411656797989
2019-04-29,0.6196711611941624
2019-04-30,0.622448575499891
2019-05-06,0.6040917581783334
2019-05-07,0.49283660139324004
2019-05-08,0.5109431509073622
2019-05-09,0.4710967203373875
2019-05-10,0.48379106635704183
2019-05-13,0.5026415024274027
2019-05-14,0.5214754179559741
2019-05-15,0.5586535275494381
2019-05-16,0.5709879753655983
2019-05-17,0.5976238195052666
2019-05-20,0.6300379854226307
2019-05-21,0.6450242620570251
2019-05-22,0.6629745024733171
2019-05-23,0.6621383367871736
2019-05-24,0.6669397030326043
2019-05-27,0.6483285328947228
2019-05-28,0.6743913747058755
2019-05-29,0.6788406526271953
2019-05-30,0.6739878797463111
2019-05-31,0.6627560266804977
2019-06-03,0.6509209679188765
2019-06-04,0.6971185193042234
2019-06-05,0.7168637898122947
2019-06-06,0.7297317457055787
2019-06-10,0.7380386915543469
2019-06-11,0.6709779078750053
2019-06-12,0.6472418508651195
2019-06-13,0.7150272324060758
2019-06-14,0.7204842379520198
2019-06-17,0.715598879125781
2019-06-18,0.6768656961412722
2019-06-19,0.6967052689127842
2019-06-20,0.6159030781818253
2019-06-21,0.6615343791623243
2019-06-24,0.7007429539497414
2019-06-25,0.7260464817051826
2019-06-26,0.7727269766108541
2019-06-27,0.7015599197632032
2019-06-28,0.7257036062015456
2019-07-01,0.8353116401772789
2019-07-02,0.7627043352336654
2019-07-03,0.7637909108280655
2019-07-04,0.861545766509858
2019-07-05,0.8052873728760888
2019-07-08,0.7715086483825936
2019-07-09,0.7493275453343888
2019-07-10,0.8389805386612081
2019-07-11,0.845499972582438
2019-07-12,0.8353702842705404
2019-07-15,0.8292581966934711
2019-07-16,0.8496352810540588
2019-07-17,0.8789409124959837
2019-07-18,0.8650842331742548
2019-07-19,0.8030353982898769
2019-07-22,0.8219196812846336
2019-07-23,0.723400852685423
2019-07-24,0.6689664707812276
2019-07-25,0.6184804872572489
2019-07-26,0.6713649514164044
2019-07-29,0.6771342304340568
2019-07-30,0.6714989516951275
2019-07-31,0.6599154982873029
2019-08-01,0.6283079545778236
2019-08-02,0.5862392151947327
2019-08-05,0.621609228016232
2019-08-06,0.7303804452834406
2019-08-07,0.6047852411403887
2019-08-08,0.49416903845336646
2019-08-09,0.48449993797291335
2019-08-12,0.5405501742050471
2019-08-13,0.4364314359370425
2019-08-14,0.48899790795447207
2019-08-15,0.39627152970560153
2019-08-16,0.41086383797562187
2019-08-19,0.4269783900715757
2019-08-20,0.3383031396235844
2019-08-21,0.35745760809745086
2019-08-22,0.379655969851575
2019-08-23,0.38760095670213657
2019-08-26,0.37006752142274413
2019-08-27,0.4690183614784629
2019-08-28,0.4702204882788691
2019-08-29,0.44714291951765406
2019-08-30,0.4816550610287168
2019-09-02,0.45831096609078303
2019-09-03,0.43965026805486107
2019-09-04,0.44885738457453495
2019-09-05,0.43795951407824185
2019-09-06,0.4106506076692875
2019-09-09,0.3657571266425743
2019-09-10,0.33564695416126467
2019-09-11,0.3358397684192995
2019-09-12,0.33679669059044204
2019-09-16,0.34671775506553115
2019-09-17,0.3124917721685829
2019-09-18,0.3020549830508201
2019-09-19,0.2911258906655778
2019-09-20,0.29065321210447326
2019-09-23,0.30046769307671883
2019-09-24,0.29097368740510277
2019-09-25,0.2888872079441973
2019-09-26,0.2928716124958558
2019-09-27,0.289483310265354
2019-09-30,0.28267805255556444
2019-10-08,0.27696508798570185
2019-10-09,0.2915820964448187
2019-10-10,0.2971329638262743
2019-10-11,0.2860128883910673
2019-10-14,0.29376180858295264
2019-10-15,0.29005544793645643
2019-10-16,0.29798767242903
2019-10-17,0.3053163856452701
2019-10-18,0.3014325866889286
2019-10-21,0.2913068884169745
