date,port_var95
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,0.0
2018-03-01,0.0
2018-03-02,0.0
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,0.0
2018-03-08,0.0
2018-03-09,0.0
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,0.0
2018-03-16,0.0
2018-03-19,0.0
2018-03-20,0.0
2018-03-21,0.0
2018-03-22,0.0
2018-03-23,0.0
2018-03-26,0.0
2018-03-27,0.0
2018-03-28,0.0
2018-03-29,0.0
2018-03-30,0.0
2018-04-02,0.0
2018-04-03,0.017982480997025825
2018-04-04,0.01791315770354548
2018-04-09,0.01813980584075951
2018-04-10,0.017990784293731295
2018-04-11,0.018830244175497807
2018-04-12,0.01876280827869329
2018-04-13,0.01883974197222964
2018-04-16,0.018777969687650695
2018-04-17,0.022464250482483315
2018-04-18,0.02236666815222033
2018-04-19,0.019626283465740604
2018-04-20,0.012352042564173873
2018-04-23,0.017490810756341468
2018-04-24,0.011850837195829432
2018-04-25,0.022549911854157844
2018-04-26,0.017418184696879817
2018-04-27,0.017495694039812756
2018-05-02,0.019190023384856602
2018-05-03,0.020515734192317413
2018-05-04,0.016509133636520196
2018-05-07,0.022206037727064445
2018-05-08,0.02555642428536266
2018-05-09,0.02248058951995177
2018-05-10,0.022399909667592397
2018-05-11,0.025190730259897185
2018-05-14,0.025063932100605545
2018-05-15,0.02446588881951214
2018-05-16,0.020525867002855674
2018-05-17,0.025150632281195583
2018-05-18,0.024882086304805144
2018-05-21,0.026057834056072964
2018-05-22,0.0140734768882135
2018-05-23,0.019513805891495768
2018-05-24,0.011723565956111208
2018-05-25,0.014403778163125444
2018-05-28,0.011009798065293501
2018-05-29,0.019978236556983116
2018-05-30,0.026123387251297422
2018-05-31,0.011448670939206033
2018-06-01,0.01749457103036262
2018-06-04,0.015734093717280462
2018-06-05,0.013846505167207947
2018-06-06,0.016390709718180047
2018-06-07,0.021351527446447045
2018-06-08,0.016551081269586106
2018-06-11,0.017407980297409188
2018-06-12,0.015421255933878664
2018-06-13,0.018512015826726746
2018-06-14,0.014905458042488457
2018-06-15,0.014865495869351876
2018-06-19,0.01486192226715571
2018-06-20,0.011316118673949629
2018-06-21,0.011738020055636185
2018-06-22,0.011206704694235575
2018-06-25,0.011869548809294405
2018-06-26,0.016745917246514693
2018-06-27,0.01313698576648556
2018-06-28,0.011272467490923548
2018-06-29,0.016277121218216208
2018-07-02,0.01633125303103953
2018-07-03,0.011826585095356676
2018-07-04,0.012888795611022512
2018-07-05,0.011741261462093495
2018-07-06,0.011722686191642953
2018-07-09,0.014926003609550539
2018-07-10,0.011447946728120648
2018-07-11,0.01033944947340506
2018-07-12,0.01161735258594782
2018-07-13,0.011104095234914298
2018-07-16,0.011076622410985577
2018-07-17,0.010622315563047054
2018-07-18,0.016998714594425975
2018-07-19,0.013870254270999497
2018-07-20,0.014667734229854918
2018-07-23,0.014597778687402235
2018-07-24,0.014961734938032127
2018-07-25,0.017361953284958542
2018-07-26,0.016622651836689047
2018-07-27,0.017596389038269756
2018-07-30,0.019159530256986978
2018-07-31,0.020056925583134183
2018-08-01,0.018717236381290924
2018-08-02,0.019741991111036618
2018-08-03,0.02180403616542824
2018-08-06,0.018359436221471452
2018-08-07,0.015423598066714577
2018-08-08,0.01800771018509737
2018-08-09,0.02187817684431963
2018-08-10,0.02172136893729954
2018-08-13,0.021564561030279452
2018-08-14,0.021407753123259363
2018-08-15,0.021250945216239273
2018-08-16,0.021050972010048824
2018-08-17,0.018450767784545283
2018-08-20,0.01813986549809411
2018-08-21,0.01812539558680766
2018-08-22,0.01811092567552121
2018-08-23,0.018226301285673232
2018-08-24,0.02065610722247958
2018-08-27,0.015234984043985567
2018-08-28,0.014406370272470131
2018-08-29,0.014511777014463064
2018-08-30,0.018312500301717986
2018-08-31,0.015437181858476234
2018-09-03,0.015421777191814152
2018-09-04,0.014429668493148012
2018-09-05,0.012564290944587445
2018-09-06,0.01572041298339351
2018-09-07,0.01671360206012216
2018-09-10,0.014687391231078036
2018-09-11,0.014379004452238773
2018-09-12,0.017179848170149604
2018-09-13,0.016132858815881373
2018-09-14,0.015031116838124255
2018-09-17,0.015514915637381476
2018-09-18,0.016333869164557764
2018-09-19,0.015697981976050435
2018-09-20,0.013414994480390272
2018-09-21,0.018604738084572272
2018-09-25,0.013942248373889639
2018-09-26,0.014419728239825243
2018-09-27,0.017363775902360885
2018-09-28,0.013494740938934442
2018-10-08,0.012296328049941544
2018-10-09,0.013523133216411475
2018-10-10,0.015523295596407301
2018-10-11,0.015519945454468874
2018-10-12,0.01517395045189549
2018-10-15,0.015023075417577003
2018-10-16,0.014947353489304163
2018-10-17,0.014150557332529122
2018-10-18,0.02006515809153535
2018-10-19,0.013879851423320976
2018-10-22,0.01357096743482431
2018-10-23,0.013559203530285563
2018-10-24,0.013096038441809439
2018-10-25,0.011030071566033127
2018-10-26,0.012270384000016211
2018-10-29,0.011081301423684
2018-10-30,0.012006502573721343
2018-10-31,0.01589700180062996
2018-11-01,0.016281547750929836
2018-11-02,0.01658796729509009
2018-11-05,0.016851934103284213
2018-11-06,0.017329450359620028
2018-11-07,0.020605764070260376
2018-11-08,0.02678139127276148
2018-11-09,0.020428026733557973
2018-11-12,0.020428026733557973
2018-11-13,0.020428026733557973
2018-11-14,0.019371427525752966
2018-11-15,0.02748866492509386
2018-11-16,0.02748866492509386
2018-11-19,0.02010553513188537
2018-11-20,0.01891166419208249
2018-11-21,0.027628663021790022
2018-11-22,0.027628663021790022
2018-11-23,0.027414975336917186
2018-11-26,0.02521344384146335
2018-11-27,0.025563698493277907
2018-11-28,0.025563698493277907
2018-11-29,0.027289691786641285
2018-11-30,0.023966071632118027
2018-12-03,0.0255817363253952
2018-12-04,0.025518608635503398
2018-12-05,0.029999999999999995
2018-12-06,0.029758192854742942
2018-12-07,0.02726864054022442
2018-12-10,0.029319781316539742
2018-12-11,0.026086572310413083
2018-12-12,0.028845253011449225
2018-12-13,0.028234799371990648
2018-12-14,0.026806044477827137
2018-12-17,0.02667920106806874
2018-12-18,0.02667920106806874
2018-12-19,0.026890055714053156
2018-12-20,0.02679616378770578
2018-12-21,0.02679616378770578
2018-12-24,0.023100983248710297
2018-12-25,0.01311733911351691
2018-12-26,0.019721598025549646
2018-12-27,0.01701672859293627
2018-12-28,0.01925367582859151
2019-01-02,0.01753989662700795
2019-01-03,0.01753989662700795
2019-01-04,0.017267177217579494
2019-01-07,0.016535344087293864
2019-01-08,0.01556040345806966
2019-01-09,0.01702397233340333
2019-01-10,0.016161790606226963
2019-01-11,0.017933820398853828
2019-01-14,0.01811326734155081
2019-01-15,0.013277092823213503
2019-01-16,0.013277092823213503
2019-01-17,0.014823647570614044
2019-01-18,0.017854976225127214
2019-01-21,0.022585157192433435
2019-01-22,0.023169617198465664
2019-01-23,0.025773951008945858
2019-01-24,0.02646344349515784
2019-01-25,0.026590940500019387
2019-01-28,0.026208923318547853
2019-01-29,0.026208923318547853
2019-01-30,0.02591899719200999
2019-01-31,0.03
2019-02-01,0.029999999999999995
