date,pairs,bollinger,reversal
2018-01-02,1.0,1.0,1.0
2018-01-03,1.0,1.0,1.0
2018-01-04,1.0,1.0,1.0
2018-01-05,1.0,1.0,1.0
2018-01-08,1.0,1.0,1.0
2018-01-09,1.0,1.0,1.0
2018-01-10,1.0,1.0,1.0
2018-01-11,1.0,1.0,1.0
2018-01-12,1.0,1.0,1.0
2018-01-15,1.0,1.0,1.0
2018-01-16,1.0,1.0,1.0
2018-01-17,1.0,1.0,1.0
2018-01-18,1.0,1.0,1.0
2018-01-19,1.0,1.0,1.0
2018-01-22,1.0,1.0,1.0
2018-01-23,1.0,1.0,1.0
2018-01-24,1.0,1.0,1.0
2018-01-25,1.0,1.0,1.0
2018-01-26,1.0,1.0,1.0
2018-01-29,1.0,1.0,1.0
2018-01-30,1.0,1.0,1.0
2018-01-31,1.0,1.0,1.0
2018-02-01,1.0,1.0,1.0
2018-02-02,1.0,1.0,1.0
2018-02-05,1.0,1.0,1.0
2018-02-06,1.0,1.0,1.0
2018-02-07,1.0,1.0,1.0
2018-02-08,1.0,1.0,1.0
2018-02-09,1.0,1.0,1.0
2018-02-12,1.0,1.0,1.0
2018-02-13,1.0,1.0,1.0
2018-02-14,1.0,1.0,1.0
2018-02-22,1.0,1.0,0.9999
2018-02-23,1.0,0.9999,1.0003758564312268
2018-02-26,1.0,0.9936375782881003,0.9882572064733249
2018-02-27,1.0,0.9967298114155528,0.9927078449054547
2018-02-28,1.0,0.9915439122926832,0.9953321602113913
2018-03-01,1.0,0.9912017646348873,0.9958377848800528
2018-03-02,1.0,0.9816282394849125,0.9907125405269898
2018-03-05,0.9997333333333334,0.9816282394849125,0.9853807338860602
2018-03-06,1.0001355920472668,0.9853173104225053,0.9913603350749067
2018-03-07,1.0007615433638335,0.9963694889945983,1.0125658834791385
2018-03-08,0.9922011823938257,0.9963694889945983,0.9841571918712094
2018-03-09,1.0001592177750571,0.9963694889945983,0.941340033470654
2018-03-12,1.0093345715996398,0.9963694889945983,0.928510028834336
2018-03-13,1.0101093946577402,0.9963694889945983,0.9336629544909641
2018-03-14,1.0140489739755412,0.9963694889945983,0.9474052237310816
2018-03-15,1.0189218632496366,0.9963694889945983,0.9229184596943842
2018-03-16,1.0075579577058336,0.9963694889945983,0.9260576381287188
2018-03-19,1.0143433652955742,0.9963694889945983,0.9234416561001065
2018-03-20,1.0123552440321963,0.9963694889945983,0.9207333299058843
2018-03-21,1.0164206148278707,0.9963694889945983,0.9207333299058843
2018-03-22,1.01738794496887,0.9963694889945983,0.9207333299058843
2018-03-23,1.004735554317697,0.9960705781479,0.9204571099069125
2018-03-26,1.0118820658801189,0.9974817591091241,0.9079881303293911
2018-03-27,1.0096826250285034,1.0450182316725392,0.9431401772585857
2018-03-28,1.0090199008950185,0.9755013405917682,0.9060754456144255
2018-03-29,1.0100554705952642,1.0273400858151258,0.9568297325026504
2018-03-30,0.9864110158861973,1.05760791469876,0.9882684247100881
2018-04-02,0.9879248141469188,1.0201152816843073,0.9751998539961522
2018-04-03,0.988734726297976,1.0251182319760666,0.9821099361522796
2018-04-04,1.0033279962061314,1.005426999451,0.9556975186672934
2018-04-09,0.9825331823205193,1.024726857856268,0.949108480526106
2018-04-10,0.9981644249767533,1.0503989812276033,0.9658735646263938
2018-04-11,0.9994974859477556,1.0592258634227933,0.9629014106067935
2018-04-12,1.0117728805109947,1.0716870273516368,0.9629014106067935
2018-04-13,1.0114709971899596,1.0716870273516368,0.9629014106067935
2018-04-16,1.0136823097641745,1.0716870273516368,0.9629014106067935
2018-04-17,1.0008900874570081,1.0716870273516368,0.9629014106067935
2018-04-18,1.0070363586495041,1.0716870273516368,0.9629014106067935
2018-04-19,1.010796332352115,1.0716870273516368,0.9627569753952024
2018-04-20,1.0074133040010198,1.0716870273516368,0.9893977347737598
2018-04-23,1.0136402957292245,1.0716870273516368,0.9640375578063458
2018-04-24,1.01178044234887,1.0716870273516368,0.976469296729609
2018-04-25,1.0101310502820344,1.0716870273516368,0.9792512605379553
2018-04-26,1.01190884189667,1.0716870273516368,0.9833501265284927
2018-04-27,1.014271737929531,1.0716870273516368,0.9833501265284927
2018-05-02,1.0042162147724583,1.0716870273516368,0.9833501265284927
2018-05-03,1.011222406866009,1.0716870273516368,0.9833501265284927
2018-05-04,1.0143034926771741,1.0716870273516368,0.9833501265284927
2018-05-07,1.0261665357818386,1.0716870273516368,0.9832517915158399
2018-05-08,1.0459127999081848,1.0716870273516368,0.983868168711041
2018-05-09,1.0459127999081848,1.0716870273516368,0.990535211527069
2018-05-10,1.0459127999081848,1.0716870273516368,0.9925849115735565
2018-05-11,1.0459127999081848,1.0716870273516368,0.979520391068094
2018-05-14,1.0459127999081848,1.0716870273516368,0.9654999300378415
2018-05-15,1.0459127999081848,1.0716870273516368,0.9648626363546483
2018-05-16,1.045773344868197,1.0715798586489016,0.9466997663836394
2018-05-17,1.0470976248991672,1.0660491238945846,0.9481983306149843
2018-05-18,1.038779013908878,1.0678268600656151,0.9450003141587252
2018-05-21,1.0369999187424628,1.0646664402060053,0.9405131756443139
2018-05-22,1.038460807307206,1.0676293338243894,0.9494353985973916
2018-05-23,1.049870549125679,1.0686169650305173,0.9786264218788949
2018-05-24,1.0563129007449195,1.0754235217769104,0.9789411336135531
2018-05-25,1.0525503738001551,1.0754235217769104,0.9789411336135531
2018-05-28,1.0626681061800436,1.0754235217769104,0.9788432395001917
2018-05-29,1.0714703281761742,1.0754235217769104,0.9809582853936667
2018-05-30,1.0537279516569027,1.0754235217769104,0.9811697899830141
2018-05-31,1.0525027127303683,1.0754235217769104,0.9992610676879001
2018-06-01,1.0513300364897387,1.0754235217769104,0.9992610676879001
2018-06-04,1.0521452049718725,1.0754235217769104,0.9992610676879001
2018-06-05,1.0553579581960113,1.0754235217769104,0.9992610676879001
2018-06-06,1.055581466735609,1.0754235217769104,0.9991611415811313
2018-06-07,1.0436784418708374,1.0754235217769104,0.978923677501409
2018-06-08,1.0282324170191002,1.0754235217769104,0.978923677501409
2018-06-11,1.0317294771721426,1.0754235217769104,0.978923677501409
2018-06-12,1.0313707532638778,1.0754235217769104,0.978923677501409
2018-06-13,1.0408647761210335,1.0753159794247327,0.978923677501409
2018-06-14,1.0417548754090238,1.0728348627209376,0.978923677501409
2018-06-15,1.0355476529606988,1.0708499693579017,0.978923677501409
2018-06-19,1.0664660009673363,1.0110930748305407,0.9786460198386916
2018-06-20,1.060870792180724,1.025591020214167,0.9969342470710216
2018-06-21,1.0687692798083428,1.0190657368382208,0.983849713387496
2018-06-22,1.0718159777077951,1.0354074517510217,0.9938015751428528
2018-06-25,1.0848607034216453,1.034999266029901,0.9938015751428528
