date,NAV,drawdown
2018-01-02,1.0,0.0
2018-01-03,1.0,0.0
2018-01-04,1.0,0.0
2018-01-05,1.0,0.0
2018-01-08,1.0,0.0
2018-01-09,1.0,0.0
2018-01-10,1.0,0.0
2018-01-11,1.0,0.0
2018-01-12,1.0,0.0
2018-01-15,1.0,0.0
2018-01-16,1.0,0.0
2018-01-17,1.0,0.0
2018-01-18,1.0,0.0
2018-01-19,1.0,0.0
2018-01-22,1.0,0.0
2018-01-23,1.0,0.0
2018-01-24,1.0,0.0
2018-01-25,1.0,0.0
2018-01-26,1.0,0.0
2018-01-29,1.0,0.0
2018-01-30,1.0,0.0
2018-01-31,1.0,0.0
2018-02-01,1.0,0.0
2018-02-02,1.0,0.0
2018-02-05,1.0,0.0
2018-02-06,1.0,0.0
2018-02-07,1.0,0.0
2018-02-08,1.0,0.0
2018-02-09,1.0,0.0
2018-02-12,1.0,0.0
2018-02-13,1.0,0.0
2018-02-14,1.0,0.0
2018-02-22,1.0,0.0
2018-02-23,1.0,0.0
2018-02-26,1.0,0.0
2018-02-27,1.0,0.0
2018-02-28,1.0,0.0
2018-03-01,1.0,0.0
2018-03-02,1.0,0.0
2018-03-05,0.9997333333333334,-0.0002666666666666373
2018-03-06,1.0001355920472668,0.0
2018-03-07,1.0007615433638335,0.0
2018-03-08,0.9922011823938257,-0.008553846844707946
2018-03-09,1.0001592177750571,-0.0006018672407732684
2018-03-12,1.0093345715996398,0.0
2018-03-13,1.0101093946577402,0.0
2018-03-14,1.0140489739755412,0.0
2018-03-15,1.0189218632496366,0.0
2018-03-16,1.0075579577058336,-0.01115287241708629
2018-03-19,1.0143433652955742,-0.004493473071095266
2018-03-20,1.0123552440321963,-0.006444673977744952
2018-03-21,1.0164206148278707,-0.0024547990498394734
2018-03-22,1.01738794496887,-0.0015054326892882663
2018-03-23,1.004735554317697,-0.013922862432940053
2018-03-26,1.0118820658801189,-0.006909064986657332
2018-03-27,1.0096826250285034,-0.009067661176360153
2018-03-28,1.0090199008950185,-0.009718078207722414
2018-03-29,1.0100554705952642,-0.008701739528971242
2018-03-30,0.9864110158861973,-0.031907105476913444
2018-04-02,0.9879248141469188,-0.030421419169335828
2018-04-03,0.988734726297976,-0.02962654747183957
2018-04-04,1.0033279962061314,-0.015304281521422824
2018-04-09,0.9825331823205193,-0.035712925830311715
2018-04-10,0.9981644249767533,-0.0203719627790514
2018-04-11,0.9994974859477556,-0.019063657383826427
2018-04-12,1.0117728805109947,-0.007016222731585864
2018-04-13,1.0114709971899596,-0.007312499935877348
2018-04-16,1.0136823097641745,-0.0051422524871059805
2018-04-17,1.0008900874570081,-0.01769691714644339
2018-04-18,1.0070363586495041,-0.011664785131046407
2018-04-19,1.010796332352115,-0.007974635927044504
2018-04-20,1.0074133040010198,-0.011294839833854042
2018-04-23,1.0136402957292245,-0.005183486301459483
2018-04-24,1.01178044234887,-0.00700880132063364
2018-04-25,1.0101310502820344,-0.008627563392904047
2018-04-26,1.01190884189667,-0.006882786213459058
2018-04-27,1.014271737929531,-0.004563770282909663
2018-05-02,1.0042162147724583,-0.014432557596004258
2018-05-03,1.011222406866009,-0.007556473819368081
2018-05-04,1.0143034926771741,-0.004532605236021947
2018-05-07,1.0261665357818386,0.0
2018-05-08,1.0459127999081848,0.0
2018-05-09,1.0459127999081848,0.0
2018-05-10,1.0459127999081848,0.0
2018-05-11,1.0459127999081848,0.0
2018-05-14,1.0459127999081848,0.0
2018-05-15,1.0459127999081848,0.0
2018-05-16,1.045773344868197,-0.00013333333333342967
2018-05-17,1.0470976248991672,0.0
2018-05-18,1.038779013908878,-0.007944446432194274
2018-05-21,1.0369999187424628,-0.009643519301914982
2018-05-22,1.038460807307206,-0.008248340352021155
2018-05-23,1.049870549125679,0.0
2018-05-24,1.0563129007449195,0.0
2018-05-25,1.0525503738001551,-0.003561943570045356
2018-05-28,1.0626681061800436,0.0
2018-05-29,1.0714703281761742,0.0
2018-05-30,1.0537279516569027,-0.01655890606832955
2018-05-31,1.0525027127303683,-0.017702417833718176
2018-06-01,1.0513300364897387,-0.018796873004143455
2018-06-04,1.0521452049718725,-0.018036078737893146
2018-06-05,1.0553579581960113,-0.015037625920625186
2018-06-06,1.055581466735609,-0.014829026080088292
2018-06-07,1.0436784418708374,-0.02593808300099487
2018-06-08,1.0282324170191002,-0.040353811038960186
2018-06-11,1.0317294771721426,-0.03709001542924417
2018-06-12,1.0313707532638778,-0.03742481136230125
2018-06-13,1.0408647761210335,-0.028564068691698252
2018-06-14,1.0417548754090238,-0.02773334173213282
2018-06-15,1.0355476529606988,-0.0335265235730996
2018-06-19,1.0664660009673363,-0.004670523370774116
2018-06-20,1.060870792180724,-0.009892514721795642
