,label,method,p_fast,p_slow,train_sharpe,train_cagr,train_total,train_maxdd,valid_sharpe,valid_cagr,valid_total,pos_asset_frac,local_sharpe_std,local_sharpe_mean,score
1,"dual_ma|fast=5,slow=60",dual_ma,5,60,0.2219068351120595,0.01718565570719699,0.06800454106283094,-0.1620261120687917,0.27887514255035395,0.02800787552263384,0.05448591952539639,0.5384615384615384,0.04595109445581143,0.2124637096118158,0.2667177043453819
11,"dual_ma|fast=15,slow=60",dual_ma,15,60,0.26995641364764517,0.022406400999537057,0.08932540870314032,-0.12718433978734178,0.19909395095246094,0.01844645710348325,0.03572959848137014,0.6923076923076923,0.08995788919747501,0.1606669296686351,0.26222167856703377
6,"dual_ma|fast=10,slow=60",dual_ma,10,60,0.25354747336648387,0.020506297767959536,0.08152946423236274,-0.12395187269507169,0.15213373429937996,0.012125268747158024,0.02341815555746818,0.6923076923076923,0.02988952573032356,0.2652537639802649,0.2577079326836821
5,"dual_ma|fast=10,slow=40",dual_ma,10,40,0.3145249033594158,0.025717167210150604,0.10300855941087028,-0.16013153678876313,0.15492638123496308,0.009570248790196079,0.018461908161040208,0.5384615384615384,0.07349623606027209,0.22990497549539882,0.24539777870690216
7,"dual_ma|fast=10,slow=80",dual_ma,10,80,0.26633319441572034,0.022057923842107474,0.08789253166198074,-0.14315861340826797,0.027252128359881687,0.00017371896756968042,0.0003336773960396222,0.7692307692307693,0.08108862174394867,0.22765087580714977,0.20664351926868493
0,"dual_ma|fast=5,slow=40",dual_ma,5,40,0.23912559981426654,0.018801946921588097,0.07457191646914807,-0.188288141229624,-0.009680457397468796,-0.003129138013697963,-0.006001274336547069,0.46153846153846156,0.04022112131543088,0.25851911276191397,
2,"dual_ma|fast=5,slow=80",dual_ma,5,80,0.1352749301544533,0.008579274577685592,0.03353425413520261,-0.16356877577780427,0.22667931933703173,0.023631967541544174,0.04588181960042981,0.46153846153846156,0.061814320619213096,0.23093056595600214,
3,"dual_ma|fast=5,slow=100",dual_ma,5,100,0.3002073041417754,0.025615065469725806,0.10258468728422399,-0.15670552102680602,-0.18168364584429617,-0.021338544008136284,-0.04058076307993563,0.6923076923076923,0.08153333270455353,0.24744917235689048,
4,"dual_ma|fast=5,slow=120",dual_ma,5,120,0.20838543394376094,0.016151686411558064,0.06381890735829199,-0.16216693290306405,-0.5041827100080424,-0.05719368753175591,-0.10695174737205249,0.6153846153846154,0.042547170202385076,0.24006519930072148,
8,"dual_ma|fast=10,slow=100",dual_ma,10,100,0.3459290211875723,0.030173981917798853,0.12162885350809272,-0.14391191291308636,-0.2676870583936563,-0.03138802440542676,-0.05941318205982804,0.6153846153846154,0.1204752988355774,0.22491296460768603,
9,"dual_ma|fast=10,slow=120",dual_ma,10,120,0.21160285981662816,0.01636557018765905,0.06468373601617472,-0.1620282215708303,-0.40814496251384363,-0.045510809317796164,-0.08557623584168073,0.6153846153846154,0.1161572775248186,0.1963948102060975,
10,"dual_ma|fast=15,slow=40",dual_ma,15,40,0.11242192544142905,0.006233255842111651,0.02428273288626248,-0.13392496329271508,0.5111153818944226,0.04775256067259126,0.09372874446861967,0.5384615384615384,0.10014870553730183,0.19403734700119268,
12,"dual_ma|fast=15,slow=80",dual_ma,15,80,0.1371697599115191,0.008791959460850762,0.034376026703006435,-0.1675408391770964,0.1413202734626445,0.012725184621547925,0.024583548814020695,0.6923076923076923,0.10082875878517834,0.15910889966285843,
13,"dual_ma|fast=15,slow=100",dual_ma,15,100,0.0004924434767339484,-0.005175464141076613,-0.019835566368531454,-0.1768883258133952,-0.22434736259196975,-0.026620634857028036,-0.050501550497636605,0.46153846153846156,0.12421298353584259,0.11689422042337463,
14,"dual_ma|fast=15,slow=120",dual_ma,15,120,0.019661925876428617,-0.003159307395798616,-0.012143413245221502,-0.1804959980755606,-0.6791209299470584,-0.07221411929028831,-0.13407749041736083,0.38461538461538464,0.0888683801986058,0.09625143669028927,
15,"dual_ma|fast=20,slow=40",dual_ma,20,40,0.07924614555628078,0.002947176065863699,0.011427438596957273,-0.15524203885311705,0.21227765988826447,0.01665835362787793,0.03223984696608451,0.6153846153846154,0.03375787313282289,0.07396904899126935,
16,"dual_ma|fast=20,slow=60",dual_ma,20,60,0.030239075976098224,-0.002020611353838464,-0.007779281334230781,-0.1452928519542086,0.0323356733121753,-0.0004971479635461629,-0.0009546212254870623,0.5384615384615384,0.08957783222315907,0.12525858051067446,
17,"dual_ma|fast=20,slow=80",dual_ma,20,80,0.12159268686267363,0.007204294460406269,0.028104546329293267,-0.15554176454400848,-0.06248697474321923,-0.010259484404960939,-0.019611640768446792,0.6153846153846154,0.04136866903871691,0.09255486860372755,
18,"dual_ma|fast=20,slow=100",dual_ma,20,100,0.08121795166461923,0.003071758702940741,0.01191261946031319,-0.16600354118596528,-0.40485745348941443,-0.04502840484984183,-0.08468839799083161,0.6153846153846154,0.057193153047592454,0.0891378998988483,
19,"dual_ma|fast=20,slow=120",dual_ma,20,120,0.15324851759136635,0.010487877952496172,0.0411063883969458,-0.16531941204016132,-0.8081571154054077,-0.08344074389061418,-0.15408986888627074,0.6153846153846154,0.05459235215524171,0.08470946504413807,
