factor,ic_mean,ic_std,icir,ic_pos_ratio,ic_tstat,n,avg_turnover,ic_decay_1,ic_decay_3,autocorr_1,q_spread,q_monotonicity,family,desc,direction,quality,pass_ic,pass_icir,pass_hit,pass_mono,pass_turnover,redundant,pass_all
rev_1,0.06635900696213733,0.11280012596754384,0.5882884118518708,0.7142857142857143,6.417468925268306,119.0,1.597190242172359,0.023494765705799444,-0.0060285378179305285,-0.06673721883385594,0.013165551011111895,1.0,reversal,1月反转,1.0,0.8149793239930805,True,True,True,True,True,False,True
max_ret,0.0447452609518543,0.08898777294493834,0.5028248204339338,0.6759259259259259,5.225508817789625,108.0,0.28477301856024884,0.03173730318201259,0.026790081115170332,0.8967377870000004,0.007546169353719185,1.0,lottery,MAX因子(取负),1.0,0.7368652298720249,True,True,True,True,True,False,True
mom_6,-0.052533671619142575,0.12162780761346682,-0.43192155354879525,0.32456140350877194,-4.611660225979419,114.0,0.6811612581149702,-0.014655828838127119,0.0008238682244053863,0.7580229181293,-0.015018253171425959,1.0,momentum,6月动量,-1.0,0.6784670494583585,True,True,True,True,True,False,True
vol_12,0.04175239876867272,0.1183308459582139,0.35284458951148473,0.6851851851851852,3.666868537258057,108.0,0.2940311959971438,0.03229078977612155,0.03064918628601306,0.9297003287585812,0.006711062446781572,0.75,volatility,低波动(12月),1.0,0.6328338181503039,True,True,True,True,True,False,True
skew_12,0.02676895437809868,0.04699061317529241,0.5696659943176428,0.7222222222222222,5.9201426730144044,108.0,0.42702052089350595,0.021448069376130502,0.017844358908860606,0.858069968410405,0.003994670896642916,0.75,lottery,负偏度偏好,1.0,0.6327101771903263,True,True,True,True,True,False,True
liquidity_proxy,0.03533278028812006,0.13676578958833963,0.2583451636148961,0.6228070175438597,2.7583715279500782,114.0,0.49683063966868946,0.029755563903666928,0.025705269329936595,0.8716438421475493,0.005633846134396539,1.0,liquidity,流动性代理(低跳跃),1.0,0.5856642293539585,True,True,True,True,True,False,True
mom_12_1,-0.016942024096208118,0.1125041911014309,-0.15059015962288572,0.4485981308411215,-1.5577167235256042,107.0,0.4736189846410066,-0.012309562672124968,-0.007403897381037212,0.8618550165758875,-0.007064764204288903,1.0,momentum,12-1月动量,-1.0,0.43102544674316845,True,False,True,True,True,False,False
downside_vol,0.005184299732953857,0.12154393391485599,0.04265371019326695,0.5555555555555556,0.4432703591163412,108.0,0.29530470157009747,0.0094787530719461,0.017067262824423175,0.9083741972873443,0.006105579533822297,0.25,volatility,低下行波动,1.0,0.2469183954872412,False,False,True,False,True,False,False
