factor,total_return,cagr,ann_vol,sharpe,max_drawdown,calmar,win_rate,n_obs,avg_turnover,avg_cost
rev_1,2.004804497870989,0.1173343445942232,0.12973085983403,0.922325239147297,-0.2251430551886997,0.5211546254264049,0.6218487394957983,119.0,1.5971902421723554,0.0031943804843447103
vol_12,0.7967756029701196,0.06087262903412971,0.11714283614647797,0.5636861724296947,-0.1796658114373949,0.33881030868992545,0.5378151260504201,119.0,0.294031195997144,0.000588062391994288
max_ret,1.0237490496735444,0.07367524572201578,0.09124266267309693,0.8258081997609092,-0.1473931677690281,0.4998552296363444,0.5798319327731093,119.0,0.28477301856024884,0.0005695460371204975
skew_12,0.3739551077632286,0.03255500847324089,0.048811908382592695,0.6813192895880885,-0.07044733316305496,0.46211839414687556,0.5042016806722689,119.0,0.42702052089350623,0.0008540410417870124
downside_vol,0.6257615873404239,0.050226674157668905,0.1418034884790236,0.41784206775712435,-0.3329942919785568,0.150833438793309,0.5378151260504201,119.0,0.29530470157009736,0.0005906094031401946
mom_12_1,0.8034796284293262,0.06127111400260188,0.10382856523298234,0.6248964586960982,-0.16936239342363035,0.36177520147192843,0.5126050420168067,119.0,0.4736449830330195,0.0009472899660660386
mom_6,3.302991610388598,0.1585362579935501,0.13042417566658013,1.1972669875940107,-0.15401843576955498,1.0293329964132005,0.5630252100840336,119.0,0.6812246881630737,0.0013624493763261477
liquidity_proxy,0.5288735932661257,0.04373943400387703,0.14156515536631142,0.3732671605125302,-0.24719402683659097,0.17694373348588732,0.5462184873949579,119.0,0.4968306396686899,0.00099366127933738
