,rev_1,vol_12,max_ret,skew_12,downside_vol,mom_12_1,mom_6,liquidity_proxy,composite
2010-01-31,,,,,,,,,
2010-02-28,0.028917950004923785,,,,,,,,0.028917950004923785
2010-03-31,0.0191862811940332,,,,,,,,0.0191862811940332
2010-04-30,0.0959016032283334,,,,,,,,0.0959016032283334
2010-05-31,-0.12331347939102093,,,,,,,,-0.12331347939102093
2010-06-30,0.020399842852843415,,,,,,,,0.020399842852843415
2010-07-31,0.23524881828391978,,,,,,-0.2950493563803779,-0.25064654703311595,0.23524881828391978
2010-08-31,-0.07293626813272638,,,,,,0.05420700128636989,-0.05756029080938659,-0.07293626813272638
2010-09-30,-0.04059169183095181,,,,,,0.0001372752042145261,0.1056510939587345,-0.04059169183095181
2010-10-31,0.12581351885400233,,,,,,-0.0926859127819607,-0.09364355136624988,0.12581351885400233
2010-11-30,0.13681464896955017,,,,,,-0.06694471427320148,0.15204412820006238,0.13681464896955017
2010-12-31,0.0460713068803878,,,,,,0.03512041048003537,-0.00042966993344915465,0.0460713068803878
2011-01-31,0.08356248337126546,0.13837197372788945,0.17540321066706915,-0.011892771440573505,-0.02434173786394142,,-0.22796833164555483,0.14018658498101902,0.08662747002509529
2011-02-28,0.16498877910668677,-0.20464529442021936,-0.15558265445137712,-0.03500377311237198,-0.18636785689923502,0.1002613098713472,0.10320301092828672,-0.1882873838813094,0.16498877910668677
2011-03-31,0.03132883921966998,0.09318140736659382,0.13535936299568258,0.06001853399066855,-0.07455725156206333,-0.1986239983779357,-0.13180661873337296,0.22402947368737838,0.03132883921966998
2011-04-30,-0.08573058798224983,0.14788511072531624,0.1402360764196521,0.05082096854469042,0.02369836916496051,-0.0894791546083948,-0.06262654566231134,0.16191218831382534,-0.08573058798224983
2011-05-31,-0.01665612518365736,0.10061630408844492,0.0846042281424285,0.0035090392382013023,0.06113934041522672,-0.05085846352494624,-0.03917167104307138,0.10340918717347829,-0.01665612518365736
2011-06-30,0.16384509253478682,-0.1823189035985027,-0.16883970242951177,0.00430976118456507,-0.13191810471801785,0.1631080158478269,-0.014064515566534328,-0.18075794745915658,0.16384509253478682
2011-07-31,0.11759443267142664,-0.003790857468925171,0.002613512065043762,0.019778242591748894,-0.0012059284125546144,0.0031911565903460053,-0.1364347073470859,0.05896679185048178,0.11759443267142664
2011-08-31,-0.07449898804235779,0.055110546623945385,0.046132478418580855,0.018794820001458837,0.021182146941225836,-0.08807825194588903,-0.06852188209895958,0.07758535370101576,-0.07449898804235779
2011-09-30,0.08336104259556563,0.23594723466284487,0.21415762037770406,0.02028123277109519,0.07173524317513431,-0.16727881306300474,-0.10785124742267228,0.21841043667508803,0.08336104259556563
2011-10-31,0.12698151560920987,-0.05659102721916663,-0.03383752090449226,-0.0113721846765812,-0.10508274257787803,-0.03583296269240777,-0.06101873849052001,-0.11229423183784215,0.12698151560920987
