tv,cagr,sharpe,max_drawdown,ann_vol
0.04,0.07211093680394254,1.6421317014578747,-0.04240553041904327,0.044666699645433655
0.05,0.0906014725066675,1.6421317014578751,-0.052782271259841584,0.05583337455679207
0.06,0.10927501238968595,1.642131701457875,-0.06307030237957212,0.06700004946815048
0.07,0.1281303602023509,1.6421317014578751,-0.07327019289627434,0.0781667243795089
0.08,0.14716623943048135,1.6421317014578747,-0.08338250943713066,0.08933339929086731
0.09,0.16638129246908928,1.642131701457875,-0.09340781614391414,0.10050007420222573
0.1,0.18577407982120797,1.6421317014578751,-0.10334667467844993,0.11166674911358414
0.11000000000000001,0.20534307932367013,1.642131701457875,-0.11319964422807838,0.12283342402494257
0.12,0.2250866854006801,1.642131701457875,-0.12296728151113323,0.13400009893630097
0.13,0.24500320834609512,1.642131701457875,-0.132650140782424,0.14516677384765939
0.14,0.26505761056540655,1.642218505165996,-0.14224877383872736,0.15630663625776972
0.15,0.28378822418438987,1.6390041827888124,-0.151763730024288,0.1670330240477095
0.16,0.3014462536488902,1.637114774147971,-0.16119555623632897,0.17701720900348134
0.17,0.31842630541973604,1.6340513238799035,-0.1705447969305649,0.18676344583862256
0.18000000000000002,0.3344489596100495,1.6305354597640311,-0.17816236873354807,0.1960617392637253
0.19,0.3497148462324877,1.6298869649333898,-0.18221596835229814,0.20455723391830766
0.2,0.36493029848036684,1.6316837440119298,-0.1856635991826241,0.21262537843726573
0.21000000000000002,0.3789346289876736,1.6313903000820122,-0.1891079909863722,0.2203328872933122
0.22,0.39277221049389177,1.6346757965628722,-0.19011262716951638,0.22734281963108732
0.23,0.40635988728013794,1.6402285540065376,-0.19069141135102352,0.23377829557825525
0.24000000000000002,0.4170770644329804,1.6440677987071397,-0.19127103027796444,0.23899216342771265
0.25,0.42744025904200833,1.6486560509965547,-0.19185148395033846,0.2438480872727862
0.26,0.43760800602472605,1.6526485714542096,-0.19231769436114587,0.24865907800977885
0.27,0.4465458333815415,1.65481270227519,-0.1923176943611461,0.2531468448986355
0.27999999999999997,0.4551417683309502,1.65753692991061,-0.19231769436114599,0.257336115006852
0.29,0.4623117695020784,1.6587405934138009,-0.19231769436114576,0.2610803946973311
0.3,0.46989425199813417,1.6632790243545754,-0.19231769436114587,0.26436972728148167
