book,n,tv,soft,hard,is_sharpe,is_cagr,is_dd,oos_sharpe,oos_cagr,oos_dd,oos_vol,full_sharpe,full_cagr,full_dd,oos_hit,full_hit,score
legacy5,5,0.28,0.08,0.095,0.06203069939743879,0.0016674003804970638,-0.09500000000400022,0.0,0.0,0.0,0.0,0.04237632984346574,0.0007774014892838466,-0.09500000000400022,0,0,-148.7593860120512
legacy5,5,0.32,0.08,0.095,0.06162190043624942,0.0016209405764162632,-0.09500000000400022,0.0,0.0,0.0,0.0,0.04209706070891907,0.0007557496280770071,-0.09500000000400022,0,0,-148.76756199127502
legacy5,5,0.36,0.08,0.095,0.06162190043624942,0.0016209405764162632,-0.09500000000400022,0.0,0.0,0.0,0.0,0.04209706070891907,0.0007557496280770071,-0.09500000000400022,0,0,-148.76756199127502
legacy5,5,0.24,0.08,0.095,0.05031330239301746,0.0007226540671803061,-0.09500000000400022,0.0,0.0,0.0,0.0,0.03437162715734158,0.0003370119365246893,-0.09500000000400022,0,0,-148.99373395213965
legacy5,5,0.2,0.08,0.095,-0.021198424385466152,-0.004833831349757123,-0.09500000000400022,0.0,0.0,0.0,0.0,-0.014481775441021343,-0.0022576213606467777,-0.09500000000400022,0,0,-150.42396848770932
is025,13,0.16,0.08,0.095,-0.10236854387356359,-0.004343846098945892,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.069932674265692,-0.002028509630919051,-0.09499999999999997,0,0,-152.04737087747128
is025,13,0.28,0.08,0.095,-0.10236854387356359,-0.004343846098945892,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.069932674265692,-0.002028509630919051,-0.09499999999999997,0,0,-152.04737087747128
is025,13,0.24,0.08,0.095,-0.10236854387356359,-0.004343846098945892,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.069932674265692,-0.002028509630919051,-0.09499999999999997,0,0,-152.04737087747128
is025,13,0.32,0.08,0.095,-0.10236854387356359,-0.004343846098945892,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.069932674265692,-0.002028509630919051,-0.09499999999999997,0,0,-152.04737087747128
is025,13,0.36,0.08,0.095,-0.10236854387356359,-0.004343846098945892,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.069932674265692,-0.002028509630919051,-0.09499999999999997,0,0,-152.04737087747128
is025,13,0.2,0.08,0.095,-0.10236854387356359,-0.004343846098945892,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.069932674265692,-0.002028509630919051,-0.09499999999999997,0,0,-152.04737087747128
is025,13,0.12,0.08,0.095,-0.10237564889590399,-0.004343846098945892,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.06993752792637169,-0.002028509630919051,-0.09499999999999997,0,0,-152.04751297791807
legacy5,5,0.16,0.08,0.095,-0.11531155509749129,-0.011300641155096769,-0.09500000001000064,0.0,0.0,0.0,0.0,-0.07877440706024,-0.005287088051507904,-0.09500000001000064,0,0,-152.30623110194983
is025,13,0.24,0.07,0.099,-0.13366249087349547,-0.005485464431388198,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.09131029823666433,-0.002562411112196461,-0.09899999999999998,0,0,-152.67324981746992
is025,13,0.2,0.08,0.099,-0.13366249087349547,-0.005485464431388198,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.09131029823666433,-0.002562411112196461,-0.09899999999999998,0,0,-152.67324981746992
is025,13,0.24,0.08,0.099,-0.13366249087349547,-0.005485464431388198,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.09131029823666433,-0.002562411112196461,-0.09899999999999998,0,0,-152.67324981746992
is025,13,0.32,0.07,0.099,-0.13366249087349547,-0.005485464431388198,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.09131029823666433,-0.002562411112196461,-0.09899999999999998,0,0,-152.67324981746992
is025,13,0.28,0.07,0.099,-0.13366249087349547,-0.005485464431388198,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.09131029823666433,-0.002562411112196461,-0.09899999999999998,0,0,-152.67324981746992
is025,13,0.2,0.07,0.099,-0.13366249087349547,-0.005485464431388198,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.09131029823666433,-0.002562411112196461,-0.09899999999999998,0,0,-152.67324981746992
is025,13,0.32,0.08,0.099,-0.13366249087349547,-0.005485464431388198,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.09131029823666433,-0.002562411112196461,-0.09899999999999998,0,0,-152.67324981746992
is025,13,0.36,0.07,0.099,-0.13366249087349547,-0.005485464431388198,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.09131029823666433,-0.002562411112196461,-0.09899999999999998,0,0,-152.67324981746992
is025,13,0.28,0.08,0.099,-0.13366249087349547,-0.005485464431388198,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.09131029823666433,-0.002562411112196461,-0.09899999999999998,0,0,-152.67324981746992
