sleeve,is_sharpe,is_cagr,oos_sharpe,oos_cagr,active_frac
edge_ols_RB_HC,0.8563424990664001,0.025345842774114224,-0.06667390903988038,-0.0009487512442742929,0.1890595009596929
edge_ols_RU_TA,0.7123495480608504,0.03391843154895824,-0.5937161709055184,-0.0002926082104804939,0.01872299567930869
edge_olsx_RB_HC,0.6801141562961107,0.01438565106244738,0.40337564881636384,0.0035445236555833315,0.12284069097888675
edge_on_mom20,0.5688292242462863,0.04784703083145403,-0.3402322136804616,-0.02580063493147111,0.9904076738609112
pair_SC_TA,0.5082173411013037,0.03005324430268108,-0.19638772859636627,-0.018763258619539536,0.19001919385796545
edge_olsx_RU_TA,0.488839381022663,0.021182987948801246,-0.5281810559960569,-0.0006497658316431121,0.0043206913106096975
cal_HC,0.4734415708043796,0.010441110581461466,0.40820770571962983,0.0035125360324805843,0.21065259117082533
trend_tsmom120,0.44961228322366814,0.03396689723037749,-0.34730906485958857,-0.026248733331006524,0.9419664268585132
pair_I_HC,0.44062964040939223,0.027024330796400653,1.0643540878764701,0.0495984229601083,0.15690978886756238
pair_RB_HC,0.3779133149760118,0.015618790531534366,0.5782198992403363,0.012852330655635402,0.30326295585412666
cal_I,0.36669062901124966,0.01276608439890059,0.38294640109867545,0.0028105004702132508,0.20681381957773512
edge_on_mom5,0.35751765976430067,0.02409826999724185,0.3615614418621009,0.023169427302664358,0.9976019184652278
cal_AU,0.34829113860056615,0.0012563687908180299,0.2597146638212983,0.0005108564798612658,0.08109404990403071
pair_MA_TA,0.34521189013139164,0.014331065265641652,-0.09315203218993,-0.006790811010440878,0.12962073931829093
edge_ols_MA_TA,0.33937766058820246,0.006598384443172289,-0.7031326996655141,-0.02803551456246689,0.05715658021133525
edge_basis_mom60,0.33661576902971235,0.017821210941921795,-0.9667428026480779,-0.05435841042807665,0.8450095969289827
cal_C,0.3073255775085794,0.005349552366224808,0.022125781860233885,0.0007217327988673361,0.20825335892514396
cal_CU,0.3040869240737402,0.00043966524585470346,-0.17024529936730062,-0.00028831832137710123,0.028790786948176585
cal_RB,0.24273037603277792,0.005261331588005014,0.37618914280131016,0.011428273733842476,0.15355086372360843
trend_tsmom60,0.2423556659764052,0.016819650800100172,0.3197561110864905,0.024259826336370693,0.9707434052757794
edge_carry_xs,0.2416370446320369,0.015283798606579913,0.9054480362927677,0.052682437259723436,0.8771593090211133
edge_ols_SC_TA,0.22766809406778324,0.005748477581481781,-0.30758343146138606,-0.011370147915917506,0.050763923114834894
