date,live_v3_unlevered,fixed_IS_vol10,target_vol10,fixed_IS_vol12,target_vol12,fixed_IS_vol14,target_vol14
2018-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-04-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-04-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-04-04,0.9999571428571429,0.999754168195452,1.0,0.9997050018345425,1.0,0.9996558354736329,1.0
2018-04-09,0.9999325337526392,0.9996130371685883,0.9993847460193823,0.9995356529310322,0.9993847460193823,0.9994582714697183,0.9993847460193823
2018-04-10,0.9998583593234203,0.9991877029923318,0.9975314011535041,0.9990252914318074,0.9975314011535041,0.9988628958166322,0.9975314011535041
2018-04-11,1.0003659381295933,1.0020972604165652,1.0101913392586421,1.0025161928249822,1.0101913392586421,1.0029349520717838,1.0101913392586421
2018-04-12,1.0002342815656,1.0013407614309704,1.0068675975249075,1.0016080145318702,1.0068675975249075,1.0018749681507,1.0068675975249075
2018-04-13,0.9999217944288672,0.9995463287957544,0.9990036105965876,0.9994541206589377,0.9990036105965876,0.9993614222211795,0.9990036105965876
2018-04-16,1.0005518125810513,1.0031588034691943,1.014739601458069,1.0037886903661712,1.014739601458069,1.0044179511811038,1.014739601458069
2018-04-17,1.000322759970884,1.001841517077709,1.0089320872586136,1.0022069541419485,1.0089320872586136,1.0025714354236486,1.0089320872586136
2018-04-18,0.9998649426325025,0.9992114552043838,0.9973881481101678,0.9990497286674538,0.9973881481101678,0.9988866661186215,0.9973881481101678
2018-04-19,0.9995011165055941,0.9971258850630135,0.9883150260444086,0.9965474495676687,0.9883150260444086,0.9959678169876721,0.9883150260444086
2018-04-20,0.999790635690418,0.9987826424233905,0.9954720005581029,0.9985344050926658,0.9954720005581029,0.9982845834568769,0.9954720005581029
2018-04-23,0.9992331667504308,0.9955881824472823,0.9815954772859361,0.9947020058622233,0.9815954772859361,0.9938145696464308,0.9815954772859361
2018-04-24,0.9991947340910765,0.9953685339769343,0.9806516203900277,0.994438662309668,0.9806516203900277,0.9935076096046852,0.9806516203900277
2018-04-25,0.9991563412248082,0.995149152901302,0.9797096111591732,0.9941756509534427,0.9797096111591732,0.9932010503104686,0.9797096111591732
2018-04-26,0.9992173104319859,0.9954974742800299,0.9812041750175037,0.9945932277145882,0.9812041750175037,0.9936877456178657,0.9812041750175037
2018-04-27,0.9990378504525231,0.9944719104832623,0.9767985547570492,0.993363669026747,0.9767985547570492,0.9922545664436966,0.9767985547570492
2018-05-02,0.9983640049418642,0.9906243471984798,0.9603274240425572,0.9887517383635347,0.9603274240425572,0.986879988159216,0.9603274240425572
2018-05-03,0.9986101954004382,0.9920255666415267,0.9662476958005541,0.9904300231713646,0.9662476958005541,0.9888342805242104,0.9662476958005541
2018-05-04,0.9988075147938579,0.993149942456438,0.9710208147339167,0.9917771040554018,0.9710208147339167,0.9904033427967049,0.9710208147339167
2018-05-07,0.9990944049156715,0.9947862444891031,0.9779935365971525,0.9937379522479346,0.9779935365971525,0.9926878302715323,0.9779935365971525
2018-05-08,0.9993527474082198,0.9962617265864664,0.9843156941104364,0.9955066649531635,0.9843156941104364,0.9947491478479765,0.9843156941104364
2018-05-09,0.9998500343345047,0.9991053791395076,0.996560802939318,0.9989164617892577,0.996560802939318,0.998724217079079,0.996560802939318
2018-05-10,0.9995387877901877,0.997321375138423,0.9888052372178268,0.9967760617852669,0.9888052372178268,0.9962275643224928,0.9888052372178268
2018-05-11,0.9990695388669165,0.9946356991612775,0.9771999899138362,0.9935550127748307,0.9771999899138362,0.9924717416703818,0.9771999899138362
2018-05-14,0.9992767349427352,0.9958189169907763,0.9822665041884544,0.9949733314698397,0.9822665041884544,0.9941246426927479,0.9822665041884544
2018-05-15,0.9994219990266049,0.9966492794370164,0.9858362871839277,0.9959689202967233,0.9858362871839277,0.9952851722413688,0.9858362871839277
2018-05-16,0.9997406342632291,0.9984719245178278,0.9936938833481488,0.9981546013269594,0.9936938833481488,0.997833382855539,0.9936938833481488
2018-05-17,1.000307727647192,1.0017206869049884,1.007785468895895,1.0020518772091167,1.007785468895895,1.002378741494657,1.007785468895895
2018-05-18,1.0005389109077962,1.0030486446552853,1.013608255330751,1.0036459533709867,1.013608255330751,1.004239103659742,1.013608255330751
2018-05-21,1.0005389109077962,1.0030486446552853,1.013608255330751,1.0036459533709867,1.013608255330751,1.004239103659742,1.013608255330751
2018-05-22,1.0005389109077962,1.0030486446552853,1.013608255330751,1.0036459533709867,1.013608255330751,1.004239103659742,1.013608255330751
2018-05-23,1.0005389109077962,1.0030486446552853,1.013608255330751,1.0036459533709867,1.013608255330751,1.004239103659742,1.013608255330751
2018-05-24,1.0005389109077962,1.0030486446552853,1.013608255330751,1.0036459533709867,1.013608255330751,1.004239103659742,1.013608255330751
2018-05-25,1.0005389109077962,1.0030486446552853,1.013608255330751,1.0036459533709867,1.013608255330751,1.004239103659742,1.013608255330751
2018-05-28,1.0005389109077962,1.0030486446552853,1.013608255330751,1.0036459533709867,1.013608255330751,1.004239103659742,1.013608255330751
2018-05-29,1.0005389109077962,1.0030486446552853,1.013608255330751,1.0036459533709867,1.013608255330751,1.004239103659742,1.013608255330751
2018-05-30,1.0005389109077962,1.0030486446552853,1.013608255330751,1.0036459533709867,1.013608255330751,1.004239103659742,1.013608255330751
2018-05-31,1.0005389109077962,1.0030486446552853,1.013608255330751,1.0036459533709867,1.013608255330751,1.004239103659742,1.013608255330751
2018-06-01,1.0005389109077962,1.0030486446552853,1.013608255330751,1.0036459533709867,1.013608255330751,1.004239103659742,1.013608255330751
2018-06-04,1.0004960306687574,1.0028020633969204,1.0125222464857537,1.0033498796559734,1.0125222464857537,1.0038934801842716,1.0125222464857537
2018-06-05,1.001690245371134,1.0096679577567171,1.042736483128662,1.011593453774236,1.042736483128662,1.0135161939470652,1.042736483128662
2018-06-06,1.0016473157891896,1.0094197492606676,1.0417489513522,1.0112950355611836,1.041619265468167,1.01316737762621,1.041619265468167
2018-06-07,1.0008318429764287,1.00470583903959,1.023015410095431,1.0056278343698277,1.0204188843847268,1.0065434017383064,1.0204188843847268
2018-06-08,1.0005457681832988,1.0030585407078716,1.0169796328290457,1.0036492623466327,1.0131943350255121,1.0042329661034355,1.013127047017022
2018-06-11,1.0010612073388088,1.0060225637938027,1.0277077662753662,1.00720818473815,1.0260201777649254,1.0083874569971738,1.0261750595653842
2018-06-12,1.0005971756043628,1.0033476510110613,1.0181653300601696,1.0039945064626912,1.0145880577520814,1.0046337758829966,1.0142832344390953
2018-06-13,1.0002396855949562,1.0012914246179356,1.0110168742317651,1.0015254440187877,1.0060400496429005,1.0017513688961062,1.005223741471768
2018-06-14,0.9998392089793263,0.9989918451007882,1.0031478579842859,0.9987653036556404,0.9966437133030899,0.9985304787320924,0.995161938092712
2018-06-15,0.9998229921568752,0.9988989030190614,1.0028355932261914,0.9986537984493465,0.996271425163633,0.9984004199107491,0.9947584140981733
2018-06-19,0.998716547005324,0.9925581160714293,0.9815368975167948,0.991046721155011,0.9708802857922073,0.9895277481471447,0.967237402057101
2018-06-20,0.9982039140744523,0.9896357470522886,0.9726674115996266,0.9875452182958484,0.9603524586135744,0.9854489226727279,0.9550010226067401
2018-06-21,0.99902581931453,0.994309790117476,0.9865503659636449,0.9931422217099427,0.9768010771616703,0.9919648988827303,0.9740841435572924
2018-06-22,0.9999805532450949,0.999760363798911,1.0021909233221773,0.9996752297233923,0.9953842702380427,0.9995777062334116,0.9957042323261499
2018-06-25,1.001698239541388,1.0096109724558,1.0293069249548372,1.0114949535234905,1.0277024733294375,1.0133660387457926,1.0334209225750115
2018-06-26,1.0023894163168126,1.0136069325504622,1.0390903216683054,1.0162990536141228,1.0394242493201338,1.0189811900343824,1.0471724220135201
2018-06-27,1.0022156509148823,1.0125990468969808,1.0366511017874844,1.0150863785194009,1.0364962448061719,1.0175626686278383,1.0437309528437848
2018-06-28,1.0018213463437895,1.0103138532924132,1.0311374725116247,1.0123374102195968,1.029880878039288,1.0143477151932985,1.035959154078591
2018-06-29,1.001612167494919,1.009103816293058,1.0282472814638295,1.0108824575216342,1.0264168753354532,1.0126468995841351,1.0318939659403024
2018-07-02,1.0010042600345412,1.005590731885408,1.0198875759229362,1.0066593256589107,1.0164030862463624,1.007711312614468,1.0201488713465519
2018-07-03,1.0009661367051421,1.0053710516363579,1.019374965499142,1.0063954292274613,1.0157900553644263,1.0074031117021593,1.0194310328899736
2018-07-04,1.0001972923040414,1.000941494567503,1.0090428437838213,1.0010745447874225,1.003435112175373,1.0011891975514493,1.0049652668900684
2018-07-05,1.0000521823914927,1.000108513839058,1.007152970033084,1.0000748350444606,1.0011798671886007,1.0000227359387979,1.0023301355019434
2018-07-06,1.0004630282888853,1.0024652896466786,1.0124904488986182,1.002902870775898,1.0075468559667309,1.0033219390771833,1.0097668233767707
2018-07-09,0.9999668572594539,0.9996135192434704,1.0060488839989792,0.999479252517539,0.999854720042845,0.9993260487691392,1.0007728916841774
2018-07-10,0.9988262461171765,0.9930731995213634,0.9913235732731239,0.9916319230352112,0.9822931422696216,0.9901722343842184,0.9802655695822149
2018-07-11,0.9992621089887475,0.9955589414962772,0.9966449172173821,0.9946104842481506,0.9886205854637875,0.9936421072608856,0.9876323492597456
2018-07-12,0.9983163003008992,0.9901538168823824,0.9850850099217894,0.9881305139895527,0.974860384066824,0.9860895025254988,0.9715948282898641
2018-07-13,0.9978268166975085,0.9873690585850566,0.9792449385884938,0.9847956325591052,0.9679250384360065,0.9822068438636418,0.9635306954830782
2018-07-16,0.997727404689883,0.9868048001748139,0.9780714177023784,0.9841202872504262,0.9665330922080043,0.9814210122089013,0.9619141308306536
2018-07-17,0.997762357645793,0.9870030980751707,0.9784857781157452,0.9843575973891192,0.9670244588436566,0.9816971146523366,0.9624846523503756
2018-07-18,0.998113514322857,0.988995638704034,0.9826640763504049,0.9867422373278829,0.9719796866206487,0.9844716752854248,0.9682386113953045
2018-07-19,0.9986237763072947,0.9918958023792016,0.9887509801192437,0.9902145041991931,0.9792045525256272,0.988513331721736,0.9766351790042644
2018-07-20,0.9987050886966458,0.9923590740328825,0.9897267405984609,0.9907694878695651,0.9803641598961006,0.9891597003087221,0.9779845044069447
2018-07-23,0.9986661265278315,0.9921370042026282,0.9892588729930495,0.9905034309338252,0.9798080298697729,0.98884980488328,0.9773372609313349
2018-07-24,0.9991822740597459,0.9950783090456563,0.9954542081913176,0.9940271852452971,0.9871714078579413,0.9929539882681698,0.9859062057626006
2018-07-25,0.9985892512846318,0.9916906572385265,0.9883545111751849,0.989966297220922,0.9787226601311948,0.9882214006124592,0.9760619664138711
2018-07-26,0.9985610672950347,0.9915301085881832,0.9880225261007216,0.989773973836515,0.9783281604108672,0.9879974188139713,0.9756029679459007
2018-07-27,0.999117140051318,0.9946973250761774,0.9946619322372277,0.9935679021364267,0.9862172736488621,0.9924157237781912,0.9847812951858997
2018-07-30,0.99913654007202,0.994808112786912,0.9948932319906627,0.9937006964374411,0.9864924768770164,0.9925704708039524,0.9851018981251839
2018-07-31,0.998416811373742,0.9906975796782211,0.9863008113720488,0.9887735477015199,0.9762686361360774,0.9868286687189997,0.9731908976035195
2018-08-01,0.9970004185206688,0.9826358580462804,0.9697428325549522,0.9791182697291821,0.9566011652664755,0.9755863345654212,0.950317851455325
