sleeve,full_sharpe,is_sharpe,oos_sharpe,oos_cagr,oos_maxdd,wf_mean_sharpe,wf_pos_frac,active_frac
edge_carry_xs,0.6376381534608719,0.4323095955923199,0.8734729512879615,0.05196554933676856,-0.05971531858681123,0.7528613395237672,0.8333333333333334,0.8776391554702495
pair_I_RB,0.02694806070572639,-0.5391579487687881,0.8277099968441944,0.032016638711422685,-0.0461082819702876,0.6734656840810062,0.75,0.18570057581573896
pair_RB_HC,0.4304747760289799,0.3779133149760118,0.5782198992403363,0.012852330655635402,-0.016484663574173886,0.7823722187454986,1.0,0.30326295585412666
cal_I,0.38889164728176623,0.344806048092513,0.42847902325075155,0.004206985652432493,-0.066003120530153,0.47814479578514446,1.0,0.20009596928982726
edge_olsx_RB_HC,0.5441459242256457,0.6801141562961107,0.40337564881636384,0.0035445236555833315,-0.01339839612411875,0.12227320557149617,0.5,0.12284069097888675
trend_dualma_atr,0.2732262179894823,0.14592365538938784,0.3918851873474543,0.029347873227594246,-0.11617648503863742,0.23606747467987702,0.6666666666666666,0.9716890595009597
cal_HC,0.3810341838225321,0.472202457211711,0.30942746271724675,0.0023036688789854765,-0.013842699607713227,0.9102946846252005,0.6,0.1828214971209213
cal_RB,0.10911957034669675,-0.021579185470339348,0.2931638710825432,0.004677721084542341,-0.017431073761421167,0.5357050613984135,0.6666666666666666,0.16794625719769674
trend_donchian55,0.2566714852006376,0.24613996280242448,0.2668739497454652,0.024845307410629625,-0.1482468262455512,0.23626844879808093,0.8333333333333334,0.9731285988483686
trend_tsmom60,0.28768912216414705,0.3227976970419582,0.2557967186670896,0.020196529890069703,-0.094001714291989,0.22793998806464622,0.5,0.9707293666026872
edge_on_mom5,0.30233281637880177,0.37150197897605153,0.23850665694849452,0.015336085705490499,-0.18157909920480708,0.48238366554745693,0.6666666666666666,0.9976007677543186
edge_ols_I_HC,0.04536362912823066,-0.03906582038736651,0.13943446451346458,0.005002832714571026,-0.07283398757721893,-0.09376793405760576,0.5,0.12236084452975048
edge_olsx_I_RB,-0.16200305902824438,-0.29728931730734914,0.039819612220026675,0.0006392986198602291,-0.05808475072352415,0.4717167028609348,0.5,0.05326295585412668
pair_C_M,-0.07474798031311097,-0.10942118226592552,0.0,0.0,0.0,0.3385029301838954,1.0,0.014875239923224568
edge_ols_I_RB,-0.1490028906649182,-0.2586354484591947,-0.011742376367770459,-0.0007361791684619146,-0.05155008020616991,0.42689671464677764,0.4,0.0916506717850288
edge_ols_RB_HC,0.5091871478770114,0.8563424990664001,-0.06667390903988038,-0.0009487512442742929,-0.030079108556494205,-0.15419110618712398,0.5,0.1890595009596929
pair_Y_M,-0.05381275317402173,0.0,-0.07365338584090589,-0.004081491729676978,-0.09446090163878318,-0.256553910118341,0.3333333333333333,0.028790786948176585
pair_MA_TA,0.08416080423831124,0.34521189013139164,-0.09315203218993,-0.006790811010440878,-0.10499753119748523,0.26276273612766227,0.5,0.12962073931829093
edge_olsx_I_HC,-0.024049472286680945,0.08373777784279147,-0.13045923542661397,-0.0038900106026773518,-0.07593905091127806,0.00819825613572216,0.6,0.0628598848368522
cal_CU,0.03317772317523278,0.3040869240737402,-0.17024529936730062,-0.00028831832137710123,-0.004098111967458129,-0.5641208526671038,0.25,0.028790786948176585
edge_on_mom20,0.29150839880910673,0.9533757326186229,-0.3217060488668593,-0.0260578650634129,-0.2535344720630466,-0.24528260358494836,0.16666666666666666,0.9904030710172744
trend_tsmom120,0.016714239206385383,0.3956733670244842,-0.3649617673376192,-0.02855255408156865,-0.1893324964453157,-0.09598038915883439,0.3333333333333333,0.9419385796545106
edge_intraday_rev1,-0.44919452233464574,-0.4582661068029306,-0.44128764131030485,-0.03586474542932805,-0.24854821673557237,-0.37122589251146415,0.5,1.0
edge_xs_overnight5,-0.30430969488352505,-0.04487913907161079,-0.5429904074252154,-0.04698596361421559,-0.21679108429357175,-0.5701000000718217,0.0,0.9976007677543186
edge_intraday_rev5,-0.7460470206306445,-0.9297909592674762,-0.5767768640824559,-0.04810299905995563,-0.26728905859550933,-0.40245699661663176,0.16666666666666666,0.9980806142034548
edge_basis_mom60,-0.4105923843125156,-0.14733428384274835,-0.6654828464701869,-0.040626425400871136,-0.22092152991623082,-0.6464655858900679,0.16666666666666666,0.8478886756238004
edge_basis_mom20,-0.39434442941524556,0.04147994415435634,-0.8113285139447581,-0.05197415920172632,-0.24341694073118514,-0.5314905844274653,0.3333333333333333,0.8670825335892515
