date,v3_eq_tv,v4_core_eq_tv,v4_core_act_tv,v4_ballast_eq_tv,v4_ballast_act_tv
2018-05-09,0.996560802939318,0.9947427330633657,1.0031900126971403,0.919821686218981,1.0726447462959998
2018-05-10,0.9888052372178268,0.9839047494026677,0.9860272417217002,0.9087270810985637,1.0566597274648413
2018-05-11,0.9771999899138362,0.9677379245165826,0.9615827552600504,0.889063796552516,1.0287343206005188
2018-05-14,0.9822665041884544,0.9746283827980177,0.9713095372807301,0.8859773963006977,1.0245011096523722
2018-05-15,0.9858362871839277,0.9794517302542425,0.978079655837391,0.8867366418894933,1.0255409853095168
2018-05-16,0.9936938833481488,0.9900384184170644,0.9929067807383977,0.8857859048057697,1.0242386755024362
2018-05-17,1.007785468895895,1.0087425285980491,1.0187747636622262,0.892692745888662,1.0336969325946017
2018-05-18,1.013608255330751,1.0161266882179305,1.0286380765528025,0.8954156225706131,1.0374183795879806
2018-05-21,1.013608255330751,1.0161266882179305,1.0286380765528025,0.8941967911409716,1.0357523799183115
2018-05-22,1.013608255330751,1.0161266882179305,1.0286380765528025,0.8908399088209119,1.0311657521745499
2018-05-23,1.013608255330751,1.0161266882179305,1.0286380765528025,0.8911620237997331,1.0316051630921426
2018-05-24,1.013608255330751,1.0161266882179305,1.0286380765528025,0.8792868379642581,1.0154046268194767
2018-05-25,1.013608255330751,1.0161266882179305,1.0286380765528025,0.8820784014184373,1.022927963768902
2018-05-28,1.013608255330751,1.0161266882179305,1.0286380765528025,0.881446463916205,1.0212307964813903
2018-05-29,1.013608255330751,1.0161266882179305,1.0286380765528025,0.8854363113231507,1.0319349731345753
2018-05-30,1.013608255330751,1.0161266882179305,1.0286380765528025,0.8833562525616159,1.0264004924701136
2018-05-31,1.013608255330751,1.0161266882179305,1.0286380765528025,0.8941015417841406,1.054822580394395
2018-06-01,1.013608255330751,1.0161266882179305,1.0286380765528025,0.897130652369854,1.0623196142444662
2018-06-04,1.0125222464857537,1.0161266882179305,1.0286380765528025,0.8967782710428491,1.0614490331479944
2018-06-05,1.042736483128662,1.0161266882179305,1.0286380765528025,0.8985562555044567,1.065839280281262
2018-06-06,1.041619265468167,1.0161266882179305,1.0286380765528025,0.9030547510774285,1.0769517395277257
2018-06-07,1.0204188843847268,1.0161266882179305,1.0286380765528025,0.9131085252695388,1.1016402253429218
2018-06-08,1.0131943350255121,1.0161266882179305,1.0286380765528025,0.9078214891633101,1.089161688159976
2018-06-11,1.0260201777649254,1.0161266882179305,1.0286380765528025,0.9088732494948624,1.0915921042966217
2018-06-12,1.0145880577520814,1.0161266882179305,1.0286380765528025,0.9127770025169621,1.1006207469474287
2018-06-13,1.0060400496429005,1.0161266882179305,1.0286380765528025,0.9027244290421821,1.0774171009053812
2018-06-14,0.9966437133030899,1.0161266882179305,1.0286380765528025,0.9057120983833167,1.0839285598272852
2018-06-15,0.996271425163633,1.0161266882179305,1.0286380765528025,0.9052614212264258,1.0829466238895333
2018-06-19,0.9708802857922073,1.0161266882179305,1.0286380765528025,0.8846760438170481,1.0381227276902578
2018-06-20,0.9603524586135744,1.0161266882179305,1.0286380765528025,0.8919920084235893,1.0517456860020702
2018-06-21,0.9768010771616703,1.0161266882179305,1.0286380765528025,0.8892217076407681,1.0466345103845696
2018-06-22,0.9953842702380427,1.0161266882179305,1.0286380765528025,0.8891134752800351,1.0464356596660944
2018-06-25,1.0277024733294375,1.0161266882179305,1.0286380765528025,0.8901597858044931,1.0483578384524541
2018-06-26,1.0394242493201338,1.0161266882179305,1.0286380765528025,0.887789921691658,1.0440019873753954
2018-06-27,1.0364962448061719,1.0161266882179305,1.0286380765528025,0.8941044728575497,1.0555700977134235
2018-06-28,1.029880878039288,1.0161266882179305,1.0286380765528025,0.9015095249302515,1.069060117341643
2018-06-29,1.0264168753354532,1.0161266882179305,1.0286380765528025,0.9069200739431169,1.0788414447316492
2018-07-02,1.0164030862463624,1.0161266882179305,1.0286380765528025,0.899263192660126,1.0650335511041342
2018-07-03,1.0157900553644263,1.0161266882179305,1.0286380765528025,0.9018160048145174,1.0695487748906212
2018-07-04,1.003435112175373,1.0147575313476003,1.027726679073808,0.9001825756058115,1.0673994124586659
2018-07-05,1.0011798671886007,1.0402700383755266,1.0447147821999443,0.9037885281047593,1.059652453343157
2018-07-06,1.0075468559667309,1.0363191189843128,1.0392520491590895,0.9022320316759206,1.0582708509263712
2018-07-09,0.999854720042845,1.0381109629102119,1.0417226316626458,0.9188934273262688,1.073008547881665
2018-07-10,0.9822931422696216,1.0332586196398004,1.0347360648867399,0.9249500967015205,1.0784542196904943
2018-07-11,0.9886205854637875,1.0348116929047264,1.0371164035844602,0.9274809965236295,1.0807381898147659
2018-07-12,0.974860384066824,1.0490049412034432,1.0587587853577518,0.9316931067420227,1.0845261721629451
2018-07-13,0.9679250384360065,1.038095324703505,1.0429295800645828,0.9274913271627072,1.0808245722076446
2018-07-16,0.9665330922080043,1.0196033926406425,1.0167846269577447,0.9231941327798434,1.0770509420583425
2018-07-17,0.9670244588436566,1.015962377355307,1.0119569451293005,0.9185749625973864,1.0730757761248586
2018-07-18,0.9719796866206487,1.021576653892698,1.019300158585757,0.9237253141943094,1.0773128014153484
2018-07-19,0.9792045525256272,1.043598416974894,1.047885140876387,0.9334572189369544,1.0851131199369186
2018-07-20,0.9803641598961006,1.0321031581683127,1.0338477919614022,0.9348638949289504,1.0862103187154106
2018-07-23,0.9798080298697729,1.0359454724391344,1.0384893374980306,0.9337522147359709,1.0853437491071485
2018-07-24,0.9871714078579413,1.036506997067601,1.0391672871750395,0.9383331897237354,1.0889147658758012
2018-07-25,0.9787226601311948,1.0277270822164717,1.028566398603682,0.9330099347611612,1.0847727706723562
