sleeve,full_sharpe,is_sharpe,oos_sharpe,oos_cagr,oos_maxdd,wf_mean_sharpe,wf_pos_frac,active_frac
pair_I_RB,0.02694806070572639,-0.5391579487687881,0.8277099968441944,0.032016638711422685,-0.0461082819702876,0.6734656840810062,0.75,0.18570057581573896
pair_RB_HC,0.4304747760289799,0.3779133149760118,0.5782198992403363,0.012852330655635402,-0.016484663574173886,0.7823722187454986,1.0,0.30326295585412666
cal_I,0.38889164728176623,0.344806048092513,0.42847902325075155,0.004206985652432493,-0.066003120530153,0.47814479578514446,1.0,0.20009596928982726
trend_dualma_atr,0.2732262179894823,0.14592365538938784,0.3918851873474543,0.029347873227594246,-0.11617648503863742,0.23606747467987702,0.6666666666666666,0.9716890595009597
cal_HC,0.3810341838225321,0.472202457211711,0.30942746271724675,0.0023036688789854765,-0.013842699607713227,0.9102946846252005,0.6,0.1828214971209213
cal_RB,0.10911957034669675,-0.021579185470339348,0.2931638710825432,0.004677721084542341,-0.017431073761421167,0.5357050613984135,0.6666666666666666,0.16794625719769674
trend_donchian55,0.2566714852006376,0.24613996280242448,0.2668739497454652,0.024845307410629625,-0.1482468262455512,0.23626844879808093,0.8333333333333334,0.9731285988483686
trend_tsmom60,0.28768912216414705,0.3227976970419582,0.2557967186670896,0.020196529890069703,-0.094001714291989,0.22793998806464622,0.5,0.9707293666026872
pair_C_M,-0.07474798031311097,-0.10942118226592552,0.0,0.0,0.0,0.3385029301838954,1.0,0.014875239923224568
pair_Y_M,-0.05381275317402173,0.0,-0.07365338584090589,-0.004081491729676978,-0.09446090163878318,-0.256553910118341,0.3333333333333333,0.028790786948176585
pair_MA_TA,0.08416080423831124,0.34521189013139164,-0.09315203218993,-0.006790811010440878,-0.10499753119748523,0.26276273612766227,0.5,0.12962073931829093
cal_CU,0.03317772317523278,0.3040869240737402,-0.17024529936730062,-0.00028831832137710123,-0.004098111967458129,-0.5641208526671038,0.25,0.028790786948176585
trend_tsmom120,0.016714239206385383,0.3956733670244842,-0.3649617673376192,-0.02855255408156865,-0.1893324964453157,-0.09598038915883439,0.3333333333333333,0.9419385796545106
