hour_utc,mean_bar_return,mean_abs_return,mean_volume
0,-5.4694417229416804e-06,0.0006609581744244277,344.7329931972789
1,-5.783897190925732e-06,0.000792753390757741,521.5672913117547
2,2.992972175579024e-05,0.000607268218617526,391.9398625429553
3,-2.512819893657635e-05,0.00043979211018677794,253.76388888888889
4,3.176913501588716e-06,0.00036490877346106787,215.10833333333332
5,-1.027644587676116e-05,0.0005779842430632826,377.5959933222037
6,3.44880465520242e-05,0.0005401171072363645,417.05333333333334
7,8.700940834240519e-07,0.0005267774467607748,424.06166666666667
8,9.297888051588327e-07,0.0005513301632265768,446.18196994991655
9,-3.330183599461837e-06,0.00044716112487752126,435.09
10,-4.217483185248283e-05,0.0004189747351143197,347.6616666666667
11,-5.293497558131202e-06,0.0005071460289224025,460.9365609348915
12,5.762478497603289e-06,0.0008825986513111202,1187.8133333333333
13,-3.239806323447003e-05,0.0010014216625207745,1425.4283333333333
14,1.1260183967762975e-05,0.0008811661720522199,1364.8614357262104
15,-3.3797358991299877e-06,0.0007208824815784152,1027.1
16,-3.986928015046928e-06,0.0005670900215196544,713.23
17,-1.3542488527058527e-05,0.000448470972966394,715.85
18,2.282280401437168e-05,0.0005231192437454477,503.3933333333333
19,-4.837342608599416e-06,0.00048449655754484114,436.7979966611018
20,-2.254623827263602e-05,0.00033548805628263773,188.00166666666667
21,0.0,0.0006197605346909274,1.0
22,-1.6820844522972257e-05,0.00040031354770997824,173.5456140350877
23,-9.20166541302973e-06,0.000393374675457517,203.25510204081633
