hour_utc,mean_bar_return,mean_abs_return,mean_volume
0,-5.293304049237731e-06,0.0006609581744244277,344.7329931972789
1,-3.731536659975122e-06,0.000792753390757741,521.5672913117547
2,5.671137355964661e-06,0.000607268218617526,391.9398625429553
3,-9.549454148204282e-06,0.00043979211018677794,253.76388888888889
4,-8.519985708099827e-06,0.00036490877346106787,215.10833333333332
5,-1.9508855209462905e-05,0.0005779842430632826,377.5959933222037
6,3.361194598085667e-06,0.0005401171072363645,417.05333333333334
7,3.137663101490292e-06,0.0005267774467607748,424.06166666666667
8,-1.03489853185997e-05,0.0005513301632265768,446.18196994991655
9,-1.1665383288800476e-05,0.00044716112487752126,435.09
10,-3.080801701430991e-05,0.0004189747351143197,347.6616666666667
11,-2.8327876395520837e-05,0.0005071460289224025,460.9365609348915
12,-1.6003209292481853e-05,0.0008825986513111202,1187.8133333333333
13,-2.7414536969046683e-07,0.0010014216625207745,1425.4283333333333
14,-9.955319253436339e-06,0.0008811661720522199,1364.8614357262104
15,3.2951232076228187e-06,0.0007208824815784152,1027.1
16,-5.715536056751051e-06,0.0005670900215196544,713.23
17,-7.190948952249809e-06,0.000448470972966394,715.85
18,-1.0073711765062147e-05,0.0005231192437454477,503.3933333333333
19,4.689170525329374e-06,0.00048449655754484114,436.7979966611018
20,-5.14737594123534e-06,0.00033548805628263773,188.00166666666667
21,0.0,0.0006197605346909274,1.0
22,-8.716102677858258e-06,0.00040031354770997824,173.5456140350877
23,-2.4212093857428655e-06,0.000393374675457517,203.25510204081633
