hour_utc,mean_bar_return,mean_abs_return,mean_volume
0,6.13135512487312e-07,0.0006609581744244277,344.7329931972789
1,-5.783897190923841e-06,0.000792753390757741,521.5672913117547
2,3.1475921800173017e-05,0.000607268218617526,391.9398625429553
3,-1.7126393552990376e-05,0.00043979211018677794,253.76388888888889
4,3.7356802525289297e-06,0.00036490877346106787,215.10833333333332
5,-5.76737711210213e-06,0.0005779842430632826,377.5959933222037
6,3.448804655202457e-05,0.0005401171072363645,417.05333333333334
7,6.8448853498161616e-06,0.0005267774467607748,424.06166666666667
8,9.297888051593888e-07,0.0005513301632265768,446.18196994991655
9,-1.581201611008757e-06,0.00044716112487752126,435.09
10,-2.6107093330763517e-05,0.0004189747351143197,347.6616666666667
11,-5.293497558131202e-06,0.0005071460289224025,460.9365609348915
12,5.762478497603659e-06,0.0008825986513111202,1187.8133333333333
13,-3.239806323447059e-05,0.0010014216625207745,1425.4283333333333
14,1.126018396776316e-05,0.0008811661720522199,1364.8614357262104
15,-1.8198636207568859e-06,0.0007208824815784152,1027.1
16,-4.1071994987133355e-06,0.0005670900215196544,713.23
17,-7.98233587745519e-06,0.000448470972966394,715.85
18,1.3555308721094524e-05,0.0005231192437454477,503.3933333333333
19,9.753842733365591e-08,0.00048449655754484114,436.7979966611018
20,-5.5087565669472334e-06,0.00033548805628263773,188.00166666666667
21,0.0,0.0006197605346909274,1.0
22,-1.3641049764112233e-05,0.00040031354770997824,173.5456140350877
23,-7.6224037832987705e-06,0.000393374675457517,203.25510204081633
